,parameter_code,poc,latitude,longitude,year,observation_count,observation_percent,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,second_max_value,third_max_value,fourth_max_value,first_max_non_overlapping_value,second_max_non_overlapping_value,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile
parameter_code,1.0,0.017894952180151167,0.085072398523461,-0.09837539069843608,0.2697940630434211,-0.16105967837721671,0.22790919866411516,0.01430258505938375,-0.05279930175153531,-0.007810734769945123,-0.049641755525044746,-0.08523523955177274,-0.07969206260025698,,0.03449735974852823,-0.0023115560249609792,0.008981217688968122,0.009809197465863359,0.010107326896663006,0.010169823704948004,,,0.012151257130845946,0.014969345503444227,0.01985550945320191,0.024448467030506245,0.03126651309944137,0.037105202539218264,0.041223877932153624
poc,0.017894952180151167,1.0,0.02360186397364918,-0.015642132263046806,0.10451170044415414,-0.1059716137061484,-0.1618634596083115,-0.19083926961208597,-0.18158374491262208,-0.001921155211734959,-0.028748364524255412,0.03259796403704002,0.03755699438518848,,-0.036680355780765055,-0.010879175024370939,-0.016420130525841146,-0.017859470663246373,-0.018294318107376414,-0.018777873325844605,-0.06785764191177705,-0.07008733009749492,-0.0212212663130893,-0.02354448386310968,-0.02752204455898038,-0.030822088011500923,-0.035278122323021334,-0.03835103843637907,-0.03717168990834916
latitude,0.085072398523461,0.02360186397364918,1.0,-0.004381229645892825,0.04475560878766582,-0.02563139420799901,0.020074334363119922,-0.015233947926303419,-0.022397002576179444,-0.004334587229389029,-0.005308962130067321,-0.02655203853407782,-0.031848412694721634,,0.00895691663829292,-0.0003264348875035243,-0.00292933561549595,-0.0012570247762800054,-0.0004335641804085069,8.881431564293954e-05,0.0953683148128796,0.09676791712297629,0.0028920686222431934,0.003939999928117511,0.005349474382608093,0.006739032289923894,0.008875523261042382,0.009790433319790034,0.0095764877773085
longitude,-0.09837539069843608,-0.015642132263046806,-0.004381229645892825,1.0,-0.040653752391946324,-0.04121011814660733,-0.0016964500602106149,-0.0995482312637358,-0.08684877429989463,-0.0074403613386638074,-0.004752441054844729,-0.06616262947606945,-0.08171425985273216,,0.010301194945216169,-0.006196650156440601,-0.002149490031267516,-0.0002976872946515807,0.000627416092301192,0.0011849582377590397,-0.07804902962102304,-0.09550499256104801,0.0013289782855086217,0.0027083273760123987,0.004151804684074037,0.005510002745737926,0.008141536292151027,0.010900434011181993,0.015403211835739205
year,0.2697940630434211,0.10451170044415414,0.04475560878766582,-0.040653752391946324,1.0,0.0062101890045915716,0.11374488652877712,0.054024741743280744,0.014993087305121453,0.032045468590564195,0.057023534081613245,-0.180801138325599,-0.15004095969475398,,1.7138718176946424e-05,-0.016668956405812778,-0.005343433830750202,-0.0051762996545810114,-0.005032049941986123,-0.004994550386061298,-0.6717242539170619,-0.6794878095555871,-0.011341249191344065,-0.010051355082844821,-0.008495946381624726,-0.006396803914072716,-0.0023616529508145787,0.0017979576178315212,0.007487592700139567
observation_count,-0.16105967837721671,-0.1059716137061484,-0.02563139420799901,-0.04121011814660733,0.0062101890045915716,1.0,0.15187023292662027,0.593356312707859,0.537935525508004,0.19840938551533718,0.4391752067622847,0.11113518012672888,0.09227368314020912,,-0.006117309188483709,0.02905492723358854,0.030093093722384834,0.028786499322491756,0.02765235123354061,0.026848491877953264,-0.006286581491323879,-0.004292460470173956,0.011591562320654667,0.01056410535427916,0.008536390927297828,0.006270302572132112,0.0005502567095902206,-0.007544449665051603,-0.024209318324732998
observation_percent,0.22790919866411516,-0.1618634596083115,0.020074334363119922,-0.0016964500602106149,0.11374488652877712,0.15187023292662027,1.0,0.3673342845820091,-0.01752949027525645,0.013001045869771024,-0.037327353231959653,0.05833480533909856,0.06487306917174195,,0.056529106830891546,0.003168461245018033,0.016947289784799955,0.018930306465552296,0.01966835889465,0.020015029606558186,-0.006721702625192033,-0.004734759599382211,0.025885093443706788,0.02850133785420792,0.03563397961168483,0.042180512851995415,0.05195981583703863,0.060226823621894555,0.06381185626295773
valid_day_count,0.01430258505938375,-0.19083926961208597,-0.015233947926303419,-0.0995482312637358,0.054024741743280744,0.593356312707859,0.3673342845820091,1.0,0.8663609922517044,0.06104328289743474,0.14899625850215492,0.16139124595036436,0.1644543608592996,,-0.003972277251615933,0.03684792291703588,0.03516884621128448,0.033407042342794645,0.03196739655483899,0.031005944607956817,0.0030576730325936174,0.005012508367167556,0.017051700893228966,0.0155678221307107,0.013180284630025041,0.01058955245774169,0.003980185790770615,-0.005649592217399929,-0.026288845508953128
required_day_count,-0.05279930175153531,-0.18158374491262208,-0.022397002576179444,-0.08684877429989463,0.014993087305121453,0.537935525508004,-0.01752949027525645,0.8663609922517044,1.0,0.056463145696452804,0.20208048069132373,0.15032258495372502,0.15180426525893895,,-0.018032521975934863,0.04022435737082931,0.03442848802955761,0.03182305126121342,0.02990344306131038,0.028664678203680453,0.017846388071543064,0.018382578436214016,0.013621485871649273,0.011081701733897711,0.006302787139173868,0.0015378824813662023,-0.008425133351134938,-0.021181009965999444,-0.04389732579940887
exceptional_data_count,-0.007810734769945123,-0.001921155211734959,-0.004334587229389029,-0.0074403613386638074,0.032045468590564195,0.19840938551533718,0.013001045869771024,0.06104328289743474,0.056463145696452804,1.0,0.14479881750487458,-0.0036044217047363305,-0.019581958347447467,,-0.0016825740218561372,0.0031839324063215485,0.007899353750684596,0.0073464267258268314,0.006775359176439057,0.006395745443870128,,,0.0012295957594491715,0.0006877287197665285,-1.856235744617278e-06,-0.0005133177542143743,-0.001258210922226415,-0.0019734788575477584,-0.0031909122791510414
