,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,-0.042852294004391535,-0.0645132836131416,-0.014528180654128902,-0.014424733732903544,-0.06291676903395742,-0.05753336241806543,-0.01669677700704169,-0.06179981558734084,0.275517461946553
latitude,,-0.042852294004391535,1.0,0.012277490483470798,0.034621603324980196,0.03411281019259721,0.05350844368773847,0.03976995556237444,0.0588855961791735,0.05348852948052575,0.07841493352324524
longitude,,-0.0645132836131416,0.012277490483470798,1.0,0.03616494768218163,0.03486232953035984,-0.0752761970643506,-0.0956383013982659,0.027129102193452565,-0.0920525841889406,0.05149366987234033
observation_count,,-0.014528180654128902,0.034621603324980196,0.03616494768218163,1.0,0.9988649073853897,0.019121212693306567,0.025012327848352483,-0.020754403200649297,0.029173147284703667,-0.07407395900267848
observation_percent,,-0.014424733732903544,0.03411281019259721,0.03486232953035984,0.9988649073853897,1.0,0.018636077247461268,0.025208601482784046,-0.020356485295001264,0.029152272367739766,-0.0731903722364407
arithmetic_mean,,-0.06291676903395742,0.05350844368773847,-0.0752761970643506,0.019121212693306567,0.018636077247461268,1.0,0.8848541703151913,0.15904855528600306,0.9444546866079842,-0.2653710616831409
first_max_value,,-0.05753336241806543,0.03976995556237444,-0.0956383013982659,0.025012327848352483,0.025208601482784046,0.8848541703151913,1.0,0.1928148452268312,0.9989133898086558,-0.24632625013328957
first_max_hour,,-0.01669677700704169,0.0588855961791735,0.027129102193452565,-0.020754403200649297,-0.020356485295001264,0.15904855528600306,0.1928148452268312,1.0,0.21345145082184694,0.052312795471658985
aqi,,-0.06179981558734084,0.05348852948052575,-0.0920525841889406,0.029173147284703667,0.029152272367739766,0.9444546866079842,0.9989133898086558,0.21345145082184694,1.0,
method_code,,0.275517461946553,0.07841493352324524,0.05149366987234033,-0.07407395900267848,-0.0731903722364407,-0.2653710616831409,-0.24632625013328957,0.052312795471658985,,1.0
