,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,1.0,0.020907134582161882,0.09343949734321011,-0.21260634784868368,-0.10884449978868531,0.08942923064581014,-0.007533129111730505,-0.012897555831349385,-0.1371543496402461,,0.8756488028354213
poc,0.020907134582161882,1.0,0.006059599688519443,-0.004769818872909338,-0.027389472798449176,-0.1300296916628911,0.0020779800032334657,-0.0006827764604672024,0.009612397604760958,,0.01849215533270084
latitude,0.09343949734321011,0.006059599688519443,1.0,-0.025020889511522933,-0.10584250275784203,0.05989955898142242,-0.006458073869249437,-0.014576681431387694,-0.06218409299609949,,0.08906810349614348
longitude,-0.21260634784868368,-0.004769818872909338,-0.025020889511522933,1.0,0.022088337816320757,0.016952392521406054,-5.71211751420378e-05,-0.0006345135420478926,0.0652373108607872,,-0.24317948492685182
observation_count,-0.10884449978868531,-0.027389472798449176,-0.10584250275784203,0.022088337816320757,1.0,-0.18312316998898368,0.015322834824543993,0.062751132776038,0.5418577865451062,,-0.14490191987003828
observation_percent,0.08942923064581014,-0.1300296916628911,0.05989955898142242,0.016952392521406054,-0.18312316998898368,1.0,-0.02119686597233876,-0.03224632240445805,-0.44594330715032215,,0.11324602909713541
arithmetic_mean,-0.007533129111730505,0.0020779800032334657,-0.006458073869249437,-5.71211751420378e-05,0.015322834824543993,-0.02119686597233876,1.0,0.9640516258484793,0.020179452655376743,,-0.02951988061256009
first_max_value,-0.012897555831349385,-0.0006827764604672024,-0.014576681431387694,-0.0006345135420478926,0.062751132776038,-0.03224632240445805,0.9640516258484793,1.0,0.04952290508173125,,-0.03584551307332129
first_max_hour,-0.1371543496402461,0.009612397604760958,-0.06218409299609949,0.0652373108607872,0.5418577865451062,-0.44594330715032215,0.020179452655376743,0.04952290508173125,1.0,,-0.17331081953161542
aqi,,,,,,,,,,,
method_code,0.8756488028354213,0.01849215533270084,0.08906810349614348,-0.24317948492685182,-0.14490191987003828,0.11324602909713541,-0.02951988061256009,-0.03584551307332129,-0.17331081953161542,,1.0
