,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,1.0,0.03825296457218095,0.045500913093007314,-0.0034179197061185293,,,-0.03024426745911197,-0.03024426745911197,-0.006737725563020957,,0.40039094144273807
poc,0.03825296457218095,1.0,-0.0892334272867037,-0.22498244771516987,,,-0.044922704191716435,-0.044922704191716435,0.05302837789535661,,0.06266054452889139
latitude,0.045500913093007314,-0.0892334272867037,1.0,0.1391376107401272,,,0.04961822988460733,0.04961822988460733,0.02590078879330626,,0.03262609992755625
longitude,-0.0034179197061185293,-0.22498244771516987,0.1391376107401272,1.0,,,-0.0057073723038105545,-0.0057073723038105545,0.0036979210744264635,,-0.024789389145756943
observation_count,,,,,,,,,,,
observation_percent,,,,,,,,,,,
arithmetic_mean,-0.03024426745911197,-0.044922704191716435,0.04961822988460733,-0.0057073723038105545,,,1.0,1.0,-0.009162513797962572,,-0.04255930058983213
first_max_value,-0.03024426745911197,-0.044922704191716435,0.04961822988460733,-0.0057073723038105545,,,1.0,1.0,-0.009162513797962572,,-0.04255930058983213
first_max_hour,-0.006737725563020957,0.05302837789535661,0.02590078879330626,0.0036979210744264635,,,-0.009162513797962572,-0.009162513797962572,1.0,,-0.006730545047479542
aqi,,,,,,,,,,,
method_code,0.40039094144273807,0.06266054452889139,0.03262609992755625,-0.024789389145756943,,,-0.04255930058983213,-0.04255930058983213,-0.006730545047479542,,1.0
