,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,-0.008785669846265104,0.0035901989450770866,0.013251312514241841,0.013055966362077655,0.13315314002253603,0.11233227570927969,0.0054004370534350785,0.11237994115504159,0.027534799025945775
latitude,,-0.008785669846265104,1.0,0.22707148545347675,0.06143472928853683,0.06069062619593988,-0.003911907236153524,-0.03812417186566283,-0.005342677989292509,-0.037560480742676976,0.10400973708033297
longitude,,0.0035901989450770866,0.22707148545347675,1.0,0.09372962182656003,0.0899304627917551,0.023377442167951623,0.008585562575702177,0.017818020043278968,0.009433400658349977,0.04273383787784751
observation_count,,0.013251312514241841,0.06143472928853683,0.09372962182656003,1.0,0.998541681693905,-0.012717223646607921,0.0240075198229635,0.007710030032459457,0.023964127197178657,-0.0011441012848732754
observation_percent,,0.013055966362077655,0.06069062619593988,0.0899304627917551,0.998541681693905,1.0,-0.012014117763613455,0.024608278181131697,0.008107538555638597,0.02480756493500126,-0.000978430711199437
arithmetic_mean,,0.13315314002253603,-0.003911907236153524,0.023377442167951623,-0.012717223646607921,-0.012014117763613455,1.0,0.9136391423623705,0.12354680617989836,0.9162604381676253,-0.14428779154502605
first_max_value,,0.11233227570927969,-0.03812417186566283,0.008585562575702177,0.0240075198229635,0.024608278181131697,0.9136391423623705,1.0,0.16182999842042795,0.9949441255867049,-0.14870597388068493
first_max_hour,,0.0054004370534350785,-0.005342677989292509,0.017818020043278968,0.007710030032459457,0.008107538555638597,0.12354680617989836,0.16182999842042795,1.0,0.16324385971964012,-0.010292438550881725
aqi,,0.11237994115504159,-0.037560480742676976,0.009433400658349977,0.023964127197178657,0.02480756493500126,0.9162604381676253,0.9949441255867049,0.16324385971964012,1.0,-0.15283029834894424
method_code,,0.027534799025945775,0.10400973708033297,0.04273383787784751,-0.0011441012848732754,-0.000978430711199437,-0.14428779154502605,-0.14870597388068493,-0.010292438550881725,-0.15283029834894424,1.0
