,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,1.0,-0.13302966325712867,-0.04356230357272863,-0.05676466960351891,0.01775687926058321,0.01779127990346368,0.08557255967115254,0.05604620620109587,0.0930207389922916,,-0.3139906570999585
poc,-0.13302966325712867,1.0,-0.007231465516621496,-0.0362992868198793,-0.00965090531468511,-0.009579610551985503,0.009380020781008832,0.007204284120531323,-0.00254121286138483,,0.31791274295768535
latitude,-0.04356230357272863,-0.007231465516621496,1.0,0.2171125320963685,0.06181671503202889,0.060854618138031925,0.0008761051571236452,-0.007716250839070451,0.00617727084962292,,0.12246365151493217
longitude,-0.05676466960351891,-0.0362992868198793,0.2171125320963685,1.0,0.07267084817551209,0.06920051217734963,-0.006289354435751643,-0.012399921559077784,0.03698070462953701,,0.10384095512085406
observation_count,0.01775687926058321,-0.00965090531468511,0.06181671503202889,0.07267084817551209,1.0,0.9998478245332857,-0.002226776628837149,0.007011992310782191,-0.008751216089645408,,-0.03338845648516301
observation_percent,0.01779127990346368,-0.009579610551985503,0.060854618138031925,0.06920051217734963,0.9998478245332857,1.0,-0.002152310757185128,0.007137170363115026,-0.008901232091996225,,-0.0336298191644277
arithmetic_mean,0.08557255967115254,0.009380020781008832,0.0008761051571236452,-0.006289354435751643,-0.002226776628837149,-0.002152310757185128,1.0,0.9412650582950469,0.03180133421055207,,-0.041811564707937544
first_max_value,0.05604620620109587,0.007204284120531323,-0.007716250839070451,-0.012399921559077784,0.007011992310782191,0.007137170363115026,0.9412650582950469,1.0,0.030435703736863523,,-0.044981777349531606
first_max_hour,0.0930207389922916,-0.00254121286138483,0.00617727084962292,0.03698070462953701,-0.008751216089645408,-0.008901232091996225,0.03180133421055207,0.030435703736863523,1.0,,0.005103452020484404
aqi,,,,,,,,,,,
method_code,-0.3139906570999585,0.31791274295768535,0.12246365151493217,0.10384095512085406,-0.03338845648516301,-0.0336298191644277,-0.041811564707937544,-0.044981777349531606,0.005103452020484404,,1.0
