,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,0.05344614223127077,0.12035825746534966,0.00140922431093186,0.001163602067905402,0.03364301906646548,-0.0016903053677503836,0.026499412519062727,0.0005588666639987959,
latitude,,0.05344614223127077,1.0,0.11919653059159217,0.005276678793759829,0.005119361836557658,0.04727721524978343,-0.017849983841609168,0.08603713979108583,-0.023062884922592914,
longitude,,0.12035825746534966,0.11919653059159217,1.0,0.0023911084776385818,0.0019161594588748153,-0.03084161678476156,-0.04055085434016388,0.04075408571671762,-0.038194865759908735,
observation_count,,0.00140922431093186,0.005276678793759829,0.0023911084776385818,1.0,0.9948082806077494,0.03282693874076141,0.07378419136621801,-0.12746170765003967,0.04944147755049409,
observation_percent,,0.001163602067905402,0.005119361836557658,0.0019161594588748153,0.9948082806077494,1.0,0.03328900170635864,0.07381711269500413,-0.1250627572984901,0.05389266937023232,
arithmetic_mean,,0.03364301906646548,0.04727721524978343,-0.03084161678476156,0.03282693874076141,0.03328900170635864,1.0,0.8944627252977477,0.0700164182566678,0.8041350891404804,
first_max_value,,-0.0016903053677503836,-0.017849983841609168,-0.04055085434016388,0.07378419136621801,0.07381711269500413,0.8944627252977477,1.0,-0.027634268963166474,0.9294252063280317,
first_max_hour,,0.026499412519062727,0.08603713979108583,0.04075408571671762,-0.12746170765003967,-0.1250627572984901,0.0700164182566678,-0.027634268963166474,1.0,-0.013566653221784465,
aqi,,0.0005588666639987959,-0.023062884922592914,-0.038194865759908735,0.04944147755049409,0.05389266937023232,0.8041350891404804,0.9294252063280317,-0.013566653221784465,1.0,
method_code,,,,,,,,,,,
