,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,0.04117325402352413,0.04047968369957248,,,-0.007043291149325346,-0.007043291149325346,0.3476875090178832,-0.007535107758957928,0.12192641544355261
latitude,,0.04117325402352413,1.0,-0.10863843941904677,,,-0.06225468877700092,-0.06225468877700092,-0.09482714165992193,-0.05769055232213861,0.0005557774109343054
longitude,,0.04047968369957248,-0.10863843941904677,1.0,,,-0.031685941381033,-0.031685941381033,-0.025892317678467926,-0.024792444823095103,-0.08831328754427314
observation_count,,,,,,,,,,,
observation_percent,,,,,,,,,,,
arithmetic_mean,,-0.007043291149325346,-0.06225468877700092,-0.031685941381033,,,1.0,1.0,-0.019062608567335822,0.9797131430166973,-0.016658760235827234
first_max_value,,-0.007043291149325346,-0.06225468877700092,-0.031685941381033,,,1.0,1.0,-0.019062608567335822,0.9797131430166973,-0.016658760235827234
first_max_hour,,0.3476875090178832,-0.09482714165992193,-0.025892317678467926,,,-0.019062608567335822,-0.019062608567335822,1.0,-0.019024063249817272,-0.02819521807921075
aqi,,-0.007535107758957928,-0.05769055232213861,-0.024792444823095103,,,0.9797131430166973,0.9797131430166973,-0.019024063249817272,1.0,-0.015585174498000873
method_code,,0.12192641544355261,0.0005557774109343054,-0.08831328754427314,,,-0.016658760235827234,-0.016658760235827234,-0.02819521807921075,-0.015585174498000873,1.0
