,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,0.17424224831763727,-0.02888384143752975,0.3768077324985597,-0.07218471460670091,-0.09292191107011226,0.06611606447886689,0.3028956909902708,-0.12324311861705578,0.49534980749346547
latitude,,0.17424224831763727,1.0,0.1006919596946408,0.04564594324454193,-0.00469381238867767,-0.04745751150524804,-0.01909165477058388,0.03530800586697589,-0.07142943401238692,0.029427139350446843
longitude,,-0.02888384143752975,0.1006919596946408,1.0,-0.11054522428238443,0.0170885231598418,0.06564082471525057,-0.019367310201345054,-0.08851708897942828,0.10513280209276007,-0.10041776567204885
observation_count,,0.3768077324985597,0.04564594324454193,-0.11054522428238443,1.0,-0.09108172549623823,-0.08676983542021724,0.2839625972088958,0.7800129337409929,0.0007088690310264983,0.6360847576045816
observation_percent,,-0.07218471460670091,-0.00469381238867767,0.0170885231598418,-0.09108172549623823,1.0,0.021868192938153314,-0.04002193668087941,-0.14922283332964814,0.0007088690315716378,-0.10679122731568226
arithmetic_mean,,-0.09292191107011226,-0.04745751150524804,0.06564082471525057,-0.08676983542021724,0.021868192938153314,1.0,0.7488355247806993,-0.06541970631759998,0.9482302542767459,-0.13043785416695752
first_max_value,,0.06611606447886689,-0.01909165477058388,-0.019367310201345054,0.2839625972088958,-0.04002193668087941,0.7488355247806993,1.0,0.23898847745482857,0.9482302542767459,0.12040329554388991
first_max_hour,,0.3028956909902708,0.03530800586697589,-0.08851708897942828,0.7800129337409929,-0.14922283332964814,-0.06541970631759998,0.23898847745482857,1.0,0.0025012971164746238,0.4918713576538803
aqi,,-0.12324311861705578,-0.07142943401238692,0.10513280209276007,0.0007088690310264983,0.0007088690315716378,0.9482302542767459,0.9482302542767459,0.0025012971164746238,1.0,-0.08802073057545341
method_code,,0.49534980749346547,0.029427139350446843,-0.10041776567204885,0.6360847576045816,-0.10679122731568226,-0.13043785416695752,0.12040329554388991,0.4918713576538803,-0.08802073057545341,1.0
