,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,0.1442220846512185,-0.07423446014699774,0.07130923625237336,0.0009971373684397097,0.10114528111001082,0.06970345922302673,0.14098189715568768,0.219036201284317,0.21696042593547613
latitude,,0.1442220846512185,1.0,-0.4334306560224434,-0.008700947858663063,0.020517989836168336,-0.09080314630944791,-0.058043530325877474,-0.01188788106343629,-0.16396520574067758,0.2314474814581716
longitude,,-0.07423446014699774,-0.4334306560224434,1.0,0.006874086829063049,-0.027693954036859522,0.06193577541671628,0.01689435797479855,0.009827588024449564,0.1544640169848925,-0.1142392650038386
observation_count,,0.07130923625237336,-0.008700947858663063,0.006874086829063049,1.0,-0.04600577573290086,0.026129888231000407,0.3187884411747736,-0.3096100777533942,,-0.09743568882729464
observation_percent,,0.0009971373684397097,0.020517989836168336,-0.027693954036859522,-0.04600577573290086,1.0,-0.012779805574776112,-0.04843275681822448,0.0587446903696864,,0.036465277103100394
arithmetic_mean,,0.10114528111001082,-0.09080314630944791,0.06193577541671628,0.026129888231000407,-0.012779805574776112,1.0,0.7741015628396117,0.041738760158928495,0.9122675972635325,-0.013086915641588015
first_max_value,,0.06970345922302673,-0.058043530325877474,0.01689435797479855,0.3187884411747736,-0.04843275681822448,0.7741015628396117,1.0,-0.06102033196425775,0.9122675972635325,-0.042191422952739824
first_max_hour,,0.14098189715568768,-0.01188788106343629,0.009827588024449564,-0.3096100777533942,0.0587446903696864,0.041738760158928495,-0.06102033196425775,1.0,0.1355226261589012,-0.05175513251588006
aqi,,0.219036201284317,-0.16396520574067758,0.1544640169848925,,,0.9122675972635325,0.9122675972635325,0.1355226261589012,1.0,0.28022139336712987
method_code,,0.21696042593547613,0.2314474814581716,-0.1142392650038386,-0.09743568882729464,0.036465277103100394,-0.013086915641588015,-0.042191422952739824,-0.05175513251588006,0.28022139336712987,1.0
