,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,1.0,0.0771235294858343,0.07257919407034848,-0.07738730409427907,-0.06326098246885943,0.019643124507711145,0.2696589843049833,0.42975321296741736,-0.13498735317484997,,0.047479312130775775
poc,0.0771235294858343,1.0,-0.04123564640231547,-0.037239224118237366,-0.180954568186259,-0.002056225557104607,0.018776984604656776,0.01065406168051176,-0.04640981732548724,,0.21092986046030074
latitude,0.07257919407034848,-0.04123564640231547,1.0,0.12400374095533347,-0.030901491998255096,0.010555365527711484,0.10333466102463566,0.10726892974034347,0.010241593855538701,,0.034332986035865
longitude,-0.07738730409427907,-0.037239224118237366,0.12400374095533347,1.0,0.053303743425581133,-0.00044381088776116926,0.2161821914279825,0.18334664779787616,0.025654446745916003,,-0.06721147873892948
observation_count,-0.06326098246885943,-0.180954568186259,-0.030901491998255096,0.053303743425581133,1.0,0.26143453875187816,-0.027249264515372268,0.12075953097568316,0.18213797160369782,,-0.9537820184958956
observation_percent,0.019643124507711145,-0.002056225557104607,0.010555365527711484,-0.00044381088776116926,0.26143453875187816,1.0,-0.024259666315804285,-0.0005940812460844089,-0.044598301112681635,,0.02442844817881856
arithmetic_mean,0.2696589843049833,0.018776984604656776,0.10333466102463566,0.2161821914279825,-0.027249264515372268,-0.024259666315804285,1.0,0.8977535255607623,-0.07280959641427458,,0.010521255751948693
first_max_value,0.42975321296741736,0.01065406168051176,0.10726892974034347,0.18334664779787616,0.12075953097568316,-0.0005940812460844089,0.8977535255607623,1.0,-0.0729195614455887,,-0.13698410440404346
first_max_hour,-0.13498735317484997,-0.04640981732548724,0.010241593855538701,0.025654446745916003,0.18213797160369782,-0.044598301112681635,-0.07280959641427458,-0.0729195614455887,1.0,,-0.19617033752348173
aqi,,,,,,,,,,,
method_code,0.047479312130775775,0.21092986046030074,0.034332986035865,-0.06721147873892948,-0.9537820184958956,0.02442844817881856,0.010521255751948693,-0.13698410440404346,-0.19617033752348173,,1.0
