,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,-0.0383929049024714,-0.10013226470972982,0.000405495814251158,0.0032725258286708573,-0.021217044519480206,-0.01817346697908078,-0.013784505079501545,-0.023298314210069615,0.08631285236826959
latitude,,-0.0383929049024714,1.0,0.18341324417716973,0.007006353787324407,0.03575201910770893,0.038774238792743755,-0.0009575672052147711,0.0284756604642342,0.029095708367774205,0.06799784068075324
longitude,,-0.10013226470972982,0.18341324417716973,1.0,0.014600309804445254,0.08685302843665531,0.0903506508443052,0.024194551543441932,0.08076776959115767,0.07643073751690345,-0.026755864253798552
observation_count,,0.000405495814251158,0.007006353787324407,0.014600309804445254,1.0,0.335276059453418,0.0009286124852813325,0.08666857307027442,-0.11723961050238428,0.015278459578074704,-0.026847843216424253
observation_percent,,0.0032725258286708573,0.03575201910770893,0.08685302843665531,0.335276059453418,1.0,0.0028529734504630067,0.03283190253339307,-0.029484911306021554,0.029745059151402728,-0.027576456028171818
arithmetic_mean,,-0.021217044519480206,0.038774238792743755,0.0903506508443052,0.0009286124852813325,0.0028529734504630067,1.0,0.8344750655118218,0.12041742473526078,0.7824821253868091,-0.16817335830912306
first_max_value,,-0.01817346697908078,-0.0009575672052147711,0.024194551543441932,0.08666857307027442,0.03283190253339307,0.8344750655118218,1.0,0.10629138217925746,0.8211871106666377,-0.12710190805033794
first_max_hour,,-0.013784505079501545,0.0284756604642342,0.08076776959115767,-0.11723961050238428,-0.029484911306021554,0.12041742473526078,0.10629138217925746,1.0,0.1889261243304058,0.00688289649114571
aqi,,-0.023298314210069615,0.029095708367774205,0.07643073751690345,0.015278459578074704,0.029745059151402728,0.7824821253868091,0.8211871106666377,0.1889261243304058,1.0,-0.19239966772034234
method_code,,0.08631285236826959,0.06799784068075324,-0.026755864253798552,-0.026847843216424253,-0.027576456028171818,-0.16817335830912306,-0.12710190805033794,0.00688289649114571,-0.19239966772034234,1.0
