,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,0.032311444903127616,-0.024660761068767557,-0.000785881326686637,-0.000676647512029162,-0.029608707982910258,-0.02256119358858892,0.02528157083595447,,0.017895454202172645
latitude,,0.032311444903127616,1.0,0.0984384403254265,0.012666343293014654,0.012626249034459094,-0.4201540526804522,-0.39966899932791294,-0.042058842583471215,,-0.04871741235173939
longitude,,-0.024660761068767557,0.0984384403254265,1.0,-0.0034137870521461083,-0.003457178066323458,-0.06104485950747486,-0.09892825226542344,-0.078604426069084,,-0.009160447049467198
observation_count,,-0.000785881326686637,0.012666343293014654,-0.0034137870521461083,1.0,0.9999548962618515,-0.005142438978897606,0.01082851670075535,0.0404743818241642,,0.002645285369679972
observation_percent,,-0.000676647512029162,0.012626249034459094,-0.003457178066323458,0.9999548962618515,1.0,-0.005081208464525518,0.0109088974166411,0.040542644375241556,,0.002622780181223987
arithmetic_mean,,-0.029608707982910258,-0.4201540526804522,-0.06104485950747486,-0.005142438978897606,-0.005081208464525518,1.0,0.9766408076207053,0.16729878347518762,,0.02846553273100747
first_max_value,,-0.02256119358858892,-0.39966899932791294,-0.09892825226542344,0.01082851670075535,0.0109088974166411,0.9766408076207053,1.0,0.20733227566987544,,0.028075044310825095
first_max_hour,,0.02528157083595447,-0.042058842583471215,-0.078604426069084,0.0404743818241642,0.040542644375241556,0.16729878347518762,0.20733227566987544,1.0,,0.009468894558286844
aqi,,,,,,,,,,,
method_code,,0.017895454202172645,-0.04871741235173939,-0.009160447049467198,0.002645285369679972,0.002622780181223987,0.02846553273100747,0.028075044310825095,0.009468894558286844,,1.0
