,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,1.0,-0.0013207216557371405,0.004998554168782616,-0.0009548546242361252,0.00011070030327385294,-1.883457467820765e-05,0.8999423959067065,0.9404352891361148,-0.04934012576432857,,-0.0027905518800530327
poc,-0.0013207216557371405,1.0,0.02724987607552767,0.045342116257495596,-0.13428283959967058,-0.13434622990940695,0.0026148354199755377,-0.003540807612731943,-0.0049727921363433665,,0.21720487463940957
latitude,0.004998554168782616,0.02724987607552767,1.0,0.16468129707231055,-0.002979998447155377,-0.002929047647003329,0.05650340005174406,0.035283295497556155,0.0031219424994700464,,0.07002018516670014
longitude,-0.0009548546242361252,0.045342116257495596,0.16468129707231055,1.0,-0.009533775863430223,-0.009840801703121902,0.0018414445839241799,-0.02838618392655995,-0.0235754482892902,,-0.011130853907426212
observation_count,0.00011070030327385294,-0.13428283959967058,-0.002979998447155377,-0.009533775863430223,1.0,0.9987943355398813,0.0012189271040629322,0.012735394371207038,0.009451338139563443,,-0.01971986460860613
observation_percent,-1.883457467820765e-05,-0.13434622990940695,-0.002929047647003329,-0.009840801703121902,0.9987943355398813,1.0,0.0011100610601729197,0.01264917809212016,0.009474670023371863,,-0.019941046776152927
arithmetic_mean,0.8999423959067065,0.0026148354199755377,0.05650340005174406,0.0018414445839241799,0.0012189271040629322,0.0011100610601729197,1.0,0.9173341212031111,-0.04375173171500479,,-0.000700070333965263
first_max_value,0.9404352891361148,-0.003540807612731943,0.035283295497556155,-0.02838618392655995,0.012735394371207038,0.01264917809212016,0.9173341212031111,1.0,-0.05650067461072972,,0.0007560713327242505
first_max_hour,-0.04934012576432857,-0.0049727921363433665,0.0031219424994700464,-0.0235754482892902,0.009451338139563443,0.009474670023371863,-0.04375173171500479,-0.05650067461072972,1.0,,0.008716866796981002
aqi,,,,,,,,,,,
method_code,-0.0027905518800530327,0.21720487463940957,0.07002018516670014,-0.011130853907426212,-0.01971986460860613,-0.019941046776152927,-0.000700070333965263,0.0007560713327242505,0.008716866796981002,,1.0
