,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,9002472.0,42101.0,0.0,42101.0,42101.0,42101.0,42101.0,42101.0,parameter_code
poc,9002472.0,1.0612968304705641,0.41476136652083717,1.0,1.0,1.0,1.0,9.0,poc
latitude,9002472.0,37.6687452439798,5.6420115094619065,0.0,34.10374,38.593322,40.820556,64.84569,latitude
longitude,9002472.0,-97.80986812795804,19.2721756175443,-159.36624,-117.154841,-94.450513,-80.622053,0.0,longitude
observation_count,9002472.0,23.415020007837846,2.0247150132532936,1.0,24.0,24.0,24.0,24.0,observation_count
observation_percent,9002472.0,97.60373784000662,8.401650203456308,4.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,9002472.0,0.635645839182838,0.5973540362946528,-0.5,0.252174,0.4625,0.827273,48.1,arithmetic_mean
first_max_value,9002472.0,1.1716167608074757,1.2994447398337179,-0.5,0.4,0.8,1.5,65.9,first_max_value
first_max_hour,9002472.0,9.352310565364713,8.046939082177909,0.0,1.0,7.0,17.0,23.0,first_max_hour
aqi,4502183.0,11.046375946957287,11.316103331824905,0.0,5.0,8.0,14.0,453.0,aqi
method_code,4500289.0,114.00242051121606,162.0406316715357,8.0,54.0,54.0,93.0,594.0,method_code
