,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,9881421.0,61262.445799344045,25382.4865094802,12103.0,43804.0,45201.0,88112.0,88136.0,parameter_code
poc,9881421.0,2.92323270104573,3.2523270148522965,1.0,1.0,1.0,5.0,99.0,poc
latitude,9881421.0,38.388962514019276,5.88783697967636,0.0,34.090866,39.105336,42.22862,68.637233,latitude
longitude,9881421.0,-94.14841745192243,17.405256338329075,-160.508331,-106.957181,-91.405348,-80.237586,0.0,longitude
observation_count,9881421.0,1.5537952486793145,3.3655581198769666,1.0,1.0,1.0,1.0,96.0,observation_count
observation_percent,9881421.0,98.91873891417033,8.124588035011962,1.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,9881421.0,0.4130820657090709,11.504648297719932,-0.1,0.0,0.00033,0.03,20000.0,arithmetic_mean
first_max_value,9881421.0,0.5174332078382253,12.049183865252148,-0.1,0.0,0.00033,0.03,20000.0,first_max_value
first_max_hour,9881421.0,0.6557663113432775,3.108462624705135,0.0,0.0,0.0,0.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,9881421.0,421.84794170797903,329.6658955262877,89.0,134.0,176.0,800.0,923.0,method_code
