,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,4536052.0,42602.0,0.0,42602.0,42602.0,42602.0,42602.0,42602.0,parameter_code
poc,4536052.0,1.1480820766604969,0.5111837331303053,1.0,1.0,1.0,1.0,6.0,poc
latitude,4536052.0,37.157034784329426,4.791431563767515,17.963756,33.92086,37.55652,40.620278,64.84569,latitude
longitude,4536052.0,-98.4463370912246,17.61618136413988,-159.36624,-117.142665,-96.317687,-82.402918,-66.052237,longitude
observation_count,4536052.0,22.99967130006446,2.1217085166255947,1.0,23.0,24.0,24.0,24.0,observation_count
observation_percent,4536052.0,95.924539445315,8.801580076523976,4.0,96.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,4536052.0,12.221158037077606,10.366214728744408,-5.0,4.416667,9.565217,17.318182,231.166667,arithmetic_mean
first_max_value,4536052.0,24.002092700877355,17.394640167400684,-5.0,10.3,21.0,34.0,693.1,first_max_value
first_max_hour,4536052.0,11.630558688480644,7.825458501974039,0.0,5.0,10.0,19.0,23.0,first_max_hour
aqi,4536052.0,22.559427890156464,16.333976504480425,0.0,9.0,20.0,32.0,208.0,aqi
method_code,4536052.0,90.05729894630838,94.88341636292479,14.0,74.0,74.0,99.0,599.0,method_code
