,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,4870448.0,81102.0,0.0,81102.0,81102.0,81102.0,81102.0,81102.0,parameter_code
poc,4870448.0,1.982875086645007,1.573570525772837,1.0,1.0,1.0,3.0,55.0,poc
latitude,4870448.0,38.533685354105806,5.908004704645245,13.333333,35.00876,39.055277,41.7425,64.84569,latitude
longitude,4870448.0,-100.54967273342169,17.418070979640206,-161.767,-114.313206,-105.19231,-84.36374,144.833333,longitude
observation_count,4870448.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,observation_count
observation_percent,4870448.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,4870448.0,24.36843405370512,39.61636062481541,-58.0,12.0,19.0,30.0,20750.0,arithmetic_mean
first_max_value,4870448.0,24.36843405370512,39.61636062481541,-58.0,12.0,19.0,30.0,20750.0,first_max_value
first_max_hour,4870448.0,10.529022792153823,11.43464491204716,0.0,0.0,0.0,23.0,23.0,first_max_hour
aqi,4870448.0,21.93099710745295,36.13134591570837,0.0,11.0,18.0,28.0,20646.0,aqi
method_code,2654636.0,74.85859680950608,25.257217993115724,3.0,63.0,63.0,79.0,773.0,method_code
