,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,6640118.0,88101.0,0.0,88101.0,88101.0,88101.0,88101.0,88101.0,parameter_code
poc,6640118.0,2.2009044116384677,1.3140405281827234,1.0,1.0,2.0,3.0,33.0,poc
latitude,6640118.0,38.61448791741639,5.923512466358992,17.712474,35.3041,39.442165,41.784722,64.846506,latitude
longitude,6640118.0,-95.88877463658078,19.215547456622293,-159.36624,-111.894167,-90.225667,-80.733858,-64.784868,longitude
observation_count,6640118.0,7.542861587700701,10.27574423987569,1.0,1.0,1.0,24.0,24.0,observation_count
observation_percent,6640118.0,99.43112953715581,4.561089532310963,4.0,100.0,100.0,100.0,200.0,observation_percent
arithmetic_mean,6640118.0,9.293143776348101,7.540483508427286,-9.75,4.9,7.6,11.7,824.104167,arithmetic_mean
first_max_value,6640118.0,11.893882247273332,11.98089379188735,-9.7,5.9,9.3,14.8,1467.2,first_max_value
first_max_hour,6640118.0,3.3751528210793844,6.690455281168182,0.0,0.0,0.0,2.0,23.0,first_max_hour
aqi,4706942.0,37.07294396234328,21.234479216651305,0.0,21.0,33.0,51.0,714.0,aqi
method_code,4749127.0,153.88582322603713,44.87861203708245,116.0,118.0,145.0,170.0,581.0,method_code
