,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,5525904.0,88502.0,0.0,88502.0,88502.0,88502.0,88502.0,88502.0,parameter_code
poc,5525904.0,2.996475689769493,0.9863743017958125,1.0,3.0,3.0,3.0,12.0,poc
latitude,5525904.0,38.96506749100693,6.569018344613077,17.712474,33.625273,39.866834,44.063916,68.637233,latitude
longitude,5525904.0,-99.67987298705314,18.083900078793583,-161.767,-118.22688,-95.220582,-83.88705,-64.784868,longitude
observation_count,5525904.0,11.025862193769562,11.288975095029311,1.0,1.0,1.0,24.0,24.0,observation_count
observation_percent,5525904.0,99.20769832411132,5.496944603607236,4.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,5525904.0,8.980130922434592,8.417965779475658,-324.3,4.521739,7.4,11.3,985.0,arithmetic_mean
first_max_value,5525904.0,13.079148162121532,15.01738695868822,-324.3,5.8,9.9,16.3,1400.9,first_max_value
first_max_hour,5525904.0,15.378555255393506,9.172336734036545,0.0,7.0,21.0,23.0,23.0,first_max_hour
aqi,3070872.0,33.635332570032226,21.507560630358732,0.0,18.0,30.0,47.0,669.0,aqi
method_code,3130433.0,714.3163182217924,100.99720650986515,118.0,702.0,707.0,760.0,850.0,method_code
