,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,2262530.0,64101.0,0.0,64101.0,64101.0,64101.0,64101.0,64101.0,parameter_code
poc,2262530.0,1.0121996172426444,0.18790880847333782,1.0,1.0,1.0,1.0,9.0,poc
latitude,2262530.0,40.118986435565056,4.325330360387038,18.420089,37.362137,41.247486,42.82231,64.84569,latitude
longitude,2262530.0,-96.33189788599536,18.03074680933988,-155.2881,-116.214563,-91.634067,-79.31881,-66.150615,longitude
observation_count,2262530.0,23.887920160174673,1.0759799894712534,1.0,24.0,24.0,24.0,24.0,observation_count
observation_percent,2262530.0,99.53687376520975,4.4734367797415375,4.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,2262530.0,997.8242140838529,1043.5767399428898,0.0,931.066667,989.791667,1005.166667,35159.283333,arithmetic_mean
first_max_value,2262530.0,1000.9383111216204,1047.0635587764257,0.0,934.0,993.0,1008.0,35184.7,first_max_value
first_max_hour,2262530.0,9.199484205734288,8.098760341409466,0.0,0.0,8.0,18.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,2262530.0,15.828555643461081,46.785609040991304,11.0,11.0,11.0,14.0,803.0,method_code
