address,count
4530 N 17TH AVENUE,19900
"5888 MISSION BLVD., RUBIDOUX",18511
4514 1/2 Durant St,17756
"1630 N MAIN ST, LOS ANGELES",15962
750 DUNDEE ROAD,15445
"2300-C Wildcat Road, Decatur GA 30034",14807
HARRISON AVE,14735
"FRANCIS SCHOOL, 64 BOURNE AVE",14441
390 PARKLAND,14432
1501 E. LYCOMING AVE.,14177
"2500 1ST STREET, N.W. WASHINGTON DC",13802
"5558 California Ave., Bakersfield CA 93309",13751
1415 Hinton Street,13462
2842 WYOMING (DEARBORN),12997
"201 MISSISSIPPI ST., IITRI BUNKER",12784
600 Dorsey Avenue,12366
4103 BEACON HILL S,11253
ANDERSON RD AFB,10942
2401 HARTMAN STREET  MATH & SCIENCE CTR,10858
"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",10796
1061-A Leesville Ave,10620
IS 52    681 KELLY ST,10133
800 S San Marcial Street,10100
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",9869
10TH ST. & VINE ST. DAVENPORT,9814
3801 SPRING FOREST RD.,9596
"3120 E. 30TH ST., WASHINGTON PARK",9338
"DEL PASO-2701 AVALON DR, SACRAMENTO",9229
"58 HARVEY ROAD, Underhill, Vermont",9208
"803 N. LOREN AVE., AZUSA",9130
"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",9035
4510 1/2 Aldine Mail Rd,8951
"3425 N FIRST ST, FRESNO",8922
9525 1/2 Clinton Dr,8887
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",8868
3317 Ross Ave,8799
Queens College   65-30 Kissena Blvd  Parking Lot#6,8751
RT 2 BOX 100 MCBEE  (SC145) [Chesterfield],8406
2300 N M. L. KING JR DR,8172
"1907 CARPENTER, DES MOINES IOWA",8171
"1167 N Dover Road, Valrico, FL 33527",8134
1130 EASTWAY DRIVE,8120
1300 BLK. HATTIE AVENUE,7836
"1155 REDWOOD AVE., EL CAJON",7629
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,7511
158B JACKSON ST,7443
NJ Turnpike Interchange 13 Toll Plaza,7389
E. 14TH & ORANGE,7367
NARSTO SITE - ARENDTSVILLE,7362
Hwy 134 & Spur 449,7305
"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",7243
150 WATERMAN (DETROIT-SW),7113
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",7073
"2 YARMOUTH ROAD, RG&E Substation",6949
"228 W. PALM AVE., BURBANK",6868
2105 BROADWAY,6851
3520 1/2 N. PEORIA,6830
14700 GODDARD (ALLEN PARK),6826
"Department of Public Works Bldg. #1, 50 North Road",6754
"1 Hilton St, PROVIDENCE RI",6633
2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),6624
"HEALTH CENTER, 1337 SO 16TH ST",6576
"King Farm, 160 Ralph King Path, Rockmart, Georgia, 30153",6570
"Cook College, Log Cabin Road near Horticulture Lab",6416
1004 MAIN ST.,6406
2547 ST TIKHON,6371
MLK BLVD AND JUSTISON ST.,6371
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",6296
"HAZELTON-HD, STOCKTON",6260
200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,6237
10 S QUEEN ANN  QUEEN VALLEY,6122
1086 Vermont Avenue,6109
COPEWOOD E. DAVIS STS; TRAILER,5990
W. ALTON JONES CAMPUS URI PARKERFIELD WE,5955
2727 10th Ave. S.,5941
5707 Up River Rd,5836
Denton Airport South,5776
2725 Old Fort Worth Road,5746
"Horicon Wildlife Area, 1210 N Palmatory St",5745
"150 SOUTH WINOOSKI AVENUE, Burlington, Vermont",5701
"8301 ACKERSON ROAD, Pinnacle State Park",5700
"96 STATE STREET, Rutland, Vermont",5679
1405 Sheldon Road,5639
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",5611
1JAMES STREET,5524
"Vegetable Farm 3, 67 Ryders Lane",5467
250 Rim Rd,5437
PACK MONADNOCK SUMMIT,5368
"CAMP ROBERT WEBB, 1486 CAMP WEBB ROAD",5345
1179 MONROE  (GRAND RAPIDS),5337
"1675 SOUTH 600 EAST, SALT LAKE CITY",5300
"TRAILER,185 DINGENS STREET (near WEISS ST.)",5297
SE LAFAYETTE/5824 SE LAFAYETTE,5291
10 ARKANSAS ST.,5271
618 LOGAN ST.,5179
PIKE AVE AT RIVER ROAD,5161
FRONT ST & NORRIS ST,5147
16822 Kitzman,5097
"1309 T ST., SACRAMENTO, CA. 95814",5057
344 Porter Drive,5032
"BIG BEND NATIONAL PARK, TEXAS",4978
"46 John Coffee Road, Nicholls, GA 31554",4909
Remington Road (see coordinates),4903
"908 N VILLA AVE, CLOVIS",4880
4100 Fairway Dr,4830
QUABBIN SUMMIT,4827
24TH & RITNER STREETS,4812
"1210 N. 10TH ST.,JFK RECREATION CENTER",4751
65180 Belleview Road,4710
"545 CENTRAL AVENUE, OXNARD, CA  93030",4695
"814 14TH ST., MODESTO",4689
4700A SAN MATEO NE,4684
"310 N CHURCH ST, VISALIA",4682
"11245 Port Hudson-Pride Rd. Zachary, La",4625
650 R E Thomason Loop,4617
6400 Bissonnet Street,4608
"8601 60TH STREET N.,PINELLAS PARK, FL .",4599
500 11TH ST NW,4594
"STA. 46-B9, LEE PARK, TELEGRAPH ROAD",4584
"2743 Washington Blvd, McKeesport, PA 15133 (Liberty)",4568
700 West San Francisco Ave,4568
110 CENTURY PARK CIRCLE WEST,4554
"3648 N. LONG BEACH BLVD., LONG BEACH",4553
2300 North Glasscock,4545
"30 NORTH MAIN STREET, LINDON, UTAH",4523
136 PERRY DRIVE,4487
DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,4476
"22224 PLACERITA CANYON RD, SANTA CLARITA",4467
"3727 N FIRST ST, FRESNO",4466
1300 141 ST STREET,4443
250 WM. HOWARD TAFT,4424
"TWO LIGHTS STATE PARK, Near the Obsevation Tower",4421
4743 MANNHEIM RD.,4420
47 Maple Street,4392
DONOHOE ROAD - PENN DOT MAINT DIST BLDG,4391
567 Eagle Lake Road,4344
7801 LAWNDALE,4336
"2625 Georgia Highway 212, Conyers, Georgia, 30094",4331
3810 Huisache Street,4310
"N ROSELAWN, PORTLAND,OR",4299
"301 A STATE STREET, RENO, NV 89502",4283
1242 JERSEY ST WYLAM AL,4277
HILL ST.,4246
"84 E. 'J' ST., CHULA VISTA",4232
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",4224
2001 E 8th St,4211
"MESA VERDE NATIONAL PARK, COLORADO",4201
"1350 SAN BERNARDINO RD., UPLAND",4192
8715 CESSNA STREET,4154
"33 W TAMARISK AVE, PHOENIX",4126
400 W RIVER ROAD,4122
" 151 NO SUNRISE BLVD, ROSEVILLE, CA",4054
1769 S JEFFS RD (HOUGHTON LAKE),4051
4266 40TH AVE NORTH,4050
84 DIANA RD/ WATER TREATMENT PLANT,4034
"7200-22 Avenue N., St. Petersburg, FL 33710",4032
"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",4023
2443 SOUTH JACKSON AVENUE,3976
Gregg Co Airport near Longview,3968
11600 EAST SEVEN MILE RD (DETROIT-E7M),3935
520 GRAND ISLAND BLVD,3929
700 Zaragosa St,3923
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",3908
HILLMAN STATE PARK - KINGS CREEK ROAD,3901
"U.S. GEODETIC SURVEY, OFF RT.2, CORBIN",3901
12821 PINE BEND TRAIL,3898
3790 S Houston St,3887
AMAZON PARK/499 E 29TH,3885
"HEALTH DEPT., 1900 EAST 9TH ST.",3879
8311 PARKLANE ROAD [Parklane],3855
793 Rincon Ave.,3850
1599 WENIG RD NE,3831
1540 EAST 6TH STREET,3821
309 2nd Ave. S.,3815
3350 YANKEE ROAD,3803
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],3794
GREAT SMOKY MOUNTAINS NP LOOK ROCK,3787
9399 Lima St,3777
"14360 ARROW BLVD., FONTANA",3760
623 Ellias Street,3758
#1 Battleship Road,3750
"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",3745
"Bungalow Road Elementary School, 2216 BUNGALOW RD, AUGUSTA GA 30906",3745
2956-A TREAT BOULEVARD,3737
1000 E. OHIO,3735
"600 E. VALLEY PKWY., ESCONDIDO",3714
"468 MANZANITA AVE, CHICO",3707
1810 N 16TH STREET,3689
200TH STREET AND SOUTHERN BLVD Harding Lab,3684
7201 W. WESTCHESTER PARKWAY,3677
7354 W. US 36/ SHENANDOAH H.S.- MIDDLETON,3671
MAMMOTH CAVE NP - ALFRED COOK ROAD,3668
"2300 VICTORIA DR., ALPINE",3616
ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS,3606
"9240 S. RIVERBEND, PARLIER 93648",3601
WASHINGTON & CAMBRIA STS. FREEMANSBURG,3594
"50 NATOMA STREET, FOLSOM",3575
105 SOUTH 17TH ST @ LOCKELAND SCHOOL,3574
SHENANDOAH NP BIG MEADOWS,3541
3205 SW 70TH AVENUE,3540
1200 OXFORD STATE ROAD,3535
"213 S. Denning Ave, Winter Park, FL 32789",3517
"520 S. EAGLE ROAD,  MERIDIAN",3495
304 TUOLUMNE ST.,3493
VERNON STREET TRAILER,3470
BADLANDS PO BOX 6 HEADQUARTERS,3469
"108 CHERRY STREET, BURLINGTON",3464
13TH & TUDOR,3458
4625 MILDRED DRIVE,3453
ROCKY MOUNTAIN NP,3452
"200 S. HATHAWAY ST., BANNING CA",3446
"300 Allied Industrial Bvld., Macon, Georgia 31206",3444
4700 East Marginal Way South,3435
4250 Karen Ave,3434
2180 LAKE BREEZE,3433
7802 SOUTH L STREET,3430
7210 1/2 Bayway Drive,3428
605 Avenue L,3428
NEW GARDEN AIRPORT - TOUGHKENAMON,3423
UNIVERSITY OF EVANSVILLE - CARSON CENTER 1800 Lincoln Ave.( North of East Walnut St.),3416
1059 Arnold Road,3413
645 1/4 PITKIN AVE.,3406
426 Commerce Street,3402
2020 Vidaurri Ave,3394
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",3389
DENALI NATIONAL PARK,3366
2142 120TH STREET EAST,3356
1745 N. SPRINGFIELD,3349
"Hawaii Volcanoes National Park, HI 96718",3338
" 12490 BRUCEVILLE RD, ELK GROVE, CA",3318
SHERWOOD ISLAND STATE PARK,3297
AB TECH COLLEGE,3290
13881 I94 EAST,3290
21441-W B STREET,3286
EVERGLADES NP,3280
2052 LAUWILIWILI ST,3278
"Northeast entrance, Pinnacles National Park",3269
2600B Webberville Rd,3260
MILLER AUTO SHOP 1 MESSENGER ST,3257
RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,3254
"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",3231
Garfield County - Battlement Mesa,3229
"CANYONLANDS NATIONAL PARK, UTAH",3214
24430 LACEY TRAIL,3212
CHIRICAHUA NATIONAL MOUMENT,3212
Alley Btwn N. Park Pl. and S. Park Pl.,3211
10TH AND MARNE STREETS,3206
"8315 HIGHWAY 8, KENMARE",3203
900 FM 667 Ellis County,3193
SEYMOUR & VINE ST.,3188
W10746 Cty Rd. M,3188
266-298 Spruce Street,3185
COUNTY RD 59,3174
MOHAWK MOUNTAIN ROAD (see coordinates),3162
1630 W. PAMPAS LANE,3158
GLACIER NATIONAL PARK,3156
1330 DUEBER,3154
Fernberg Road,3143
649 FIFTH STREET,3125
642 W. EXCHANGE ST.,3124
GEORGE ST TROOP AND CITY OF SCRANTON,3100
1262 1/2 Mae Drive,3096
225 GARDEN VIEW DRIVE,3094
"Oldtown Fire Station, 1100 Hillen Street",3085
150 Pillsbury Rd,3079
1504 1/2 Haden Road,3074
"MOUNDSVILLE - NG ARMORY, 1501 NINTH STREET",3072
"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",3072
"PET FOR NAT PARK, NEAR OLD SW ENTERANCE ON OLD ROUTE 180",3057
RIVERSIDE SUBSTATION  911 SISKIN DR,3054
SENEY NAT'L WILDLIFE HCR2 BOX 1 (SENEY),3043
"651 Gibson Blvd., Harrisburg, PA 17104",3033
"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",3023
3355 Grandview Ave & 32nd St,3022
2780 VIKING LAKE ROAD,3021
"LIBERTY: Highway & County Home Road, Liberty, 64068",3016
CHARLER01 WASTE TREATMENT PLANT,3014
"MOUNT RAINIER NP, TAHOMA WOODS ADMIN",3008
4252 WATERWORKS ROAD,3003
"MAYVILLE, NEAR N6705 MADISON RD",3001
GREAT BASIN NATIONAL PARK,3001
100 E. 2ND ST.,2998
5636 SOUTHERN BOULEVARD,2996
"Cusseta Road Elementary School, 4150 Cusseta Road, Columbus, Georgia, 31903",2993
"5555 OVERLAND AVE., SAN DIEGO",2990
206 E 6TH ST- Jasper Post Office,2971
"548 WALKER ST., SHAFTER, CA., 93263",2966
Cleveland Ave at Clark Dr,2962
NCore - North Cheyenne Soccer Complex,2958
TWP RD 500 E.,2952
2516 1/2 Texas Avenue,2949
FOX BOTTOM AREA,2946
"2820 M St., Bakersfield, CA 93301",2943
2165 AIRPORT ROAD SW,2922
"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",2915
1425 Airport Drive,2911
7101 BIRCH ST.,2911
"2500 E. PRESIDENT STREET, Bd-A, SAVANNAH, GA, 31404",2892
11153 Kling Road,2886
