cbsa_name,count
"Houston-The Woodlands-Sugar Land, TX",110580
"New York-Newark-Jersey City, NY-NJ-PA",109127
"Chicago-Naperville-Elgin, IL-IN-WI",101072
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",77940
"Dallas-Fort Worth-Arlington, TX",75888
"Los Angeles-Long Beach-Anaheim, CA",75783
"Minneapolis-St. Paul-Bloomington, MN-WI",70209
"Riverside-San Bernardino-Ontario, CA",61767
"Boston-Cambridge-Newton, MA-NH",57153
"Phoenix-Mesa-Scottsdale, AZ",56539
"Detroit-Warren-Dearborn, MI",55551
"St. Louis, MO-IL",47164
"Washington-Arlington-Alexandria, DC-VA-MD-WV",46282
"San Francisco-Oakland-Hayward, CA",42705
"Providence-Warwick, RI-MA",40343
"Pittsburgh, PA",40303
"Atlanta-Sandy Springs-Roswell, GA",39434
"Sacramento--Roseville--Arden-Arcade, CA",39431
"San Diego-Carlsbad, CA",39036
"Cincinnati, OH-KY-IN",37887
"El Paso, TX",37751
"Seattle-Tacoma-Bellevue, WA",36909
"Cleveland-Elyria, OH",35478
"Beaumont-Port Arthur, TX",34498
"Bakersfield, CA",32950
"Baltimore-Columbia-Towson, MD",32043
"Birmingham-Hoover, AL",30832
"Denver-Aurora-Lakewood, CO",28880
"Baton Rouge, LA",28865
"Portland-Vancouver-Hillsboro, OR-WA",28288
"Fresno, CA",28195
"Miami-Fort Lauderdale-West Palm Beach, FL",27499
"Tampa-St. Petersburg-Clearwater, FL",27313
"Milwaukee-Waukesha-West Allis, WI",26073
"Indianapolis-Carmel-Anderson, IN",24841
"Richmond, VA",22094
"Burlington-South Burlington, VT",22057
"New Orleans-Metairie, LA",21845
"Louisville/Jefferson County, KY-IN",21602
"Santa Maria-Santa Barbara, CA",21542
"Springfield, MA",20216
"Oxnard-Thousand Oaks-Ventura, CA",20069
"Kansas City, MO-KS",19999
"Buffalo-Cheektowaga-Niagara Falls, NY",19957
"Knoxville, TN",19080
"Charlotte-Concord-Gastonia, NC-SC",18501
"San Jose-Sunnyvale-Santa Clara, CA",17935
"Glenwood Springs, CO",17613
"Tucson, AZ",17369
"Tulsa, OK",17193
"Ogden-Clearfield, UT",17176
"Portland-South Portland, ME",17141
"Corpus Christi, TX",17057
"Las Vegas-Henderson-Paradise, NV",16467
"Evansville, IN-KY",16209
"Oklahoma City, OK",15123
"Salt Lake City, UT",14755
"Davenport-Moline-Rock Island, IA-IL",13803
"Weirton-Steubenville, WV-OH",13748
"Winston-Salem, NC",12873
"Raleigh, NC",12844
"Nashville-Davidson--Murfreesboro--Franklin, TN",12501
"Duluth, MN-WI",12378
"Huntington-Ashland, WV-KY-OH",12337
"Columbia, SC",12175
"Bishop, CA",11926
"Albuquerque, NM",11889
"El Centro, CA",11555
"New Haven-Milford, CT",11551
"Gillette, WY",11364
"Cedar Rapids, IA",11364
"Omaha-Council Bluffs, NE-IA",11249
"Eugene, OR",11247
"Manchester-Nashua, NH",11242
"Gulfport-Biloxi-Pascagoula, MS",11187
"Des Moines-West Des Moines, IA",11155
"Charleston-North Charleston, SC",10849
"Austin-Round Rock, TX",10770
"Wichita, KS",10637
"Columbus, OH",10625
"Asheville, NC",10385
"Memphis, TN-MS-AR",10326
"Rochester, NY",10080
"San Juan-Carolina-Caguas, PR",10004
"Columbus, GA-AL",9460
"Albany-Schenectady-Troy, NY",9354
"Boise City, ID",9350
"Visalia-Porterville, CA",9235
"Dayton, OH",9209
"Lancaster, PA",8859
"Beaver Dam, WI",8788
"Bridgeport-Stamford-Norwalk, CT",8721
"San Antonio-New Braunfels, TX",8653
"Hartford-West Hartford-East Hartford, CT",8646
"Grand Rapids-Wyoming, MI",8631
"Sioux Falls, SD",8543
"Flagstaff, AZ",8533
"Fairbanks, AK",8501
"Helena, MT",8478
"Virginia Beach-Norfolk-Newport News, VA-NC",8452
"Reno, NV",8452
"McAllen-Edinburg-Mission, TX",8418
"Greenville-Anderson-Mauldin, SC",8413
"Greeley, CO",8328
"Grand Junction, CO",8313
"Urban Honolulu, HI",8264
"Youngstown-Warren-Boardman, OH-PA",8211
"Provo-Orem, UT",8171
"Chattanooga, TN-GA",8136
"Hilo, HI",8039
"Tallahassee, FL",8011
"Jacksonville, FL",7996
"Stockton-Lodi, CA",7989
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",7897
"Augusta-Richmond County, GA-SC",7835
"Little Rock-North Little Rock-Conway, AR",7826
"Chico, CA",7667
"Gettysburg, PA",7658
"Allentown-Bethlehem-Easton, PA-NJ",7551
"Laredo, TX",7539
"Brownsville-Harlingen, TX",7487
"Charleston, WV",7483
"Marshall, TX",7463
"Rapid City, SD",7434
"Modesto, CA",7179
"Mobile, AL",7143
"Rock Springs, WY",7072
"Anchorage, AK",6984
"Las Cruces, NM",6950
"Macon, GA",6782
"Orlando-Kissimmee-Sanford, FL",6741
"Payson, AZ",6452
"Akron, OH",6404
"Bowling Green, KY",6334
"Fort Collins, CO",6230
"La Grande, OR",6165
"Reading, PA",6019
"Toledo, OH",5970
"Canton-Massillon, OH",5909
"Redding, CA",5893
"Lexington-Fayette, KY",5836
"Wheeling, WV-OH",5744
"Corning, NY",5738
"Kingsport-Bristol-Bristol, TN-VA",5719
"Kalispell, MT",5696
"Rutland, VT",5695
"Scranton--Wilkes-Barre--Hazleton, PA",5630
"Jackson, MS",5603
"Klamath Falls, OR",5570
"Bangor, ME",5560
"Harrisburg-Carlisle, PA",5550
"Port Angeles, WA",5403
"Bismarck, ND",5344
"Sierra Vista-Douglas, AZ",5317
"Wilmington, NC",5316
"Durango, CO",5281
"Terre Haute, IN",5233
"Jackson, WY-ID",5127
"Clearlake, CA",5041
