city_name,count
Not in a city,73349
New York,53823
Houston,41830
El Paso,37615
Philadelphia,35278
Phoenix,34303
Detroit,23953
Boston,23188
Dallas,22822
Cleveland,22332
Washington,22100
Portland,21551
Minneapolis,20389
Los Angeles,20167
Chicago,20058
Bakersfield,20032
Seattle,19988
Milwaukee,19630
Deer Park,18613
Rubidoux,18511
Middletown,18270
Indianapolis (Remainder),18081
Corpus Christi,17816
Birmingham,16756
Gary,16576
St. Louis,15625
Tulsa,15615
Fresno,15599
Northbrook,15445
Columbus,14925
Cincinnati,14705
East Providence,14617
Lynn,14514
Dearborn,13372
Denver,13252
Rochester,12866
Davenport,12629
Burlington,12589
Baton Rouge,12419
Essex,12394
Chester,12183
Bountiful,12091
Fort Worth,11747
Kansas City,11587
San Jose,11540
El Cajon,11311
Charlotte,11295
St. Paul,11083
Chicopee,10994
Cedar Rapids,10884
Raleigh,10880
East Highland Park,10858
Wilmington,10785
Port Arthur,10744
Providence,10262
Evansville,10189
Oklahoma City,10103
Midlothian,10000
Louisville,9938
Winston-Salem,9928
Camden,9766
Pittsburgh,9655
Des Moines,9382
San Diego,9255
Arden-Arcade,9229
Underhill (Town of),9208
Azusa,9130
New Haven,9121
Beaumont,9055
Beltsville,9035
Simi Valley,8978
Lancaster,8903
Baltimore,8880
Tucson,8806
Wichita,8614
Sioux Falls,8543
Elizabeth,8529
Jackson,8458
Rosemount,8417
Hammond,8250
Valrico,8134
Salt Lake City,8113
Calexico,8042
San Antonio,8002
Sacramento,7754
Grand Junction,7590
Laredo,7539
Springfield,7531
Omaha,7506
Jacksonville,7495
Albuquerque,7452
Memphis,7416
New Orleans,7332
Austin,7252
Greenville,7236
Channelview,7224
Burbank,7101
Nashville,7090
Grand Rapids,7011
Allen Park,6882
Baytown,6869
Port Neches,6813
Tacoma,6800
Macon,6712
Stockton,6707
Asheville,6648
Albany,6636
Ashland,6621
Long Beach,6611
Galveston,6578
Platteville,6562
Pico Rivera,6516
North Brunswick Township,6448
Fairbanks,6426
Reno,6406
Knoxville,6394
Buffalo,6319
Texas City,6287
Tonawanda,6247
Davie,6149
Queen Valley,6122
Duluth,6100
Modesto,6051
San Francisco,5938
Las Vegas,5902
Denton,5863
Newark,5851
Steubenville,5808
Eugene,5805
Kekoskee,5745
Rutland,5695
North Little Rock,5645
Charleston,5607
Akron,5589
East Brunswick (Township of),5467
Miami,5427
East Chicago,5396
Canton,5391
Tampa,5373
Peterborough (Peterboro),5368
Grapevine,5356
East Hartford,5332
Columbia,5313
Brownsville,5243
Dayton,5219
Augusta,5156
Tomball,5097
Lexington-Fayette (corporate name for Lexington),5067
Visalia,4999
Santa Clarita,4980
Richmond,4907
Clovis,4889
Toledo,4876
Ware (census name for Ware Center),4852
Longview,4804
Oakland,4765
Pinellas Park,4765
Tallahassee,4716
Granite City,4706
Schiller Park,4702
Saint Petersburg,4700
Erie,4692
Portsmouth,4638
Gulfport,4635
Commerce City,4623
Groveton,4584
Liberty,4575
Mission,4545
Lindon,4529
Mobile,4488
Calvert City (RR name Calvert),4488
Candor,4487
Concord,4481
Madera,4454
Greensburg,4391
Odessa,4380
Livermore,4346
Savannah,4339
Conyers,4331
Alpine,4318
Mexicali,4291
York,4288
Decatur,4255
Chula Vista,4232
North Charleston,4223
Banning,4206
Upland,4195
Roseville,4194
Presque Isle,4138
Ogden Dunes (Wickliffe),4034
La Grande,4021
La Porte,3946
Shreveport,3930
Chattanooga,3900
Arnold,3898
Anaheim,3892
Kaufman,3887
Dentsville (Dents),3855
Youngstown,3843
Parlier,3829
Atlanta,3826
Fontana,3811
Blaine,3777
West Orange,3774
Muscatine,3774
Sunrise Manor,3754
Bismarck,3727
Folsom,3721
Escondido,3714
Portola,3696
Inver Grove Heights (RR name Inver Grove),3678
Niagara Falls,3652
Sheffield,3603
Hawaii Volcanoes National Park,3602
Missoula,3599
Freemansburg,3594
Pawtucket,3590
Winter Park,3517
Nashua,3500
Vallejo,3493
Elkhart,3492
Midland,3484
South Bend,3474
Green Bay,3467
Franklin Furnace,3459
Bristol,3446
Loudon,3432
Sanford,3425
Huntsville,3421
Montgomery,3416
Jasper,3411
Clute (corporate name for Clute City),3402
Weirton,3392
