county_code,count
003,119432
037,119344
013,118792
001,116842
005,103642
031,101896
007,99995
163,92087
033,91226
201,90741
029,89449
019,88635
073,81569
009,70983
089,70481
025,63950
035,63778
113,61746
011,60404
071,59462
061,59353
067,58736
101,56538
039,56013
021,54568
017,54200
065,53242
053,52500
045,48957
027,48727
111,46191
079,45400
049,45083
051,44402
141,43602
097,40714
081,40065
099,37997
119,37638
083,37384
057,36554
043,35994
245,35659
059,35459
085,34742
015,34662
047,34538
077,31851
087,31789
055,29708
023,29514
095,28916
063,28556
069,27591
123,27008
103,26530
510,26187
093,25713
139,25006
109,23549
153,23044
041,21645
167,20269
143,19887
439,19752
121,19401
183,18984
157,17914
107,17010
355,16975
125,16435
091,15774
137,15402
129,15195
115,14993
127,14587
215,14473
075,14237
105,14012
173,13533
145,13302
133,11733
453,9986
086,9908
117,9440
135,9326
090,8501
002,8485
209,8198
177,8151
479,7539
147,7471
203,7463
151,7238
223,6853
161,6363
189,5958
020,5380
155,5104
213,4947
165,4839
247,4331
195,4039
257,4005
170,3943
361,3930
159,3713
068,3366
197,3360
810,3117
193,2989
186,2926
231,2805
339,2802
169,2778
295,2772
028,2682
710,2630
670,2595
227,2538
185,2537
171,2501
006,2478
010,2355
207,2185
251,2127
303,2021
122,1993
131,1863
191,1834
221,1830
650,1714
760,1672
770,1340
520,1331
181,1283
175,1274
036,1180
423,1115
110,1016
375,997
187,996
309,898
199,893
179,879
273,874
349,851
243,814
149,697
290,691
775,659
680,617
469,600
280,543
367,516
397,492
319,477
030,466
800,439
840,389
229,380
012,375
323,365
491,334
497,324
485,286
700,283
261,270
263,256
449,230
550,225
600,190
233,173
026,172
188,168
395,160
373,148
441,147
401,136
255,124
381,116
232,114
315,105
493,92
451,91
331,88
211,85
409,82
457,80
329,75
130,74
901,60
630,60
004,60
321,53
220,50
580,50
235,44
050,35
540,35
008,32
297,26
465,24
590,24
610,22
690,19
054,16
740,12
730,11
595,10
515,9
620,9
570,9
217,8
205,8
473,7
291,7
830,7
343,7
820,6
253,6
014,4
347,3
239,3
078,3
275,1
259,1
305,1
241,1
