county_name,count
Jefferson,96083
Harris,89276
Los Angeles,68526
Wayne,52392
Lake,50882
Cook,48772
Maricopa,46355
El Paso,42351
San Diego,39036
Riverside,36033
Philadelphia,35278
Washington,34290
Kern,32950
Essex,32220
Providence,28539
Fresno,28195
Clark,27744
Suffolk,27642
Cuyahoga,27413
Montgomery,26648
Hillsborough,26149
Hamilton,26016
Sacramento,25747
San Bernardino,25734
Hennepin,24807
Marion,24231
Dallas,24106
King,23855
Chittenden,22057
Bronx,21910
Santa Barbara,21542
Allegheny,21527
Madison,21077
District of Columbia,21045
Union,20907
Erie,20669
Milwaukee,20227
Ventura,20069
Tarrant,19752
Kent,19679
DeKalb,19248
Jackson,18898
Garfield,18438
Cumberland,18397
East Baton Rouge,17944
Orange,17921
Pima,17369
Multnomah,17296
Adams,17277
Dakota,16983
Nueces,16975
Tulsa,16486
Saint Louis,16174
Polk,16155
St. Louis City,15625
Monroe,15341
Ellis,15282
Hampden,14942
Hancock,14723
Harrison,14637
Middlesex,14558
Baltimore,14430
Contra Costa,14414
Alameda,14193
Franklin,14098
Butler,14005
Broward,13894
Santa Clara,13856
Scott,13537
Salt Lake,13331
Denver,13252
Linn,13234
Galveston,13194
Campbell,13038
Richmond,12492
Davis,12457
New Castle,12445
Mecklenburg,12242
Pinellas,12019
Inyo,11926
Wake,11848
Imperial,11555
New Haven,11551
Oklahoma,11525
Henrico,11482
Ramsey,11389
Douglas,11283
Prince George's,11269
Lancaster,11257
Lane,11247
Queens,11032
Mercer,11008
Richland,10855
Camden,10647
Butte,10634
Pierce,10579
San Juan,10350
Forsyth,10320
Vanderburgh,10256
Charleston,10245
Shelby,10233
Pinal,10184
Travis,9986
Miami-Dade,9908
Bernalillo,9748
New York,9642
Davidson,9632
Delaware,9549
Sedgwick,9500
Lawrence,9435
Chesterfield,9273
Tulare,9235
Dodge,8920
Baltimore (City),8890
Fairfield,8761
Knox,8626
Rockingham,8615
Hidalgo,8559
Minnehaha,8543
Coconino,8533
Fairbanks North Star ,8501
BAJA CALIFORNIA NORTE,8485
Washoe,8451
Bexar,8443
York,8437
Weld,8328
Mesa,8313
Honolulu,8264
Kings,8192
Utah,8171
Marshall,8081
Hawaii,8039
San Joaquin,7989
Albany,7954
San Luis Obispo,7897
Wyandotte,7821
Sublette,7793
Johnson,7778
Lewis and Clark,7695
Pulaski,7679
Lincoln,7621
Greenville,7554
Webb,7539
Cameron,7487
Kanawha,7483
Floyd,7440
Fairfax,7353
Orleans,7338
Morris,7223
Duval,7197
Stanislaus,7179
Custer,7177
Mobile,7143
Sweetwater,7072
Hartford,7064
Buncombe,7008
Dona Ana,6950
Denton,6911
Cass,6871
Bibb,6782
Paulding,6618
Porter,6465
Gila,6452
Rosebud,6396
Larimer,6230
El Dorado,6192
Boyd,6167
Muscogee,6053
Berks,6019
Stark,5955
Brown,5947
San Francisco,5938
Sullivan,5911
Shasta,5893
Lee,5881
Iberville,5844
Summit,5827
Carter,5810
Fayette,5809
Ada,5763
Marin,5759
Steuben,5738
Flathead,5696
Rutland,5695
Chatham,5690
Brewster,5680
Aroostook,5573
Klamath,5570
Penobscot,5560
Placer,5512
Saint Clair,5422
Clallam,5403
Blount,5399
Hinds,5344
Cochise,5317
New Hanover,5316
La Plata,5281
Hampshire,5274
Sheridan,5221
Lucas,5156
Warren,5137
Teton,5129
Fulton,5098
Anne Arundel,5055
Northampton,5019
Coffee,5017
Clay,5006
Plumas,4935
Escambia,4924
Mariposa,4842
Leon,4821
Scioto,4774
Brazoria,4767
Montezuma,4745
Westmoreland,4720
Missoula,4693
Madera,4598
Lorain,4580
Allen,4577
Greene,4477
Ector,4380
Solano,4370
Rockdale,4331
Coos,4252
Anoka,4201
Beaver,4197
Laramie,4179
Mono,4174
Spokane,4087
San Benito,4079
Missaukee,4051
Niagara,4044
Vigo,4040
Edmonson,4030
Perry,4027
Kaufman,4005
Van Buren,3998
Henry,3981
St. Joseph,3975
Caroline,3970
Gregg,3968
Matanuska-Susitna ,3943
Santa Cruz,3934
Burke,3893
Mahoning,3890
Silver Bow,3873
Atlantic,3868
Champaign,3805
Clinton,3778
Muscatine,3774
Chester,3768
Burleigh,3735
Palm Beach,3697
Yakima,3685
Elkhart,3684
Billings,3673
Windham,3668
Sumner,3660
Klickitat,3656
Litchfield,3607
Lackawanna,3581
Dauphin,3556
Maui,3550
Taylor,3549
Yellowstone,3537
Haywood,3526
Washtenaw,3467
Ottawa,3457
Loudon,3452
Boulder,3439
Russell,3437
Worcester,3430
Oxford,3424
Midland,3414
Citrus,3374
Rowan,3370
Waukesha,3367
Denali ,3366
Cambria,3364
Kay,3360
Whatcom,3329
Kalamazoo,3325
Cache,3311
Uintah,3292
Dubois,3276
Josephine,3266
Navajo,3263
Brooke,3256
Canyon,3191
Wakulla,3174
McKenzie,3174
Chippewa,3173
Mohave,3159
White Pine,3149
Bristol,3121
Virginia Beach City,3117
Walker,3113
Park,3111
Dane,3097
Del Norte,3093
DuPage,3072
St. Clair,3062
Monterey,3043
Schoolcraft,3043
Anchorage ,3041
Hudson,3041
