date_of_last_change,count
2020-05-21,2643123
2021-11-09,285144
2021-11-08,253878
2021-11-10,76697
2022-05-13,53134
2021-10-31,33154
2021-06-10,17819
2021-11-03,16447
2022-02-15,16208
2021-11-04,16175
2021-11-05,13733
2021-11-01,12931
2021-11-11,12053
2022-04-27,11206
2021-11-02,10482
2020-06-05,9475
2020-12-23,7878
2021-11-07,7059
2021-11-06,6190
2022-03-29,4739
2022-03-16,4573
2022-04-22,4569
2022-04-12,4322
2020-10-08,4150
2021-11-13,4112
2021-12-02,4011
2021-11-16,3968
2021-05-03,3961
2021-11-12,3942
2021-11-14,3896
2021-11-18,3856
2022-03-17,3782
2022-02-14,3680
2022-04-29,3670
2022-02-01,3513
2022-01-18,3481
2022-01-24,3440
2021-11-17,3292
2022-03-18,3227
2021-03-05,3158
2021-12-01,3128
2022-01-13,3093
2022-02-24,3088
2022-03-11,3076
2021-11-15,3024
2020-12-10,3006
2022-04-21,2967
2021-11-26,2920
2021-11-25,2912
2022-03-21,2907
2022-03-24,2882
2022-03-31,2850
2021-08-27,2841
2021-04-12,2839
2022-01-19,2824
2021-12-08,2760
2021-11-19,2758
2021-11-24,2692
2021-11-22,2649
2022-01-14,2626
2022-05-27,2594
2022-03-02,2584
2021-11-29,2560
2021-11-23,2531
2022-02-03,2528
2021-12-04,2520
2021-12-06,2515
2022-01-04,2501
2021-12-21,2494
2022-01-12,2489
2021-11-27,2488
2021-12-03,2464
2021-11-28,2440
2022-05-02,2424
2022-05-12,2420
2021-10-30,2406
2021-12-18,2368
2021-11-30,2366
2022-05-05,2358
2022-03-14,2318
2021-12-05,2280
2021-12-09,2260
2021-11-21,2240
2021-11-20,2240
2021-12-30,2236
2021-12-20,2200
2021-12-10,2190
2022-03-23,2184
2022-03-30,2171
2022-01-11,2162
2022-01-07,2134
2022-03-09,2111
2022-03-08,2106
2021-12-24,2080
2022-05-20,2061
2022-02-02,2046
2020-10-09,2034
2021-12-07,2032
2022-01-05,2015
2021-12-17,2007
2022-01-06,1980
2021-12-29,1976
2021-12-19,1942
2021-12-16,1932
2022-01-20,1904
2022-03-25,1900
2022-05-03,1894
2022-01-31,1888
2021-12-31,1885
2021-12-25,1880
2022-01-21,1878
2022-04-25,1875
2022-01-01,1868
2022-02-10,1862
2021-12-27,1856
2021-12-28,1854
2022-01-03,1846
2022-04-05,1838
2021-12-26,1816
2021-10-29,1808
2022-02-09,1792
2022-01-08,1776
2022-05-31,1773
2022-03-28,1766
2022-05-18,1729
2022-04-26,1728
2022-01-02,1688
2022-04-14,1683
2022-03-22,1668
2021-12-23,1648
2022-01-17,1640
2022-04-28,1636
2021-03-19,1635
2022-03-04,1592
2022-01-10,1588
2022-02-28,1585
2022-01-25,1568
2022-05-23,1557
2021-12-22,1554
2021-09-08,1551
2022-01-28,1550
2023-04-17,1544
2022-05-09,1506
2022-03-03,1504
2021-03-16,1494
2022-01-16,1472
2021-03-23,1448
2021-10-08,1442
2022-01-15,1430
2021-12-13,1422
2021-01-20,1418
2022-04-08,1403
2021-10-25,1396
2022-04-19,1392
2021-12-15,1388
2021-09-02,1376
2022-03-07,1372
2021-12-11,1366
2022-02-04,1357
2022-02-07,1356
2022-02-23,1354
2022-01-09,1352
2021-03-30,1352
2022-01-26,1338
2022-05-16,1332
2022-04-20,1326
2022-04-06,1316
2021-12-14,1275
2021-06-30,1274
2022-02-08,1262
2021-03-04,1260
2021-02-11,1246
2022-02-11,1238
2021-12-12,1220
2021-09-22,1220
2022-05-24,1213
2022-05-19,1203
2022-01-27,1178
2022-05-11,1171
2022-02-12,1148
2021-03-31,1144
2022-03-15,1142
2022-04-18,1140
2023-04-25,1119
2022-05-25,1103
2022-02-22,1090
2023-05-05,1086
2020-11-05,1070
2022-04-11,1024
2021-02-17,1020
2022-02-16,1015
2021-09-19,1011
2022-02-18,1000
2022-05-17,995
2022-04-30,970
2021-03-10,962
2022-02-17,955
2021-09-24,952
2020-05-28,943
2021-03-01,942
2023-05-10,933
2022-01-23,908
2021-02-25,906
2023-04-12,902
2022-03-10,865
2021-03-29,857
2022-04-04,854
2022-05-04,847
2021-03-24,838
2023-04-27,835
2021-04-20,827
2022-01-30,820
2022-02-06,816
2021-04-01,812
2022-05-10,809
2023-04-21,780
2020-06-01,779
2021-02-16,778
2021-05-06,777
2022-04-07,771
2020-07-16,769
2022-02-05,758
2020-06-03,753
2021-09-10,732
2022-04-01,723
2021-06-17,720
2020-06-19,715
2021-02-18,706
2022-05-06,699
2021-03-17,698
2020-08-11,694
2021-03-25,676
2022-01-22,672
2022-02-25,660
2021-01-26,655
2021-03-08,649
2021-04-23,638
2020-09-24,621
2022-01-29,620
2021-04-06,616
2020-12-29,613
2023-05-03,605
2020-11-13,604
2020-08-06,584
2022-06-01,568
2021-10-14,560
2020-08-26,558
2022-02-13,556
2021-03-11,552
2021-09-30,548
2023-05-02,545
2020-09-16,542
2022-05-26,539
2020-07-29,536
2021-07-29,521
2021-03-26,512
2021-02-23,500
2021-01-29,500
2021-02-24,495
2021-09-29,483
2021-05-19,476
2023-05-09,474
2022-04-13,474
2021-09-21,470
2020-10-14,462
2021-03-03,458
2021-04-08,456
2020-10-29,439
2023-04-24,429
2021-01-11,429
2021-04-09,429
2021-06-01,422
2023-04-20,410
2023-04-26,410
2021-02-09,402
2023-05-04,397
2021-02-02,388
2021-02-26,385
2021-01-21,378
2023-04-28,372
2021-03-22,371
2021-05-25,370
2021-06-25,368
2021-01-22,364
2021-06-03,364
2021-02-12,354
2020-10-02,351
2021-04-26,345
2020-09-08,342
2021-03-15,332
2023-04-11,327
2021-01-07,320
2021-07-30,310
2020-07-20,306
2021-03-02,306
2021-05-24,306
2023-04-29,301
2021-04-07,298
2020-06-10,292
2021-01-19,291
2023-03-21,291
2021-09-20,287
2020-07-22,286
2023-05-08,285
2021-10-22,284
2023-05-11,283
2021-02-04,282
2021-07-14,280
2020-05-23,280
2021-04-27,275
2021-04-16,270
2020-06-17,268
2020-06-25,267
2021-01-06,262
2021-02-10,262
2021-07-23,260
2021-06-23,252
2022-02-21,252
2021-04-21,251
2020-05-26,248
2020-09-17,243
2021-02-19,243
2020-07-15,240
2021-06-29,238
2023-04-04,233
2023-05-01,233
2021-08-26,232
2021-05-11,228
2021-06-09,227
2023-04-18,224
2020-07-14,220
2021-09-17,220
2021-04-05,218
2021-01-13,218
2020-11-17,214
2021-01-12,212
2021-02-22,212
2021-10-11,208
2021-07-22,206
2023-04-10,202
2020-10-07,200
2021-03-18,200
2021-03-27,200
2021-02-05,199
2020-10-13,199
2020-10-05,198
2021-09-14,196
2020-11-18,190
2020-09-04,190
2020-06-15,186
2020-06-16,184
2021-07-16,182
2021-06-02,182
2020-07-31,181
2020-06-24,181
2020-07-13,175
2020-08-21,175
2021-07-07,174
2020-11-10,170
2021-03-09,170
2021-07-06,164
2021-08-17,162
2020-07-23,161
2021-04-22,160
2021-04-18,160
2021-08-30,152
2022-04-15,151
2020-08-25,151
2021-09-18,148
2020-06-08,148
2020-06-30,144
2021-04-02,142
2021-07-02,142
2021-08-19,140
2020-06-04,140
2021-08-04,139
2021-04-29,139
2022-03-01,137
2020-07-01,137
2021-04-28,134
2020-10-30,134
2021-07-09,132
2021-06-04,132
2020-09-09,131
2020-08-05,124
2021-08-03,124
2021-08-18,121
2021-05-05,120
2021-06-08,120
2021-05-26,119
2021-01-25,117
2020-12-30,116
2021-05-17,116
2021-07-20,115
2022-06-02,112
2021-02-15,110
2021-01-15,110
2023-04-30,109
2021-10-20,108
2021-05-18,106
2021-07-08,106
2021-02-08,106
2021-01-04,106
2020-06-11,106
2021-04-19,105
2021-03-28,104
2023-04-14,101
2021-03-20,100
2020-12-28,98
2021-08-09,97
2021-01-28,94
2020-07-09,93
2021-10-27,92
2021-03-12,90
2020-07-10,90
2022-04-24,88
2021-04-30,88
2021-04-15,87
2020-07-07,87
2020-07-21,86
2020-12-18,86
2021-05-21,84
2020-10-27,84
2020-12-21,83
2020-11-12,82
2020-07-08,82
2021-04-14,82
2020-06-02,81
2020-12-31,80
2020-12-14,79
2020-07-27,79
2021-02-03,78
2020-09-03,78
2023-03-07,77
2020-10-28,76
2021-08-10,74
2020-09-23,72
2020-05-22,72
2020-08-14,72
2020-10-06,71
2022-03-12,70
2021-05-10,70
2021-10-19,70
2020-11-19,68
2021-09-23,68
2023-04-19,67
2021-05-12,67
2021-07-01,66
2020-12-09,66
2020-08-28,65
2020-07-28,64
2021-06-24,62
2021-08-05,60
2020-08-07,59
2021-04-13,58
2021-07-12,58
2020-05-29,57
2021-07-27,57
2021-07-13,57
2020-06-09,55
2020-11-30,54
2021-06-16,54
2020-08-03,52
2022-02-19,52
2020-06-29,52
2020-10-21,51
2021-06-14,50
2020-07-02,49
2021-10-09,48
2021-03-21,48
2021-01-05,47
2020-11-02,46
2021-01-14,46
2020-09-21,45
2023-04-03,44
2020-12-03,43
2020-09-25,42
2021-09-03,40
2021-07-15,40
2021-06-21,40
2020-06-22,38
2020-08-27,32
2020-09-22,32
2023-04-06,31
2020-08-31,30
2020-10-01,30
2020-09-01,29
2021-02-01,28
2020-06-23,28
2021-06-22,28
2021-10-28,28
2021-05-07,26
2021-01-08,26
2021-10-13,26
2020-12-04,26
2021-10-05,26
2020-09-02,26
2023-04-07,25
2021-10-18,24
2020-10-15,24
2021-10-06,24
2023-03-30,24
2020-12-22,24
2021-07-10,24
2021-01-27,24
2020-11-24,23
2021-10-26,22
2021-01-10,22
2021-06-18,20
2020-12-01,20
2020-07-24,18
2023-03-15,18
2021-05-13,18
2023-03-13,18
2020-08-24,18
2022-04-03,18
2020-06-26,17
2021-05-27,16
2021-10-07,16
2023-03-17,16
2022-05-21,16
2020-12-17,15
2020-12-07,15
2021-06-07,14
2021-06-15,14
2023-04-13,14
2020-11-04,13
2020-09-11,12
2021-05-04,12
2021-10-15,12
2021-08-06,12
2022-04-02,11
2020-10-18,11
2020-10-16,10
2020-09-30,10
2020-10-03,10
2020-12-08,10
2020-11-16,10
2021-01-03,10
2020-11-25,9
2020-07-06,9
2020-05-27,9
2020-09-29,8
2021-09-01,8
2021-01-09,8
2021-02-13,8
2023-02-14,8
2023-02-22,8
2021-08-11,8
2021-09-13,8
2020-08-20,8
2023-03-20,7
2023-01-25,7
2023-02-18,7
2021-01-24,6
2021-06-11,6
2021-08-02,6
2020-10-22,6
2020-08-10,6
2021-02-28,6
2020-08-13,6
2020-06-12,6
2021-08-24,6
2022-05-30,5
2020-12-02,5
2021-10-12,5
2021-09-15,4
2023-04-05,4
2021-06-28,4
2020-08-19,4
2020-12-15,3
2023-03-16,3
2020-09-10,2
2020-10-23,2
2020-08-04,2
2021-08-23,2
2023-03-27,2
2020-09-15,2
2021-05-16,2
2023-03-09,2
2020-07-17,2
2023-03-08,2
2021-08-13,2
2020-11-03,2
2021-05-20,2
2020-08-12,2
2023-03-28,1
2021-08-25,1
2023-02-21,1
2023-02-17,1
2020-06-18,1
