exceptional_data_count,count
0,3781994
1,24542
15,18500
30,13677
2,9487
14,8975
29,7927
3,6077
13,4357
28,4347
5,4148
4,3777
12,3258
7,2612
8,2442
6,2113
11,1942
2184,1840
26,1822
16,1771
24,1725
27,1610
2182,1532
25,1291
10,1260
31,1140
2183,1048
2181,1012
9,959
2180,892
56,882
48,823
2208,660
58,628
52,572
22,572
21,565
19,562
61,526
57,519
23,519
17,509
59,499
2179,461
120,419
20,396
119,396
60,365
118,351
96,346
72,326
2177,316
2178,312
49,282
18,279
51,260
46,250
47,245
2176,240
89,234
92,232
2207,228
1299,224
2174,220
91,218
121,206
90,196
2160,192
53,187
39,186
38,185
34,180
117,178
114,176
41,171
237,168
45,166
50,164
3785,160
2170,156
115,156
2168,156
95,150
36,149
33,149
116,148
35,147
1737,142
2169,136
32,135
40,134
55,129
2175,128
4392,126
2173,124
37,120
2171,120
518,116
113,114
42,113
2163,112
2153,110
122,106
71,104
2205,104
2203,104
83,104
88,102
44,97
2172,92
86,92
3403,92
112,90
2151,88
2204,88
2165,88
2167,88
80,86
84,82
3467,80
94,80
3334,80
144,78
2138,76
54,73
2123,73
63,72
2199,72
229,72
2202,72
2155,70
43,70
69,70
2159,68
2156,68
2141,64
3345,64
2074,64
544,61
2112,60
75,60
82,60
191,59
65,58
216,57
2158,56
2162,56
2161,56
74,56
110,55
73,54
109,53
2150,52
2106,52
2124,52
168,51
2166,48
597,48
2148,48
2201,48
599,48
2082,48
190,48
2206,48
143,47
2146,46
79,46
2108,44
70,44
2084,44
2164,44
2130,44
2087,44
608,44
2194,44
345,44
192,43
108,42
2143,42
4390,42
2139,41
2072,40
2131,40
2120,40
2126,40
2136,40
666,40
2196,40
2114,40
2132,40
2113,40
103,40
87,40
167,39
2089,38
2154,38
342,38
2050,37
238,37
2038,37
2104,36
214,36
288,36
2157,36
2119,36
2023,36
1463,36
2075,36
338,36
188,35
2073,34
2135,34
2077,34
4341,34
4378,33
1804,32
2086,32
93,32
215,32
2065,32
138,32
1990,32
2142,32
165,31
141,30
240,30
4343,30
2008,30
2049,29
8656,29
2064,29
1958,28
2110,28
262,28
85,28
2045,28
124,28
2035,28
180,28
2044,28
2125,28
306,28
2137,28
184,28
2128,28
2127,28
8570,27
4386,27
239,27
2085,26
2070,26
285,26
2147,26
181,26
264,26
62,26
1390,26
2057,26
8611,26
2039,26
8510,25
312,24
2083,24
2838,24
1939,24
129,24
6543,24
175,24
2133,24
370,24
2101,24
3613,24
1956,24
2014,24
68,24
2091,24
4391,24
2015,24
351,24
2048,24
4337,24
4292,24
256,24
2152,24
1977,24
831,24
8629,23
4327,23
8622,23
8664,22
2149,22
166,22
8645,22
2129,22
8636,22
2041,22
8648,21
8557,21
8688,21
8489,21
8723,21
2017,21
1973,21
2096,21
8634,21
137,21
1731,20
8644,20
8355,20
1450,20
1853,20
111,20
2093,20
327,20
2025,20
2055,20
2024,20
431,20
1938,20
189,20
1970,20
2080,20
4336,20
2193,20
8328,20
77,20
1257,20
1948,20
456,20
1908,20
4362,20
1702,20
4270,20
132,20
2111,20
2081,20
2122,20
2058,20
2071,20
2200,20
8451,19
8677,19
8632,19
8687,19
8658,19
8437,18
328,18
8674,18
1972,18
106,18
213,18
286,18
2098,18
8518,18
8682,18
8483,18
187,18
8500,18
2390,17
8544,17
207,17
8659,17
8395,17
8621,17
8372,17
8639,17
4068,17
8628,17
8367,17
8684,17
8663,17
8577,17
263,17
2198,16
2140,16
2040,16
833,16
81,16
2052,16
572,16
8685,16
8023,16
8697,16
97,16
2190,16
2068,16
4389,16
8591,16
8397,16
2079,16
1687,16
2102,16
1992,16
1800,16
455,16
6403,16
269,16
2185,16
4163,16
8375,16
67,16
8652,16
1901,16
1451,16
432,16
4372,16
545,16
1588,16
2066,16
8695,16
4276,16
2134,16
8393,16
8485,16
8746,16
2188,16
8612,16
1976,16
4139,16
1790,16
8638,16
295,16
1974,16
299,16
358,16
261,16
2063,16
8599,16
2032,16
1989,16
128,16
4295,16
1455,16
2062,16
2051,16
619,16
8506,15
8615,15
8680,15
8721,15
8484,15
8116,15
8400,15
8552,15
8590,15
76,15
8497,15
8619,15
8559,15
720,15
8630,15
8578,14
8669,14
8640,14
906,14
8597,14
656,14
287,14
6507,14
8511,14
2145,14
8681,14
8461,14
99,14
8583,14
8071,14
8751,14
8595,14
8432,14
8416,14
6364,14
8754,14
8377,14
8358,13
8584,13
8453,13
725,13
142,13
8698,13
8604,13
8620,13
1846,13
8589,13
8419,13
8426,13
4106,13
