first_no_max_datetime,count
2018-01-01 05:00:00+00:00,36
2012-01-01 05:00:00+00:00,28
2009-01-01 05:00:00+00:00,26
2014-01-01 06:00:00+00:00,24
2004-01-01 05:00:00+00:00,24
2016-01-01 05:00:00+00:00,22
2009-01-01 06:00:00+00:00,22
2003-01-01 05:00:00+00:00,18
2014-01-01 05:00:00+00:00,18
2015-12-05 00:00:00+00:00,16
2004-01-09 23:00:00+00:00,16
2011-01-01 05:00:00+00:00,14
2013-01-01 05:00:00+00:00,14
1994-12-22 00:00:00+00:00,13
2020-01-01 05:00:00+00:00,12
1997-12-17 00:00:00+00:00,12
2014-01-01 07:00:00+00:00,12
2003-12-20 00:00:00+00:00,12
2002-12-11 00:00:00+00:00,12
2005-02-02 01:00:00+00:00,12
2000-01-01 05:00:00+00:00,11
2002-01-08 00:00:00+00:00,10
2012-01-01 06:00:00+00:00,10
2012-01-15 00:00:00+00:00,10
2012-11-22 02:00:00+00:00,10
2005-12-21 00:00:00+00:00,10
2000-12-05 00:00:00+00:00,10
2007-01-01 05:00:00+00:00,10
2004-01-06 10:00:00+00:00,10
2011-12-31 23:00:00+00:00,10
2007-12-18 23:00:00+00:00,10
2006-11-27 22:00:00+00:00,10
2016-01-07 09:00:00+00:00,10
2004-11-17 00:00:00+00:00,10
2007-12-19 01:00:00+00:00,10
2005-12-13 00:00:00+00:00,10
2006-01-14 01:00:00+00:00,10
2006-12-25 03:00:00+00:00,10
2003-11-22 00:00:00+00:00,10
2020-12-10 00:00:00+00:00,10
2015-01-08 00:00:00+00:00,10
1997-12-18 00:00:00+00:00,9
1997-12-19 00:00:00+00:00,9
2003-01-06 22:00:00+00:00,8
1980-01-01 05:00:00+00:00,8
1992-01-01 05:00:00+00:00,8
2013-12-20 09:00:00+00:00,8
2004-01-01 06:00:00+00:00,8
2008-01-01 05:00:00+00:00,8
2018-01-04 01:00:00+00:00,8
1984-12-09 00:00:00+00:00,8
2004-01-13 01:00:00+00:00,8
2021-12-05 01:00:00+00:00,8
2021-01-01 05:00:00+00:00,8
2003-12-19 23:00:00+00:00,8
1991-12-12 00:00:00+00:00,8
2004-01-10 00:00:00+00:00,8
2006-12-08 23:00:00+00:00,8
2010-12-03 00:00:00+00:00,8
2001-01-06 00:00:00+00:00,8
2012-01-10 23:00:00+00:00,8
2010-12-03 23:00:00+00:00,8
1989-01-24 00:00:00+00:00,8
2018-01-10 01:00:00+00:00,8
2003-01-05 02:00:00+00:00,8
2005-10-20 11:00:00+00:00,8
2009-02-06 01:00:00+00:00,8
2013-01-09 08:00:00+00:00,8
1994-12-22 23:00:00+00:00,8
2018-11-16 22:00:00+00:00,8
2010-12-04 01:00:00+00:00,8
2001-01-05 00:00:00+00:00,8
2002-11-23 00:00:00+00:00,8
2002-01-27 02:00:00+00:00,8
2007-11-28 00:00:00+00:00,8
2005-11-24 02:00:00+00:00,8
2015-01-04 03:00:00+00:00,8
2006-12-07 00:00:00+00:00,8
2003-10-28 11:00:00+00:00,8
2006-11-20 22:00:00+00:00,8
2006-11-28 01:00:00+00:00,8
2002-01-12 02:00:00+00:00,8
2005-11-23 00:00:00+00:00,8
2002-01-11 02:00:00+00:00,8
2003-12-11 00:00:00+00:00,8
1991-12-06 00:00:00+00:00,7
1990-12-09 00:00:00+00:00,7
1997-02-01 01:00:00+00:00,7
1981-01-01 05:00:00+00:00,7
1996-01-17 23:00:00+00:00,7
1995-12-02 01:00:00+00:00,7
2001-01-05 01:00:00+00:00,7
1997-12-19 01:00:00+00:00,7
1992-02-04 00:00:00+00:00,7
1991-12-07 00:00:00+00:00,7
1985-12-24 00:00:00+00:00,7
1987-01-01 05:00:00+00:00,7
1993-11-10 00:00:00+00:00,7
1999-01-01 05:00:00+00:00,7
1997-12-31 23:00:00+00:00,7
1982-12-18 00:00:00+00:00,7
2016-11-19 00:00:00+00:00,6
1986-12-16 00:00:00+00:00,6
1994-12-23 23:00:00+00:00,6
2009-12-06 02:00:00+00:00,6
2009-01-17 01:00:00+00:00,6
2012-01-08 01:00:00+00:00,6
2020-01-24 11:00:00+00:00,6
2012-11-17 09:00:00+00:00,6
2011-11-01 08:00:00+00:00,6
2014-02-01 03:00:00+00:00,6
2011-01-25 23:00:00+00:00,6
2012-01-06 01:00:00+00:00,6
2011-12-13 10:00:00+00:00,6
2009-01-11 07:00:00+00:00,6
2009-01-04 02:00:00+00:00,6
2002-01-29 09:00:00+00:00,6
2016-01-08 00:00:00+00:00,6
1999-10-30 01:00:00+00:00,6
2021-01-17 03:00:00+00:00,6
1997-12-16 23:00:00+00:00,6
2014-01-14 01:00:00+00:00,6
2002-01-11 00:00:00+00:00,6
2002-01-08 23:00:00+00:00,6
2021-11-06 01:00:00+00:00,6
1995-12-02 00:00:00+00:00,6
2014-01-03 00:00:00+00:00,6
2002-12-14 02:00:00+00:00,6
2002-01-30 00:00:00+00:00,6
2021-11-28 02:00:00+00:00,6
1996-01-13 01:00:00+00:00,6
2002-01-26 02:00:00+00:00,6
1992-01-22 00:00:00+00:00,6
2014-01-04 00:00:00+00:00,6
2015-01-04 01:00:00+00:00,6
2021-11-09 00:00:00+00:00,6
1997-12-19 02:00:00+00:00,6
1994-12-23 00:00:00+00:00,6
2011-12-25 05:00:00+00:00,6
1993-12-09 00:00:00+00:00,6
1983-11-23 00:00:00+00:00,6
2012-01-15 01:00:00+00:00,6
2001-01-13 01:00:00+00:00,6
1982-11-18 01:00:00+00:00,6
1991-12-14 00:00:00+00:00,6
1989-10-22 00:00:00+00:00,6
2013-01-20 03:00:00+00:00,6
1997-12-17 10:00:00+00:00,6
1999-01-11 17:00:00+00:00,6
2012-10-25 10:00:00+00:00,6
1980-12-13 00:00:00+00:00,6
2020-12-10 02:00:00+00:00,6
1983-03-01 08:00:00+00:00,6
2011-11-30 00:00:00+00:00,6
2014-12-02 23:00:00+00:00,6
2015-01-05 23:00:00+00:00,6
1987-02-07 00:00:00+00:00,6
2016-11-19 01:00:00+00:00,6
2013-01-09 07:00:00+00:00,6
1996-01-11 00:00:00+00:00,6
2012-01-01 07:00:00+00:00,6
1981-11-05 00:00:00+00:00,6
2013-01-01 07:00:00+00:00,6
1992-02-03 09:00:00+00:00,6
2007-04-18 18:00:00+00:00,6
2009-02-13 03:00:00+00:00,6
2005-01-25 00:00:00+00:00,6
2003-11-21 01:00:00+00:00,6
2005-12-12 01:00:00+00:00,6
2003-01-24 16:00:00+00:00,6
2004-02-06 22:00:00+00:00,6
2004-10-14 23:00:00+00:00,6
2006-10-25 08:00:00+00:00,6
2004-12-18 03:00:00+00:00,6
2012-11-18 01:00:00+00:00,6
2007-10-26 07:00:00+00:00,6
1988-11-27 00:00:00+00:00,6
2006-06-16 22:00:00+00:00,6
2007-02-22 02:00:00+00:00,6
1999-12-31 01:00:00+00:00,6
2004-12-12 01:00:00+00:00,6
2004-01-07 22:00:00+00:00,6
2006-12-07 02:00:00+00:00,6
2006-01-05 19:00:00+00:00,6
2012-11-17 05:00:00+00:00,6
2003-12-19 01:00:00+00:00,6
2005-12-11 01:00:00+00:00,6
2003-10-27 02:00:00+00:00,6
1997-12-18 01:00:00+00:00,6
2002-11-22 00:00:00+00:00,6
2007-12-05 04:00:00+00:00,6
2002-12-28 03:00:00+00:00,6
2002-01-08 02:00:00+00:00,6
2021-11-07 02:00:00+00:00,6
2011-11-29 02:00:00+00:00,6
2002-11-27 22:00:00+00:00,6
2002-12-19 01:00:00+00:00,6
2003-12-20 04:00:00+00:00,6
2005-02-01 09:00:00+00:00,6
2007-01-03 01:00:00+00:00,6
2004-12-11 02:00:00+00:00,6
2003-11-08 01:00:00+00:00,6
2013-12-20 08:00:00+00:00,6
2007-01-04 02:00:00+00:00,6
2003-12-05 22:00:00+00:00,6
2004-01-08 01:00:00+00:00,6
2002-12-19 00:00:00+00:00,6
2003-11-21 23:00:00+00:00,6
2005-10-29 03:00:00+00:00,6
2007-01-04 23:00:00+00:00,6
2004-01-08 00:00:00+00:00,6
2006-01-06 23:00:00+00:00,6
2010-01-01 05:00:00+00:00,6
2007-11-13 23:00:00+00:00,6
2004-11-18 00:00:00+00:00,6
2010-12-12 00:00:00+00:00,6
2010-01-16 23:00:00+00:00,6
2005-11-08 00:00:00+00:00,6
2006-11-25 02:00:00+00:00,6
1992-11-14 00:00:00+00:00,6
2007-09-29 03:00:00+00:00,6
2005-12-22 02:00:00+00:00,6
2020-11-07 02:00:00+00:00,6
2003-01-26 03:00:00+00:00,6
2016-01-07 08:00:00+00:00,6
1989-12-28 01:00:00+00:00,6
2018-11-16 00:00:00+00:00,6
2004-12-27 23:00:00+00:00,6
2003-12-31 23:00:00+00:00,6
2013-01-09 10:00:00+00:00,6
2011-12-25 01:00:00+00:00,6
2011-12-31 00:00:00+00:00,6
2004-04-01 19:00:00+00:00,6
2002-12-29 02:00:00+00:00,6
