latitude,count
33.503833,19900
33.99958,18511
29.670025,17756
34.06659,15962
42.139996,15445
33.6878,14807
42.3295,14735
41.841039,14441
42.474642,14432
40.008889,14177
38.921847,13802
35.356615,13751
32.820061,13462
42.306674,12997
41.606662,12784
39.310833,12366
47.568236,11253
42.19438,10942
37.55652,10858
40.902967,10796
30.461981,10620
40.816,10133
31.765685,10100
38.656429,9869
41.530011,9814
35.856111,9596
39.810833,9338
38.613779,9229
44.52839,9208
34.1365,9130
39.055277,9035
29.901036,8951
36.781333,8922
29.733726,8887
34.276316,8868
32.80581,8799
40.73614,8751
34.615367,8406
43.060975,8172
41.603159,8171
27.96565,8134
35.2401,8120
36.11094,7836
32.791194,7629
40.046667,7511
37.348497,7443
40.64144,7389
41.492117,7367
39.92002,7362
32.669001,7305
33.553056,7243
42.302786,7113
32.67618,7073
43.14618,6949
34.17605,6868
39.751184,6851
36.204902,6830
42.22862,6826
40.787628,6754
41.807469,6633
35.614131,6624
43.01724,6576
33.9285,6570
40.472825,6416
40.209387,6406
39.739444,6371
41.477011,6371
44.39308,6296
37.950741,6260
40.8679,6237
33.293465,6122
30.036422,6109
39.923042,5990
41.615237,5955
44.95366,5941
27.811817,5836
33.219069,5776
40.736389,5766
32.482083,5746
43.46611,5745
44.4762,5701
42.09142,5700
43.608056,5679
29.802707,5639
40.46542,5611
41.3014,5524
40.462182,5467
31.768286,5437
42.86183,5368
38.23887,5345
42.984173,5337
42.876907,5297
45.496641,5291
37.765946,5271
40.3663,5179
34.756189,5161
39.835556,5147
30.039524,5097
38.56844,5057
25.892518,5032
29.30265,4978
31.513097,4909
41.784722,4903
36.819449,4880
32.98426,4830
42.298493,4827
39.922867,4812
39.117219,4751
30.221255,4710
34.25239,4695
37.642165,4689
35.1343,4684
36.332179,4682
30.700895,4625
31.746775,4617
29.695729,4608
27.850348,4599
41.97677,4594
38.77335,4584
40.323768,4568
31.758532,4568
30.439722,4554
33.82376,4553
26.22621,4545
40.341389,4523
35.263165,4487
41.247486,4476
34.38344,4467
36.78538,4466
41.639306,4443
39.12886,4424
43.561043,4421
41.965193,4420
30.390369,4392
40.304694,4391
44.37705,4344
41.7514,4336
33.588545,4331
27.804489,4310
45.56137,4299
39.525083,4283
33.499722,4277
39.965278,4246
32.631242,4232
38.06503,4224
43.54792,4211
37.1984,4201
34.10374,4192
29.263319,4154
33.40314,4126
32.29515,4122
38.74643,4054
44.310555,4051
46.933754,4050
41.6175,4034
27.785866,4032
34.01029,4023
36.126945,3976
32.378696,3968
42.43084,3935
42.98844,3929
27.501826,3923
38.45934,3908
40.445278,3901
38.20087,3901
44.76323,3898
32.564968,3887
44.026312,3885
37.702066,3879
34.093959,3855
37.687526,3850
42.00508,3831
44.95939,3821
44.97944,3815
39.472436,3803
32.941023,3794
35.63348,3787
45.13768,3777
34.10002,3760
29.897516,3758
34.235536,3750
33.4339,3745
37.71325,3745
37.936013,3737
41.895812,3735
33.127769,3714
39.757371,3707
46.825425,3689
40.86585,3684
33.95507,3677
40.009544,3671
37.13179,3668
32.842318,3616
42.64225,3606
36.597442,3601
40.628056,3594
38.683304,3575
36.176382,3574
38.5231,3541
26.083143,3540
39.479822,3535
28.596389,3517
43.600699,3495
38.102507,3493
41.874668,3470
43.74561,3469
44.480278,3464
38.612034,3458
36.019186,3453
40.27813,3452
33.92086,3446
32.777465,3444
47.55975,3435
36.141875,3434
41.463071,3433
47.1864,3430
29.770698,3428
29.982531,3428
39.834461,3423
37.974436,3416
40.38335,3413
39.064289,3406
29.010841,3402
27.517456,3394
40.53999,3389
45.2066,3384
63.7232,3366
44.77553,3356
41.912739,3349
38.302591,3318
41.118333,3297
46.8943,3290
35.57222,3290
33.217055,3286
25.39122,3280
21.323745,3278
36.48324,3269
30.263204,3260
40.309722,3257
36.867125,3254
32.805264,3231
39.43806,3229
38.45832,3214
32.00941,3212
40.695078,3212
46.002602,3211
42.14175,3206
32.175417,3193
39.19433,3188
39.934559,3185
30.0925,3174
41.821342,3162
33.83062,3158
48.5103,3156
40.786804,3154
47.948622,3143
48.64193,3142
44.84737,3125
41.087862,3124
41.442778,3100
29.767997,3096
44.73846,3094
39.297733,3085
42.862531,3079
29.764788,3074
39.991389,3072
39.915961,3072
34.82251,3057
35.050918,3054
46.288877,3043
40.246992,3033
39.464872,3023
29.961124,3022
40.969112,3021
39.303174,3016
40.146667,3014
46.75838,3008
43.434996,3004
32.436944,3003
39.453654,2998
36.841883,2996
32.4297,2993
32.836461,2990
39.00512,2976
38.391799,2971
35.503587,2966
31.775942,2962
41.182227,2958
40.05278,2952
29.385234,2949
41.975804,2946
35.385574,2943
34.687761,2922
43.55764,2915
39.826007,2911
32.535293,2911
32.06848,2892
30.229653,2886
38.013333,2879
40.002707,2878
19.4308,2878
48.41252,2877
35.6062,2844
39.76168,2840
46.8505,2840
30.041238,2840
33.6547,2835
39.063798,2804
37.339666,2802
32.174538,2798
39.487755,2787
30.085263,2778
38.876255,2773
64.84569,2773
29.893849,2768
42.190296,2762
30.525367,2762
29.734281,2760
42.240565,2753
43.996908,2742
39.70595,2735
43.020075,2730
46.598056,2728
47.298611,2726
45.03972,2713
40.811389,2711
31.836577,2708
35.551868,2706
27.807544,2705
29.615001,2697
41.560952,2695
34.193925,2665
39.83562,2663
39.101111,2663
37.90084,2662
35.804193,2662
44.351697,2656
43.075371,2654
38.122979,2653
34.06957,2653
29.758889,2652
43.460556,2652
41.892499,2644
46.493633,2634
31.83345,2629
37.535833,2623
44.50729,2623
39.944651,2620
33.153088,2609
32.774262,2607
37.724919,2603
37.618383,2601
38.22876,2598
42.909851,2597
37.659409,2597
43.537626,2592
30.350302,2590
45.339,2588
42.974831,2588
40.720989,2578
35.728889,2573
43.660246,2572
34.9788,2566
32.412811,2559
64.840672,2538
40.049604,2537
33.40635,2503
38.448672,2501
42.718653,2498
41.094965,2498
38.770081,2496
34.01407,2493
36.498835,2482
30.378287,2480
42.953336,2479
42.888971,2475
40.0877,2467
38.976,2466
34.342904,2451
35.379167,2450
40.71436,2449
35.115968,2438
45.666204,2438
30.740718,2426
37.289616,2426
39.105336,2413
39.531813,2412
48.006295,2412
35.825893,2411
40.58027,2402
30.483163,2392
44.308132,2383
38.23319,2374
39.77949,2370
33.991509,2368
29.254474,2367
32.472136,2366
37.70097,2365
62.314754,2359
37.482934,2353
36.487823,2344
34.376227,2341
40.443367,2341
33.48378,2339
18.334399,2339
26.309858,2335
38.700632,2324
48.487054,2318
39.927613,2317
44.85711,2316
38.366183,2314
42.289449,2310
35.151699,2308
45.648328,2297
44.19982,2293
47.399815,2289
33.459722,2286
26.053889,2283
44.6522,2283
46.77107,2273
43.08218,2273
48.391545,2267
41.09596,2263
41.771071,2257
28.748678,2240
40.5383,2239
45.125837,2239
33.220502,2239
39.131635,2234
32.789565,2231
34.2605,2228
39.838119,2228
42.267231,2225
34.785219,2215
