local_site_name,count
JLG SUPERSITE,19900
Rubidoux,18511
Houston Deer Park #2,17756
Los Angeles-North Main Street,15962
NORTHBROOK WATER PLANT,15445
South DeKalb,14807
DUDLEY SQUARE ROXBURY,14735
 FRANCIS SCHOOL East Providence,14441
LYNN WATER TREATMENT PLANT,14432
Air Management Services Laboratory (AMS LAB),14177
MCMILLAN  NCore-PAMS,13802
Bakersfield-California,13751
Dallas Hinton,13462
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,12997
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12784
Essex,12366
SEATTLE - BEACON HILL,11253
WESTOVER AFB,10942
MathScience Innovation Center,10858
Bountiful Viewmont,10796
Capitol,10620
IS 52,10133
El Paso Chamizal,10100
Blair Street,9869
"DAVENPORT, JEFFERSON SCH.",9814
Millbrook School,9596
IEPA TRAILER,9549
Indpls- Washington Park/  in parking lot next to police station,9338
Sacramento-Del Paso Manor,9229
PROCTOR MAPLE RESEARCH CTR,9208
Azusa,9130
HU-Beltsville,9035
Houston Aldine,8951
"3425 N FIRST ST, FRESNO",8922
Clinton,8911
Simi Valley-Cochran Street,8868
Fort Worth Northwest,8799
QUEENS COLLEGE 2,8751
CHESTERFIELD,8406
MILWAUKEE - SER DNR HDQRS,8172
CARPENTER,8171
SYDNEY,8134
Garinger High School,8120
Hattie Avenue,7836
El Cajon,7629
Liberty,7584
A420710007LAT/LON POINT AT CORNER OF TRAILER,7511
San Jose - Jackson,7443
Elizabeth Lab,7389
NARSTO SITE ARENDTSVILLE,7362
GT Craig NCore,7333
Karnack,7305
North Birmingham,7243
Southwestern H.S.,7113
Hawthorne,7092
Calexico-Ethel Street,7073
ROCHESTER 2,6949
Burbank,6868
DENVER - CAMP,6851
NORTH TULSA - FIRE STATION#24,6830
Allen Park,6826
Chester,6754
CCRI Liston Campus ROOFTOP,6633
OKC NORTH,6624
MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,6576
"Yorkville, King Farm",6570
New Brunswick,6416
Platteville - Middle School,6406
MLK  CORNER OF MLK BLVD AND JUSTISON ST,6371
St Theodosius,6371
WHITEFACE BASE,6296
Stockton-Hazelton,6260
PFIZER LAB SITE,6237
QUEEN VALLEY,6122
Beaumont Downtown,6109
CAMDEN LAB,5990
AJ,5955
Andersen School,5941
Dona Park,5836
Denton Airport South,5776
Midlothian OFW,5746
HORICON WILDLIFE AREA,5745
City of Burlington Parking Lot,5701
PINNACLE STATE PARK,5700
State of Vermont District Court Parking Lot,5679
Channelview,5639
Lawrenceville,5611
Criscuolo Park-New Haven,5524
Rutgers University,5467
El Paso UTEP,5437
MILLER STATE PARK,5368
GRAYSON LAKE,5345
GR-MONROE,5337
BUFFALO,5297
Portland - SE Lafayette,5291
San Francisco,5271
Stuebenville,5179
PARR,5161
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,5147
Northwest Harris County,5097
Sacramento-1309 T Street,5057
Brownsville,5032
Big Bend NP - K-Bar Ranch Road,4978
General Coffee,4909
McAuliffe Park,4903
Clovis-Villa,4880
Grapevine Fairway,4830
QUABBIN RES,4827
Ritner (RIT),4812
JFK,4751
Bayou Plaquemine,4710
El Rio-Rio Mesa School #2,4695
Modesto-14th Street,4689
DEL NORTE HIGH SCHOOL,4684
Visalia-Church,4682
Pride,4625
Skyview,4619
Ascarate Park SE,4617
Houston Bayland Park,4608
Public Health,4594
Lee District Park,4584
El Paso Sun Metro,4568
Tallahassee Community College,4554
Long Beach (North),4553
Mission,4545
Lindon,4523
Candor: EPA CASTNet Site,4487
4102 Woolworth Ave. on Healthcenter Warehouse,4476
Santa Clarita,4467
Fresno - Garland,4466
HAMMOND CAAP- Hammond- 141st St.,4443
CETL - Cape Elizabeth Two Lights (State Park),4421
Gulfport Youth Court,4392
LAT/LON POINT IS TRAILER,4391
Taft NCore,4379
MCFARLAND HILL Air Pollutant Research Site,4344
COM ED MAINTENANCE BLDG,4336
Conyers,4331
Corpus Christi Huisache,4310
"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",4299
Reno3,4283
Wylam,4277
A421330008LAT/LON POINT AT CORNER OF TRAILER,4246
Chula Vista,4232
LEXINGTON PRIMARY,4224
SD School for the Deaf,4211
Mesa Verde NP - Resource Management Area,4201
Upland,4192
GALVESTON ISLAND,4154
SOUTH PHOENIX,4126
CHILDREN'S PARK NCore,4122
Roseville-N Sunrise Ave,4054
LOCATED ABOUT 1/4 MILE WEST OF SITE,4051
FARGO NW,4050
Ogden Dunes- Water Treatment Plant,4034
Azalea Park,4032
Pico Rivera #2,4023
CENTER OF PARKING LOT OF PUBLIC WORKS BUILDING 1/4 MI N OF SINCLAIR,3976
Longview,3968
East 7 Mile,3935
GRAND ISLE BOULDVARD,3929
Laredo Bridge,3923
ASHLAND PRIMARY (FIVCO),3908
"USGS Geomagnetic Center, Corbin",3901
Flint Hills Refinery 420,3898
Kaufman,3887
Eugene - AMAZON PARK (EAP),3885
WICHITA HD,3879
PARKLANE,3855
Livermore,3850
ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,3831
Harding High School,3821
City of Lakes Building,3815
Yankee,3803
CAPE ROMAIN,3794
Great Smoky Mountains NP - Look Rock,3787
Augusta,3777
Anoka County Airport,3777
Fontana,3760
Port Arthur West,3758
Eagles Island,3750
Yosemite NP - Turtleback Dome,3745
Concord,3737
JARDINE WATER PLANT,3735
Escondido,3714
Chico-Manzanita Ave.,3707
BISMARCK RESIDENTIAL,3689
BOTANICAL GARDEN,3684
LAX Hastings,3677
Mechanicsburg- Shenandoah HS/ behind the football field,3671
Mammoth Cave NP - Houchin Meadow,3668
Alpine,3616
ALBANY COUNTY HEALTH DEPT,3606
Parlier,3601
LAT/LON POINT IS CENTER OF TRAILER,3594
Folsom-Natoma St.,3575
Lockeland,3574
Carthage,3565
Shenandoah NP - Big Meadows,3541
U of F Ag Research Center,3540
Amanda Elem,3535
WINTER PARK,3517
Meridian - St. Luke's,3495
Vallejo,3493
"Vernon St, Pawtucket",3470
SOUTH OF BADLANDS NP HEADQUARTERS,3469
ZAMPIERI STATE OFFICE BUILDING,3464
Spring Hill Elementary School,3453
Rocky Mountain NP - Long's Peak,3452
Banning Airport,3446
Macon-Alllied,3444
SEATTLE - DUWAMISH,3435
Jerome Mack-NCore,3434
Barr School,3433
TACOMA - L STREET,3430
Port Neches Avenue L,3428
Baytown,3428
CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA,3423
Evansville- U of E/  University of Evansville-Carson Center,3416
Reading Airport,3413
GRAND JUNCTION - PITKIN,3406
Clute,3402
Laredo Vidaurri,3394
Lassen Volcanic NP - Manzanita Lake Fire Station,3389
Denali NP & PRES - Headquarters,3366
Flint Hills Refinery 423,3356
SPRINGFIELD PUMP STATION,3349
Five Points,3337
Elk Grove-Bruceville,3318
Sherwood Island Connector,3297
AB Tech,3290
PAINTED CANYON,3290
Camp Pendleton,3286
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,3280
Kapolei,3278
Pinnacles NP - Southwest of East Entrance Station,3269
Austin Webberville Rd,3260
Madera-Pump Yard,3254
Macon-Forestry,3231
Battlement Mesa,3229
Canyonlands NP - Island in the Sky,3214
LAKE SUGEMA STATE PARK II,3212
Chiricahua NM - Entrance Station,3212
Butte Greeley School,3211
LOSTWOOD NWR,3203
Italy,3193
PERKINSTOWN,3188
Camden Spruce Street,3185
St. Marks Wildlife Refuge,3174
Mohawk Mt-Cornwall,3162
Anaheim,3158
Glacier NP - West Glacier Horse Stables,3156
Canton Fire St8,3154
Boundary Waters,3143
Saint Paul Park Refinery 436,3125
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,3100
Houston East,3096
Apple Valley,3094
Oldtown,3085
MOOSEHILL SCHOOL,3079
HRM #3 Haden Rd,3074
North East Waste (NEW),3072
Petrified Forest NP - South Entrance,3057
Siskin Drive,3054
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",3043
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,3033
Brigantine,3023
Groves,3022
VIKING LAKE STATE PARK,3021
"Mount Rainier National Park, Tahoma Woods",3008
NORTH OF TOWER RD. & WATERWORKS RD. INTERSECTION,3003
MAYVILLE,3001
PARACHUTE - HIGH SCHOOL,2998
DEQ Tidewater Regional Office,2996
Columbus-Cusseta,2993
Kearny Mesa,2990
Great Basin NP - Maintenance Yard,2976
Jasper PO,2971
Shafter,2966
Womble,2962
Cheyenne NCore,2958
ISWS CLIMATE STATION,2952
Texas City Ball Park,2949
TRURO NATIONAL SEASHORE,2946
Bakersfield-Golden / M St,2943
HUNTSVILLE OLD AIRPORT,2922
Wind Cave NP - Visitor Center,2915
Shreveport / Airport,2911
