longitude,count
-112.095767,19900
-117.41601,18511
-95.128508,17756
-118.22688,15962
-87.799227,15445
-84.2905,14807
-71.0826,14735
-71.36097,14441
-70.970816,14432
-75.09778,14177
-77.013178,13802
-119.062613,13751
-96.860117,13462
-83.148754,12997
-87.304943,12784
-76.474444,12366
-122.308628,11253
-72.555112,10942
-77.40027,10858
-111.884467,10796
-91.179219,10620
-73.902,10133
-106.455227,10100
-90.198348,9869
-90.587611,9814
-78.574167,9596
-86.114444,9338
-121.368014,9229
-72.86884,9208
-117.92391,9130
-76.878333,9035
-95.326137,8951
-119.77319,8922
-95.257593,8887
-118.683685,8868
-97.356529,8799
-73.82153,8751
-80.198787,8406
-87.913504,8172
-93.643118,8171
-82.2304,8134
-80.785683,8120
-80.224501,7836
-116.942092,7629
-76.283333,7511
-121.894898,7443
-74.208365,7389
-81.678449,7367
-77.30968,7362
-94.167468,7305
-86.815,7243
-83.10653,7113
-115.48307,7073
-77.54817,6949
-118.31712,6868
-104.987625,6851
-95.976537,6830
-83.2082,6826
-74.676301,6754
-71.412968,6633
-97.475083,6624
-87.93369,6576
-85.04534,6570
-74.422403,6416
-104.82405,6406
-75.558056,6371
-81.682383,6371
-73.8589,6296
-121.268523,6260
-73.87809,6237
-111.285594,6122
-94.071061,6109
-75.097617,5990
-71.72,5955
-93.25821,5941
-97.465703,5836
-97.196284,5776
-97.026899,5746
-88.62111,5745
-73.2106,5701
-77.20978,5700
-72.982778,5679
-95.125495,5639
-79.960757,5611
-72.902871,5524
-74.429439,5467
-106.501243,5437
-71.878626,5368
-82.9881,5345
-85.671339,5337
-111.872222,5300
-78.809526,5297
-122.602877,5291
-122.399044,5271
-80.6158,5179
-92.281296,5161
-75.3725,5147
-95.673951,5097
-121.49311,5057
-97.49383,5032
-103.17781,4978
-82.749971,4909
-72.631667,4903
-119.716433,4880
-97.063721,4830
-72.334079,4827
-75.186921,4812
-94.635605,4751
-91.315418,4710
-119.143182,4695
-120.994212,4689
-106.5852,4684
-119.291228,4682
-91.056068,4625
-106.402806,4617
-95.499219,4608
-82.714465,4599
-91.68766,4594
-77.10468,4584
-79.868062,4568
-106.501045,4568
-84.346389,4554
-118.18921,4553
-98.291069,4545
-111.713611,4523
-79.836636,4487
-95.973142,4476
-118.5284,4467
-119.77321,4466
-87.493609,4443
-84.50404,4424
-70.207324,4421
-87.876265,4420
-89.049778,4392
-79.505667,4391
-68.2609,4344
-87.713488,4336
-84.069608,4331
-97.431553,4310
-122.6679,4299
-119.807717,4283
-86.924167,4277
-76.699444,4246
-117.059088,4232
-84.49761,4224
-96.700769,4211
-108.49046,4201
-117.62914,4192
-94.856568,4154
-112.07526,4126
-110.9823,4122
-121.26498,4054
-84.891865,4051
-96.85535,4050
-87.199167,4034
-82.739875,4032
-118.0685,4023
-95.998941,3976
-94.711813,3968
-83.000138,3935
-78.91859,3929
-99.502984,3923
-82.64041,3908
-80.420833,3901
-77.37742,3901
-93.03255,3898
-96.317687,3887
-123.083737,3885
-97.314847,3879
-80.962304,3855
-121.784217,3850
-91.6793,3831
-93.03587,3821
-93.26613,3815
-84.394952,3803
-79.657187,3794
-83.941606,3787
-93.207615,3777
-117.49201,3760
-93.991084,3758
-77.955864,3750
-82.0224,3745
-119.7062,3745
-122.026154,3737
-87.607683,3735
-117.075086,3714
-121.843286,3707
-100.76821,3689
-73.88083,3684
-118.43049,3677
-85.52347,3671
-86.142953,3668
-116.768293,3616
-73.75464,3606
-119.503659,3601
-75.341111,3594
-121.164457,3575
-86.7389,3574
-78.43471,3541
-80.237586,3540
-84.409617,3535
-81.3625,3517
-116.347853,3495
-122.237976,3493
