method_name,count
Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,170995
SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,137256
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",128803
Passivated Canister - Cryogenic Preconcentration GC/MS,120674
SS CANISTER PRESSURIZED - CRYOGENIC PRECONCENTRATION GC/FID,116280
Multiple Methods Used,114400
R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,112643
CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,104521
R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,78386
PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,68728
INSTRUMENTAL - CHEMILUMINESCENCE,66342
Met One SASS/SuperSASS Teflon - Energy dispersive XRF,64509
INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,53822
SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,50242
6L PRESSURIZED CANISTER - DUAL FID - PAMS,49119
INSTRUMENTAL - VECTOR SUMMATION,46674
INSTRUMENTAL - PULSED FLUORESCENT,46255
HI-VOL - GRAVIMETRIC,44147
HI-VOL - EMISSION SPECTRA ICAP,43637
R & P Model 2025 PM2.5 Sequent - Electronic,43222
R & P Model 2025 PM2.5 Sequent - Barometric Sensor,43161
Met One SASS Teflon - Energy Dispersive XRF,42177
R & P Model 2025 PM2.5 Sequent - Calculation,40530
6L SUBATM SS CANISTER - ENTECH PRECONCENTRATOR GC/MS,40027
Met One SASS/SuperSASS Nylon - Ion Chromatography,37632
SS-CANISTER-PRESSURIZED - CAPILLARY GC ITD MASS SPECTRO,37126
IMPROVE Module C with Cyclone Inlet-Quartz Filter - IMPROVE TOR w/Adjustment,35940
INSTRUMENTAL - ULTRA VIOLET,35203
Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,33511
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - Proton Induced X-Ray Excitation",32346
Unknown-Unknown - #,31042
6L SUBATM CANISTER - Entech Precon-  GC/FID/MSD,30252
"IMPROVE Module B with Cyclone Inlet and Glycerin/Na2CO3-Nylon Filter, 10.8 sq. cm. - Ion Chromatography",26892
HI-VOL - ATOMIC ABSORPTION,25471
HI-VOL SA/GMW-1200 - GRAVIMETRIC,25008
INSTRUMENTAL - ULTRA VIOLET ABSORPTION,23828
INSTRUMENTAL - ENTECH 2000 W/ MS/FID,23301
INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,22728
Canister Subambient Pressure - Multi Detector GC,22263
Hi Vol/PUF-XAD-2 - GCMS TO-13,20721
IMPROVE Module C with Cyclone Inlet-Quartz Filter - IMPROVE TOR,19899
INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,19238
R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,19071
Met One SASS/SuperSASS - Barometric Sensor,17833
Met One SASS/SuperSASS - Electronic,17829
SS-CANISTER-PRESSURIZED - GAS CHROMATOGRAPH MASS SPECTRO,17749
INSTRUMENTAL - NONDISPERSIVE INFRARED,17293
Met One SASS Quartz - STN TOT,17077
6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,16978
LO-VOL-DICHOTOMOUS-SA246B-IN - X-RAY FLUORESCENCE,16855
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE_A,15970
R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,14669
INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,14458
INSTRUMENTAL - SPOT READING,14447
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE TOR,14104
SS Canister Pressurized - Preconcentrator GC/FID/MSD,13664
SS 6L Pressurized Canister - Cryogenic Precon GC/MS,13147
INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,13137
Andersen RAAS Teflon - Energy Dispersive XRF,12990
LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,12927
R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,12756
INSTRUMENTAL - PYRANOMETER,12445
6L Pressurized Canister - Precon Saturn GC/MS,12423
Instrumental - ENTECH 2000 W/MS/FID,11983
INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,11941
HI-VOL-WEDDING-INLET - GRAVIMETRIC,11804
R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,11249
SS Canister Subambient Pressure - Gas Chromatograph Mass Spectro,10861
INSTRUMENTAL - BAROMETRIC SENSOR,10451
BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,10328
"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",10135
HI-VOL - ICP/MS W/QUARTZ FILTER,10111
R & P Model 2025 PM2.5 Sequential Teflon VSCC - Energy Dispersive XRF,9960
Anderson RAAS2.5-300 PM2.5 Seq - Barometric Sensor,9720
Anderson RAAS2.5-300 PM2.5 Seq - Electronic,9712
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE TOR w/STN Urban Adjustment,9566
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,9204
SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON:GC/MS,8953
Anderson RAAS2.5-300 PM2.5 Seq - Calculation,8953
Pressurized Canister - GC with Multiple Detectors,8922
HI-VOL-SA/GMW1200 - GRAVIMETRIC,8855
R&P MDL 2300 PM2.5 SEQ SPEC TEF - ENERGY DISPERSIVE XREF,8664
HI-VOL-SA/GMW1200 - ION CHROMATOGRAPH CONDUCTIMETRIC,8379
SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,8256
INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,8117
URG 3000N w/Pall Quartz filter adn Cyclone Inlet - IMPROVE_A,8013
IMPROVE - IMPROVE,7944
Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,7899
R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,7785
CARTRIDGE-DNPH-ON-SILICA - HPLC ULTRAVIOLET ABSORPTION,7379
Passivated Canister - Cryogenic Preconcentration GC/FID,7280
INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,6868
INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,6672
6L SUBAMBIENT SS-CANISTER - VARIAN SATURN-2 GC/MS,6612
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",6590
HI-VOL-SA/GMW-321-B - GRAVIMETRIC,6589
"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",6526
IMPROVE - EC1+EC2+EC3-OP,6345
SS-CANISTER-AMBIENT - PRECONCENTRATOR GC/FID,6105
HI-VOL - X-RAY FLUORESCENCE,6045
INSTRUMENTAL - ANEROID,6015
BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,5788
Hi-Vol - ICP Mass Spec w Glass Filters,5705
Instrumental - RM Young Model 05305,5691
Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,5658
R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,5648
R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,5636
INSTRUMENTAL - ELECTRONIC,5626
R & P Model 2000 PM2.5 Sampler - Barometric Sensor,5577
URG MASS400 Teflon WINS - Energy Dispersive XRF,5546
R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,5538
IMPROVE - OC1+OC2+OC3+OC4+OP,5519
R & P Model 2000 PM2.5 Sampler - Electronic,5515
Hi-Vol SA/GMW1200 Quartz - ICP/MS,5509
R & P Model 2025 PM2.5 Sequential Teflon - Energy Dispersive XRF,5496
R & P Model 2000 PM2.5 Sampler - Calculation,5455
Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,5367
IMPROVE Calculation of Organic Mass by Carbon (OMCf) - 1.8 * OCf,5277
R - P Co Partisol Model 2025 - Gravimetric,5239
Met One SASS/SuperSASS Teflon - Gravimetric,5182
HI-VOL - NEUTRON ACTIVATION ANALYZER,5136
INSTRUMENTAL - CALCULATION,5058
BUCKET - CONTINUOUS OR INCREMENTAL,5014
Instrumental - Chemiluminescence Teledyne API 200 EU/501,4741
INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,4574
IMPROVE Calculation of Ammonium Sulfate (ammSO4f) - ;4.125*[S],4538
IMPROVE Calculation of Fine Soil - 2.2*[Al]+2.49*[Si]+1.63*[Ca]+2.42*[Fe]+1.94*[Ti],4522
IMPROVE Calculation for Ammonium Nitrate - 1.29*[NO3],4507
HI-VOL/PUF CARTRIDGE - TO-13- EPA610- EPA625,4503
Preconcen trap/Thermal Desorber - Auto GC (PE Clarus 500 dual col),4492
URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+(OP(TOR))=(88374+88375+88376+88377+88378),4489
INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,4466
Instrumental - Met One Sonic Anemometer Model 50.5,4453
BGI PQ200/200A - ICP-MS,4334
PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,4253
URG 3000N w/Pall Quartz filter and Cyclone Inlet - EC1+EC2+EC3-(OP(TOR))=(88383+88384+88385-88378)),4207
SKC Pump Charcoal Tube - GC/MS REAC SOP 1816,4170
6L Subatm SS Canister - Entech Precon GC/MS,4084
INSTRUMENTAL - ARITH STD DEV LEVEL 1,4067
Hi Vol/XAD-2 - GC/MS,3799
PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,3636
SORBANT TUBE-CARBOSIEVE-C-TRAP - GAS CHROMATOGRAPH W/FLAME; GC FID,3493
INSTRUMENTAL - ULTRA VIOLET FLUORESCENCE,3377
6L AMBIENT CANISTER - DUAL FID - PAMS,3314
MIXED SORBENT CARTRIDGE - GC/MS,3269
SS-CANISTER-SUBAMBIENT-PRESURE - GAS CHROMATOGRAPH MASS SELECTIV DET,3261
R & P Partisol 2025 Teflon - ICPMS,3231
R - P Co Partisol Model 2000 - Gravimetric,3216
INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,3193
HI-VOL - ION CHROMATOGRAPH CONDUCTIMETRIC,3192
Instrumental - Ultraviolet Fluorescence API 100 EU,3078
SS 6L - PRESSURIZED CANISTER  - CRYOGENIC PRECON:GC/MS,3075
Correlated Radiance Research M903 With Heated Inlet - Nephelometry,3065
"Cartridge DNPH on Silica, Heated O3 Denuder - HPLC Photo Diode Array",2962
Instrumental - Climatronics,2885
6L PRESSURIZED CANISTER - CAPILLARY GC-ECD/PID,2871
HI-VOL-SA/GMW-1200 - EMISSION SPECTRA ICAP,2813
"Instrumental - Chemiluminescence Thermo Electron 42C-Y, 42i-Y",2783
HI-VOL-SA/GMW1200 - HPLC SCANNING FLUORESCENCE,2749
Hi-Vol SA/GMW1200 - ICP/MS,2735
URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+(OP(TOT))=(88374+88375+88376+88377+88388),2709
URG 3000N w/Pall Quartz filter and Cyclone Inlet - EC1+EC2+EC3-(OP(TOT))=(88383+88384+88385-88388)),2705
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE_A TOR,2703
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE_A TOT,2703
Instrumental - Electronic or machine average level 2 - level 1,2656
