observation_count,count
60,150829
59,135442
61,127381
58,117342
57,90474
56,74517
119,67447
55,61838
120,61407
118,60865
30,52299
117,51873
121,50546
54,50385
116,48743
115,42571
53,41542
29,41106
114,37452
28,33921
113,33387
122,33299
51,32745
52,32026
31,31887
112,29124
15,28320
110,26707
111,26314
1,25032
27,23885
50,23693
109,20530
12,20405
26,19885
14,19652
4,19594
48,19174
49,19020
25,18622
3,18414
6,18254
108,18221
9,18214
2,18164
45,17979
10,17690
5,17549
24,16923
16,15807
47,15560
107,15446
13,15341
46,14924
8,14032
44,13986
23,13983
7,13967
100,13689
102,13547
104,12729
103,12724
11,12500
20,12468
39,12420
17,12398
98,12384
99,12309
105,12251
106,12233
43,12050
22,11984
42,11822
101,11761
62,11605
40,11583
38,11079
97,11075
32,11025
21,10701
41,10144
19,10132
33,9983
34,9709
36,9465
18,9221
96,9187
35,9003
365,8636
37,8452
95,7881
94,7167
359,6658
63,6646
361,6645
91,6345
360,6339
90,6296
356,6145
358,6139
363,6114
92,6103
362,5987
357,5929
364,5832
93,5794
352,5532
351,5520
353,5480
354,5466
89,5436
355,5435
84,5282
88,5067
348,4953
350,4848
349,4821
8755,4694
347,4640
87,4555
8760,4544
79,4537
83,4307
72,4251
85,4202
86,4155
77,4091
82,4073
78,4071
346,4055
345,3914
8756,3748
81,3608
8757,3606
342,3602
344,3593
67,3572
8754,3483
80,3470
343,3458
74,3440
8753,3433
8758,3283
71,3277
70,3267
8749,3234
8752,3231
73,3192
64,3170
340,3158
75,3144
65,3143
341,3065
8751,3053
66,3023
76,3015
339,3007
8759,2849
123,2721
366,2699
124,2680
8748,2642
8750,2637
337,2585
69,2516
336,2493
338,2469
68,2424
335,2409
8747,2400
8746,2347
333,2310
8743,2263
332,2229
334,2147
331,2111
8744,2038
8736,2008
8745,1959
330,1932
326,1923
8741,1903
329,1897
8742,1886
327,1857
8740,1849
8734,1805
8733,1760
8735,1755
328,1724
8728,1682
324,1661
325,1644
8729,1642
8737,1640
8738,1626
8739,1583
8732,1583
8723,1570
8731,1562
8705,1560
8730,1538
8701,1500
8725,1495
8720,1480
8722,1465
8694,1465
8712,1445
323,1443
8706,1438
8699,1434
8709,1429
8719,1426
8726,1420
321,1420
8727,1415
8700,1400
8721,1397
322,1396
8715,1395
8708,1389
8717,1388
8697,1367
8718,1367
129,1358
8711,1355
8683,1353
8691,1352
8710,1348
8716,1345
8714,1333
8713,1333
8696,1332
8682,1331
8703,1327
125,1323
8684,1322
8704,1319
8702,1314
8707,1307
5133,1298
8779,1292
8784,1283
8678,1264
8689,1264
8698,1261
8695,1258
8724,1256
319,1255
136,1253
8688,1250
126,1245
8692,1242
8676,1237
744,1231
8671,1231
8686,1226
8673,1221
8677,1220
8681,1212
317,1198
8680,1180
8687,1180
8675,1178
320,1178
8679,1175
8690,1172
8660,1168
8693,1168
8659,1156
8663,1154
248,1153
8668,1149
8685,1146
8664,1145
316,1143
315,1142
8670,1113
8674,1109
8777,1107
8657,1106
8662,1104
131,1084
8667,1082
8780,1082
8655,1077
8669,1057
8651,1055
8666,1055
132,1053
8656,1049
8781,1044
8672,1043
8665,1041
8782,1039
8778,1031
8646,1021
8658,1020
8648,1007
8650,999
8638,999
8661,997
8775,992
318,988
8653,987
8652,986
8649,974
310,968
8625,968
8639,967
8647,966
8643,966
8776,956
8641,953
8635,945
8640,939
312,936
8611,935
8636,934
8654,932
8612,932
314,927
8627,922
8773,919
8622,914
8597,914
8626,910
2160,907
8609,906
127,898
8645,898
8632,898
8637,896
8630,894
8604,893
8620,884
8783,883
8642,876
8644,874
8587,864
8617,862
