parameter_code,count
88101,386887
44201,293538
42401,157670
81102,89554
42602,52087
42101,51002
68105,48128
68108,48045
11101,44268
88502,44141
62101,40084
61101,35435
68106,34681
68103,34651
68104,34645
68107,34634
68102,30807
61104,30694
61103,30320
68101,29464
85101,29234
68109,29138
61102,24744
42601,23507
61106,23094
42603,19790
62201,19289
12128,19018
45201,18804
45202,18386
45203,17951
45204,17517
88501,17398
45109,16709
45220,16450
88403,15686
88136,15625
88128,15625
88165,15612
88132,15610
88154,15610
88112,15585
88180,15579
88103,15570
88164,15484
88167,15484
88126,15484
88114,15480
88169,15469
88115,15469
88152,15469
88168,15461
88176,15461
88161,15449
88104,15444
88111,15429
88109,15319
88306,15139
88184,15093
88185,15086
88140,14985
45208,14778
45207,14667
43218,13936
43817,13213
43802,13200
43803,13109
43804,13092
43824,12901
43814,12646
64101,12588
63301,12513
43205,11823
43860,11716
43815,11675
43231,10628
45801,10476
43843,10438
43830,10394
43829,10379
43248,10358
43233,10328
43819,10243
43831,10171
43811,10102
43801,9878
43232,9846
43818,9834
43820,9740
43813,9722
43551,9449
43206,9398
88330,9358
88331,9358
43503,9345
88325,9314
88326,9314
88324,9309
45807,9304
43502,9256
43826,9249
43552,9247
88321,9099
88329,9098
88327,9054
88328,9050
88320,8990
88203,8712
45213,8693
43823,8650
88348,8648
45805,8467
88301,8381
88102,8374
88113,8342
43220,8302
88160,8233
88107,8201
88302,8172
65102,8157
88303,8145
86101,8112
88110,8068
43250,8026
12110,8011
45210,7993
45806,7986
43212,7976
88118,7946
43372,7888
88131,7816
88166,7816
88117,7796
43243,7784
12112,7780
43235,7727
12132,7712
43238,7659
43812,7615
45209,7579
43242,7559
43102,7533
12136,7487
12103,7430
43204,7411
43214,7410
43217,7389
43216,7382
43261,7367
45225,7346
43221,7343
43224,7297
43253,7295
43252,7295
43244,7282
43291,7274
43960,7267
43227,7262
43247,7260
43262,7258
43249,7255
43263,7248
43954,7223
88339,7220
43203,7203
88338,7179
43226,7178
88350,7169
43202,7127
88344,7094
43230,6903
43285,6858
43284,6856
45810,6849
45211,6776
42406,6718
45212,6713
45219,6587
61105,6569
43208,6536
43280,6533
45218,6472
43844,6334
43839,6279
12105,6253
12167,6191
43504,5992
12126,5929
43828,5622
43505,5607
43560,5560
43806,5486
43838,5464
14129,5408
86502,5338
12114,5178
45501,5162
88376,4955
88375,4955
88374,4955
43207,4919
88385,4917
88384,4917
12113,4907
43832,4797
12403,4721
88377,4695
88370,4691
88380,4691
88383,4657
45809,4642
88388,4600
88355,4600
88357,4600
88378,4596
88134,4511
43704,4442
11203,4300
42153,4206
88183,4115
88142,4079
43518,3968
43000,3951
88337,3950
43517,3883
43702,3795
12164,3721
88305,3712
88307,3700
88143,3698
88146,3698
88124,3698
88163,3693
88147,3678
88170,3678
88121,3678
88133,3678
88127,3678
88186,3678
88172,3678
88162,3678
12107,3612
88500,3590
43835,3531
82403,3517
43510,3479
62107,3476
12134,3315
62106,3227
12306,3174
88401,3071
82306,3030
43513,3027
43821,2998
43282,2993
43228,2984
43289,2978
43290,2974
45503,2935
42600,2926
43234,2870
43283,2858
45504,2854
43245,2840
12154,2823
88334,2809
88335,2809
88332,2804
88333,2804
88336,2795
43141,2784
43516,2652
43559,2512
12102,2500
82203,2495
17242,2429
43441,2387
43836,2344
62103,2257
88503,2172
82128,2156
46401,2034
82103,2026
17141,2016
12115,2013
43246,2006
43528,1998
43438,1994
62202,1986
88349,1978
43373,1977
43396,1977
88340,1966
82136,1964
11208,1963
82132,1950
88345,1891
17149,1881
17150,1879
17151,1879
88343,1878
88346,1878
17204,1877
17215,1877
17201,1876
82110,1875
43209,1872
17243,1872
17223,1867
88342,1866
17208,1863
17220,1863
17231,1855
63102,1851
88341,1851
17148,1833
82112,1826
88379,1806
88382,1768
88381,1768
17147,1762
43331,1760
68112,1756
68116,1756
68114,1756
68113,1756
68111,1756
68115,1754
68117,1750
68118,1750
17237,1731
43447,1687
43302,1630
82105,1628
43256,1600
17224,1577
43329,1564
43173,1501
43312,1435
42402,1404
12101,1384
82301,1371
43509,1367
82113,1282
14132,1281
85103,1225
85136,1221
85132,1221
82180,1216
43101,1206
85128,1190
84313,1178
82102,1171
17212,1166
63302,1161
45228,1156
12161,1154
85110,1147
82154,1138
12168,1130
42612,1121
85105,1119
43359,1119
88308,1115
12185,1102
12140,1096
12160,1094
43515,1052
88311,1047
46201,1042
43257,1038
85113,1024
14110,1019
14112,1017
14136,1017
85154,1000
14103,999
12142,982
85112,974
81103,953
43201,946
14105,945
43225,940
43279,926
43299,920
12111,903
12180,900
61109,893
12169,887
17211,880
61110,873
85102,869
43270,856
61111,853
43143,852
43145,850
43144,850
43328,842
45850,832
43236,826
43330,826
43298,825
43557,806
42410,790
43335,790
17158,769
45206,747
82167,743
88313,739
43292,736
43142,732
17159,729
81104,716
11201,699
17160,699
45505,695
62102,678
45205,665
14167,659
43601,658
12165,645
12203,636
82114,627
12176,626
12152,601
85142,590
82126,588
82142,580
43127,578
88310,569
42604,534
43512,529
14128,524
43564,521
43514,521
43434,521
82107,508
12166,495
82242,487
82220,468
82223,468
14126,456
82134,453
82237,442
82151,442
85129,442
82243,442
12183,431
12109,425
12173,423
43911,422
45506,400
45507,397
43854,386
43834,386
43848,386
82164,384
61107,383
43841,377
43827,375
13115,370
82111,369
12179,368
88395,348
43805,348
65302,348
65303,347
43553,337
43950,323
43852,323
84314,307
43808,302
45221,300
88314,290
12202,289
43562,287
43558,287
82116,286
82101,285
82166,281
12150,280
82160,279
45102,264
81101,257
85164,245
63101,245
65101,242
65321,239
12184,237
12146,236
88312,233
65322,232
65318,231
82115,225
82161,225
82109,225
85180,224
82168,224
82176,222
82183,221
82185,219
12125,219
83161,218
83165,218
83103,218
83101,218
83168,218
14142,218
83107,218
83152,218
83164,218
83154,218
83167,218
83142,217
84101,216
84113,216
83112,216
83113,216
84114,216
83180,216
83115,216
83176,216
83179,216
83126,216
83109,216
83183,216
84112,216
83111,216
84109,216
84107,216
83134,216
83185,216
83136,216
84111,216
83114,216
84103,216
83132,216
83169,216
84115,215
84165,214
84176,214
84154,214
84132,214
84161,214
84152,214
84134,214
84142,214
84179,214
84183,214
84169,214
84136,214
84126,214
84185,214
84164,214
84180,214
84167,214
84168,214
88390,204
43861,201
12204,195
65314,195
12201,195
42513,195
43837,193
88392,192
88391,192
42102,190
88179,188
83128,188
84128,186
43955,183
65316,183
18202,182
45508,182
63305,181
12209,181
21101,179
14115,178
82140,176
65312,170
65311,170
85107,169
12208,169
83160,167
84102,165
83102,165
82169,163
84160,163
42242,160
42305,158
65313,156
88309,154
43131,153
87101,153
45110,152
16915,152
43264,151
85134,150
45811,150
43309,150
11124,146
11123,146
82184,144
88105,141
61120,140
82173,139
82152,138
85167,138
85114,138
82179,137
11103,137
82165,137
85168,134
85184,130
85126,130
45233,128
43549,127
43391,127
82202,126
12301,125
43269,120
43259,114
85111,111
43524,111
43501,110
43295,110
43362,109
85109,106
85161,106
43305,106
12190,104
43393,103
85176,103
43394,103
43392,103
17907,102
43189,102
85160,101
85104,98
16210,96
43260,96
17835,96
16938,96
16212,96
45230,96
16772,92
85165,90
85115,90
85169,90
85152,90
43360,86
82190,85
82127,85
82124,85
82146,84
45112,84
82131,84
85183,82
17716,81
88304,75
11102,74
43188,74
43339,74
63304,73
43274,72
43840,71
43853,68
88316,68
83110,63
61112,62
84110,62
61301,60
17142,58
45301,56
11302,53
14154,53
25101,51
16735,50
16733,50
16734,50
85166,50
16754,50
16732,50
16739,50
12191,49
16786,46
17301,46
16797,46
14113,46
14102,46
43171,44
43223,41
12131,41
12124,41
45116,41
42605,39
16775,39
88317,39
11125,38
88173,38
16742,38
17140,38
88151,38
16767,37
16807,37
16784,36
16747,36
16750,36
16801,36
16793,36
16783,36
16796,36
16774,36
16765,36
16725,36
16752,36
16728,36
16782,36
17804,36
16768,36
16760,36
16761,36
16729,36
16737,36
16766,36
16727,36
16778,36
16785,36
43599,36
16743,36
16740,36
16780,36
16795,36
16773,36
43111,36
16789,36
16758,36
16787,36
16776,36
16745,36
17710,36
16736,36
17808,36
16781,36
16759,36
16771,36
16744,36
16788,36
16769,36
16756,36
16757,36
16749,36
17725,36
16751,36
16746,36
16731,36
16770,36
16791,36
16763,36
16722,36
16755,36
16792,36
16826,36
16748,36
16779,36
16794,36
16741,36
16738,36
16753,36
16790,36
16762,36
16777,36
16726,36
16914,36
16764,36
16724,36
17803,36
16730,36
16798,36
16799,36
43379,35
43395,34
65301,33
17011,30
16962,30
17018,30
16986,30
17009,30
16998,30
16989,30
17003,30
17026,30
43301,30
16975,30
17005,30
16993,30
16961,30
16937,30
16974,30
17043,30
16981,30
16960,30
16994,30
16935,30
16980,30
16972,30
16966,30
16990,30
16968,30
17006,30
16995,30
17010,30
16954,30
17008,30
16978,30
17024,30
17044,30
16941,30
16984,30
17021,30
17023,30
17038,30
17032,30
17019,30
16983,30
16977,30
16948,30
16985,30
17033,30
16988,30
16971,30
16933,30
16959,30
17007,30
17013,30
16970,30
17027,30
16950,30
17001,30
16939,30
16987,30
16982,30
16996,30
17022,30
16964,30
17028,30
16956,30
17029,30
16947,30
16958,30
17034,30
17031,30
17025,30
16967,30
17020,30
17002,30
17000,30
16979,30
17030,30
65330,29
12602,29
43237,28
45231,28
65306,25
42302,25
11207,25
43241,24
43251,24
43378,24
43255,24
45234,24
45232,24
12151,24
43229,24
45216,24
45217,24
43254,24
85185,24
85173,24
42303,24
84316,23
43150,22
88323,22
14403,22
43149,22
43148,22
45111,22
88322,22
84312,21
45732,20
17906,20
17911,20
85179,20
14306,20
16714,20
17202,19
43833,18
12118,17
12172,17
12121,17
12147,17
12170,17
12178,17
12117,17
12163,17
92142,17
12162,17
12143,17
12133,17
86165,16
86118,16
86383,16
86376,16
86167,16
86114,16
86302,16
86166,16
86112,16
86384,16
86154,16
86104,16
86128,16
86103,16
86140,16
86115,16
86385,16
86152,16
86403,16
86136,16
86111,16
86180,16
86131,16
86184,16
86388,16
86306,16
86355,16
85140,16
86102,16
