parameter_name,count
PM2.5 - Local Conditions,386887
Ozone,293538
Sulfur dioxide,157670
PM10 Total 0-10um STP,89554
Nitrogen dioxide (NO2),52087
Carbon monoxide,51002
Average Ambient Temperature,48128
Average Ambient Pressure,48045
Suspended particulate (TSP),44268
Acceptable PM2.5 AQI & Speciation Mass,44141
Outdoor Temperature,40084
Wind Speed - Scalar,35435
Sample Min Baro Pressure,34681
Ambient Min Temperature,34651
Ambient Max Temperature,34645
Sample Max Baro Pressure,34634
Sample Volume,30807
Wind Direction - Resultant,30694
Wind Speed - Resultant,30320
Sample Flow Rate- CV,29464
PM10 - LC,29234
Elapsed Sample Time,29138
Wind Direction - Scalar,24744
Nitric oxide (NO),23507
Std Dev Hz Wind Direction,23094
Oxides of nitrogen (NOx),19790
Relative Humidity ,19289
Lead (TSP) STP,19018
Benzene,18804
Toluene,18386
Ethylbenzene,17951
o-Xylene,17517
PM2.5 Raw Data,17398
m/p Xylene,16709
Styrene,16450
Sulfate PM2.5 LC,15686
Nickel PM2.5 LC,15625
Lead PM2.5 LC,15625
Silicon PM2.5 LC,15612
Manganese PM2.5 LC,15610
Selenium PM2.5 LC,15610
Chromium PM2.5 LC,15585
Potassium PM2.5 LC,15579
Arsenic PM2.5 LC,15570
Vanadium PM2.5 LC,15484
Zinc PM2.5 LC,15484
Iron PM2.5 LC,15484
Copper PM2.5 LC,15480
Sulfur PM2.5 LC,15469
Chlorine PM2.5 LC,15469
Phosphorus PM2.5 LC,15469
Strontium PM2.5 LC,15461
Rubidium PM2.5 LC,15461
Titanium PM2.5 LC,15449
Aluminum PM2.5 LC,15444
Calcium PM2.5 LC,15429
Bromine PM2.5 LC,15319
Total Nitrate PM2.5 LC,15139
Sodium PM2.5 LC,15093
Zirconium PM2.5 LC,15086
Magnesium PM2.5 LC,14985
"1,2,4-Trimethylbenzene",14778
"1,3,5-Trimethylbenzene",14667
"1,3-Butadiene",13936
Tetrachloroethylene,13213
Dichloromethane,13200
Chloroform,13109
Carbon tetrachloride,13092
Trichloroethylene,12901
Methyl chloroform,12646
Barometric pressure,12588
Solar radiation,12513
Propylene,11823
Vinyl chloride,11716
Ethylene dichloride,11675
n-Hexane,10628
Chlorobenzene,10476
Ethylene dibromide,10438
"trans-1,3-Dichloropropene",10394
"1,2-Dichloropropane",10379
Cyclohexane,10358
n-Octane,10328
Bromomethane,10243
"cis-1,3-Dichloropropene",10171
Trichlorofluoromethane,10102
Chloromethane,9878
n-Heptane,9846
