pollutant_standard,count
Ozone 8-hour 2015,73386
Ozone 8-Hour 1997,73386
Ozone 1-hour 1979,73384
Ozone 8-Hour 2008,73382
PM10 24-hour 2006,73038
PM25 24-hour 2006,62299
PM25 24-hour 1997,62244
PM25 Annual 1997,62244
PM25 24-hour 2012,62237
PM25 Annual 2006,61996
PM25 Annual 2012,61880
SO2 24-hour 1971,38742
SO2 Annual 1971,38741
SO2 1-hour 2010,37435
SO2 3-hour 1971,37394
NO2 Annual 1971,26789
CO 1-hour 1971,25495
CO 8-hour 1971,25494
NO2 1-hour 2010,25277
Lead Quarterly 1978,19018
Lead 3-Month 2009,5408
Lead 3-Month PM10 Surrogate 2009,442
