primary_exceedance_count,count
0,470843
1,55715
2,29338
3,19411
4,14754
5,10986
6,9057
7,7752
8,6697
9,5938
10,5362
11,4691
12,4351
13,4006
14,3641
15,3388
16,3249
17,2957
18,2537
19,2511
20,2268
21,2163
22,2128
23,1860
25,1719
24,1663
26,1590
27,1436
28,1366
29,1268
30,1223
31,1194
33,1103
32,1046
34,973
35,968
36,862
37,803
38,770
40,734
39,733
41,701
42,664
43,617
44,575
47,506
46,506
48,486
45,483
49,444
53,401
50,391
52,386
51,379
54,344
56,317
55,305
57,296
60,289
58,271
63,271
61,264
59,258
62,234
64,213
65,198
66,197
70,190
68,172
67,170
69,166
71,163
74,163
78,159
72,155
73,149
75,147
76,135
79,135
81,126
88,119
77,116
85,110
83,107
90,106
82,105
84,105
92,105
97,101
80,100
89,97
86,96
87,94
95,85
96,81
93,79
101,79
94,75
91,73
104,71
99,71
103,68
98,68
100,60
108,59
102,58
105,58
117,57
116,55
114,54
109,53
112,51
110,51
113,50
115,49
106,49
111,46
127,45
121,44
125,44
130,42
107,42
124,40
129,40
120,39
126,35
131,34
118,34
145,33
134,32
140,32
137,31
135,31
133,31
122,30
128,30
136,29
123,29
119,29
132,28
138,28
141,27
153,27
144,27
148,26
151,23
152,23
156,22
150,22
142,21
149,21
139,20
146,20
147,18
159,18
165,16
143,16
155,15
164,15
160,14
161,14
170,13
162,13
187,12
154,12
211,12
163,12
158,12
169,11
167,11
166,11
178,10
168,10
186,10
185,9
173,9
157,9
171,8
177,7
172,7
246,7
214,7
176,7
175,6
226,5
193,5
174,5
208,5
227,5
199,5
201,5
189,5
179,4
192,4
230,4
225,4
319,4
314,4
204,4
182,4
205,4
180,4
210,3
272,3
251,3
302,3
207,3
219,3
184,3
191,3
345,3
220,3
215,3
181,3
245,3
197,3
244,3
232,3
183,3
247,2
200,2
216,2
209,2
271,2
198,2
321,2
223,2
195,2
293,2
252,2
190,2
248,2
228,2
337,2
327,2
275,2
237,2
194,2
391,1
307,1
379,1
229,1
281,1
601,1
386,1
311,1
313,1
353,1
277,1
259,1
270,1
260,1
217,1
595,1
1136,1
250,1
373,1
222,1
355,1
480,1
631,1
309,1
238,1
487,1
279,1
338,1
188,1
359,1
433,1
360,1
399,1
269,1
268,1
501,1
473,1
274,1
253,1
450,1
364,1
398,1
257,1
212,1
262,1
378,1
522,1
196,1
294,1
369,1
328,1
203,1
502,1
213,1
284,1
267,1
240,1
392,1
266,1
366,1
224,1
344,1
206,1
340,1
324,1
