secondary_exceedance_count,count
0,429295
1,51513
2,27186
3,17938
4,13700
5,10149
6,8299
7,7137
8,6132
9,5442
10,4911
11,4254
12,3936
13,3656
14,3315
15,3074
16,2898
17,2651
18,2265
19,2244
20,2055
21,1941
22,1893
23,1653
25,1526
24,1478
26,1389
27,1254
28,1198
29,1112
30,1071
31,1026
33,974
32,898
34,840
35,828
36,734
37,689
38,657
40,640
39,609
41,579
42,565
43,519
44,482
46,417
47,410
48,403
45,402
49,361
53,330
50,327
52,321
51,296
54,281
56,248
55,236
60,226
57,225
63,212
58,209
61,207
59,202
62,185
64,171
65,154
66,148
70,148
67,136
69,135
71,122
74,121
68,121
73,119
78,116
72,114
79,101
75,99
88,98
76,97
81,90
83,89
77,88
84,87
97,87
90,83
89,82
82,79
92,78
86,76
85,74
80,70
87,68
101,68
95,64
91,61
96,61
104,60
94,56
93,55
103,54
99,53
98,52
117,48
105,48
102,48
100,47
116,45
108,44
106,43
114,42
110,41
109,41
127,40
112,38
111,36
129,35
115,34
124,33
107,33
113,32
125,32
121,31
120,31
130,30
131,28
126,28
118,28
145,28
134,26
136,26
140,24
135,24
137,24
133,24
148,23
141,22
153,22
128,21
132,21
144,21
156,20
122,19
150,19
138,19
151,18
119,18
142,18
147,18
149,17
123,17
139,16
152,16
159,14
164,14
143,13
165,12
211,11
155,10
146,10
170,10
168,10
160,10
187,10
169,9
178,8
173,8
162,8
167,8
161,8
163,7
154,7
157,7
166,6
186,6
158,6
185,5
171,5
226,5
172,5
175,4
227,4
201,4
193,4
199,4
345,3
245,3
225,3
180,3
246,3
302,3
205,3
176,3
191,2
220,2
223,2
183,2
184,2
189,2
210,2
219,2
275,2
208,2
337,2
321,2
192,2
244,2
252,2
248,2
197,2
272,2
179,2
247,2
237,2
251,2
340,1
267,1
174,1
359,1
433,1
631,1
207,1
269,1
309,1
366,1
324,1
266,1
284,1
230,1
480,1
355,1
200,1
373,1
1136,1
353,1
595,1
217,1
259,1
182,1
277,1
177,1
338,1
364,1
250,1
294,1
281,1
378,1
344,1
232,1
386,1
279,1
369,1
450,1
328,1
203,1
502,1
194,1
487,1
392,1
307,1
391,1
271,1
473,1
262,1
195,1
360,1
601,1
399,1
268,1
501,1
181,1
257,1
379,1
398,1
313,1
216,1
522,1
