site_num,count
0002,200006
0003,172341
0001,172270
0004,148753
0005,133458
0007,105848
9000,100732
0008,100413
0006,95346
0014,84364
0010,78524
1002,70746
0009,69478
0011,64914
0012,52388
0020,48965
8001,48229
1001,46896
0022,42024
0015,40821
0019,39459
3001,39151
0017,38026
0021,37868
0101,36501
1003,36422
0016,36152
1004,35569
2002,33377
0030,33251
0026,33212
0034,31654
0018,31223
0023,29659
0013,29249
0024,29194
5001,25557
1010,25071
0042,24918
0043,24839
1007,24627
2006,23162
3002,22473
2004,21154
4002,20837
9997,19900
0080,19072
0029,18515
0041,18010
0027,17843
1039,17765
2001,17019
0069,16926
1005,16627
2003,16367
0033,16262
0055,16077
1103,15962
1006,15565
4201,15445
0057,15383
0025,14694
0100,14667
0040,14521
1008,14289
0044,13458
0032,13320
0060,12921
0037,12779
4001,12203
0078,12082
0031,12031
0047,11999
1035,11763
0035,11711
0110,11427
0085,10976
0038,10904
9991,10753
1009,10660
1011,10407
9001,9578
0124,9523
0053,9035
9002,8986
6001,8561
0133,8342
1037,8153
4003,7864
1013,7782
2008,7609
0102,7452
0048,7448
3003,7192
2005,7089
1020,6931
1127,6830
9010,6634
1014,6624
7001,6609
0500,6597
5005,6438
0046,6331
0103,6265
0050,6112
0076,6032
0028,6031
3006,5960
1034,5941
0963,5941
0051,5896
1016,5893
0064,5793
0081,5790
0119,5789
0099,5449
0075,5433
1015,5371
3009,5360
5501,5307
0083,5214
0067,5212
3103,5066
1028,5036
0058,5032
0091,4993
0036,4984
5002,4598
0049,4568
0072,4559
2007,4529
9003,4522
6012,4485
0039,4388
4004,4331
0246,4300
2011,4285
0052,4269
2010,4207
1012,4194
0901,4179
9004,4115
1018,4111
0132,4055
1602,4023
0501,3989
0235,3976
3007,3919
0123,3892
0871,3822
0966,3815
0045,3704
5502,3697
2009,3693
0111,3631
3010,3598
8100,3498
0540,3434
0109,3396
0070,3378
0059,3359
0423,3356
1601,3306
0061,3229
5008,3214
1044,3193
0087,3174
0436,3125
3011,3124
0803,3103
0470,3094
0401,3075
7003,2860
5503,2825
8104,2753
0062,2745
1123,2744
1022,2724
0097,2686
0108,2623
4009,2591
6002,2497
0134,2449
0065,2447
0307,2432
0056,2382
0063,2370
0073,2353
0136,2317
0438,2316
0762,2297
0868,2292
7549,2273
8102,2243
0130,2179
3005,2150
0118,2142
1065,2113
1017,2099
1100,2098
5003,2096
8005,2083
0890,2073
1201,2054
9009,2051
4005,2047
8103,2023
0442,2012
2510,2009
0066,1919
0561,1915
1050,1886
5504,1881
0200,1864
2123,1853
1025,1851
0113,1844
8105,1798
9034,1789
1019,1782
0961,1774
0084,1768
2013,1756
2012,1753
1021,1750
0079,1720
6004,1714
0446,1714
0232,1689
0301,1661
0098,1657
1301,1652
6000,1635
6006,1621
8002,1607
0306,1565
8106,1554
3101,1540
7002,1517
1101,1510
0244,1499
0677,1481
