state_code,count
06,516193
48,356140
42,158905
39,146431
36,128719
18,127395
04,109536
26,107812
08,102829
12,102676
37,99264
27,98967
17,94908
13,92159
25,82759
53,76747
21,68475
41,67939
55,66500
34,65425
22,63275
47,62161
01,61374
49,60262
30,60220
51,59321
29,58212
19,58205
56,57913
45,54998
40,53897
24,51705
23,49090
35,42231
44,37225
20,34810
50,34600
09,34081
32,34066
33,30032
54,29573
38,29405
16,29209
28,27267
02,25712
46,23438
05,22942
11,21045
15,20249
31,17981
10,17418
72,13766
80,11098
78,5049
CC,526
66,111
