state_name,count
California,516193
Texas,356140
Pennsylvania,158905
Ohio,146431
New York,128719
Indiana,127395
Arizona,109536
Michigan,107812
Colorado,102829
Florida,102676
North Carolina,99264
Minnesota,98967
Illinois,94908
Georgia,92159
Massachusetts,82759
Washington,76747
Kentucky,68475
Oregon,67939
Wisconsin,66500
New Jersey,65425
Louisiana,63275
Tennessee,62161
Alabama,61374
Utah,60262
Montana,60220
Virginia,59321
Missouri,58212
Iowa,58205
Wyoming,57913
South Carolina,54998
Oklahoma,53897
Maryland,51705
Maine,49090
New Mexico,42231
Rhode Island,37225
Kansas,34810
Vermont,34600
Connecticut,34081
Nevada,34066
New Hampshire,30032
West Virginia,29573
North Dakota,29405
Idaho,29209
Mississippi,27267
Alaska,25712
South Dakota,23438
Arkansas,22942
District Of Columbia,21045
Hawaii,20249
Nebraska,17981
Delaware,17418
Puerto Rico,13766
Country Of Mexico,11098
Virgin Islands,5049
Canada,526
Guam,111
