units_of_measure,count
Micrograms/cubic meter (LC),1308400
Parts per billion Carbon,1039033
Parts per million,347277
Micrograms/cubic meter (25 C),290987
Parts per billion,264053
Degrees Centigrade,119174
Millimeters (mercury),119110
Degrees Compass,78977
Knots,74943
Nanograms/cubic meter (25 C),70130
Degrees Fahrenheit,46503
Cubic meter,36073
Percent,34732
Minutes,29138
Percent relative humidity,21286
Langleys/minute,13859
Nanograms/cubic meter (LC),13576
Inverse Megameters,13317
Millibars,12588
Inches (rainfall),8399
Beta Scatter,4300
"Temp Difference, Centigrade ",3227
Pg/cubic meter(25 C),2271
No Units,1963
Inverse 100 Megameters,1851
Milligrams/liter,1602
Parts per million Carbon,1501
Mg S03/100 sq cm/day,790
"COHS/1,000 linear feet",699
pH Units,377
Microsiemens/centimeter,347
Structures/Cu Cm,330
Grams/sq meter/month,284
Miles (visibility),270
Count per cm^3,208
Ug/sq cm/30 days,181
Pasquill-Gifford stability class,140
Watts/sq meter,73
Picocuries/cubic meter,61
Meters,60
Micrograms/cubic meter (20 C),59
Millimeters (rainfall),33
Milligrams/liter as CACO3,29
Ug/sq meter/hour,16
Percent hours with precip,11
Degrees Centigrade/100m,6
Nanograms/cubic meter (0 C),2
