address,count
"5888 MISSION BLVD., RUBIDOUX",30895
2052 LAUWILIWILI ST,29142
"1630 N MAIN ST, LOS ANGELES",28586
708 S. Mason St.,23639
"750 4TH ST, SPARKS, NV 89431",23631
10 ARKANSAS ST.,23517
897 BARRON AVE.,23499
2956-A TREAT BOULEVARD,23495
534 4TH ST.,23475
304 TUOLUMNE ST.,23430
"22ND & ALVERNON, TUCSON",23410
4700A SAN MATEO NE,23325
5551 BETHEL ISLAND RD,23320
1130 EASTWAY DRIVE,23302
"621 W. LAMBERT, LA HABRA",23243
3174 E. 78TH AVE.,23237
"803 N. LOREN AVE., AZUSA",23232
"924 N. GAREY AVE., POMONA",23215
1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,23186
LFC #1-LAS FLORES CANYON,23183
MILLER AUTO SHOP 1 MESSENGER ST,23114
"TRAILER,185 DINGENS STREET (near WEISS ST.)",23111
"18330 GAULT ST., RESEDA",23109
3847 W EARLL DR-WEST PHOENIX STATION,23103
"128 S 'H' ST, LOMPOC",23093
"213 S. Denning Ave, Winter Park, FL 32789",23087
S 18TH AND HAYES ST,23072
2105 BROADWAY,23066
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",23002
"24302 4TH ST., SAN BERNARDINO, CA.",22939
9525 1/2 Clinton Dr,22817
528 HENNEPIN AVENUE,22811
"814 14TH ST., MODESTO",22796
GEORGE ST TROOP AND CITY OF SCRANTON,22775
"FAIRFIELD, PFD, 5229 COURT B",22747
"752 S. WILSON AVE., PASADENA",22745
1179 MONROE  (GRAND RAPIDS),22701
"HAZELTON-HD, STOCKTON",22700
"864 NW 3rd Street, Miami, FL 33127",22598
"VA HOSPITAL, WEST LOS ANGELES",22573
2828 John F. Kennedy Boulevard,22550
14700 GODDARD (ALLEN PARK),22474
"908 N VILLA AVE, CLOVIS",22429
"200 E. BUENA VISTA, BARSTOW",22374
"DEL PASO-2701 AVALON DR, SACRAMENTO",22312
7 Broad Street,22124
1415 Hinton Street,22011
"96 STATE STREET, Rutland, Vermont",21956
"1250 PUNCHBOWL ST, HONOLULU",21894
1301 E. 9TH ST.,21825
1061-A Leesville Ave,21655
"301 A STATE STREET, RENO, NV 89502",21596
1585 MORSE RD.,21518
50 NORTH ILLINOIS STREET,21406
901 EAST CHICAGO AVE/ EAST CHICAGO POST OFFICE,21256
800 S San Marcial Street,21038
800 PATTERSON AVE.,21010
1088 WEST UNIVERSITY AVE.,20684
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",20680
"STS POWER PLANT, VANDENBERG AFB",20606
LIBERTY STREET,20570
2552 JEFFERSON AVE.,20559
250 Rim Rd,20531
HILL ST.,20319
"1237 S. BEVERLY , TUCSON",20314
"1605 MINERVA Ave JACKSONVILLE, FL. 32207",20299
2189 rosselle st,20103
12821 PINE BEND TRAIL,19902
2142 120TH STREET EAST,19862
"2850 MESA VERDE DR EAST, COSTA MESA",19777
1501 E. LYCOMING AVE.,19744
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",19686
"325 PATRICIAN DR, LEMMON VALLEY, NV 89506",19680
8443 MENTOR AVE.,19622
VERIZON PHONE CO.2055 L ST.  N.W.,19532
EASTMAN BLDG/166 N. 9TH ST,19418
420 MARKET,19001
EASTMAN ROSS N.ROBINSON,18786
1401 CORPORATION PARKWAY,18776
"13280 34TH STREET N., CLEARWATER (ULMERTON RD)",18729
CHARLER01 WASTE TREATMENT PLANT,18664
"FRANCIS SCHOOL, 64 BOURNE AVE",18600
"Oldtown Fire Station, 1100 Hillen Street",18591
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",18440
"600 E. VALLEY PKWY., ESCONDIDO",18433
"4706 E. DRUMMOND ST., FRESNO",18253
"380 N FAIRVIEW AVENUE, GOLETA",18167
2501 SUNRISE AVENUE,18161
305 GALLETTI WAY RENO,18087
"7002 MAGNOLIA AVE., RIVERSIDE",18073
416 ALABAMA AVENUE,18063
LINCOLN PARK ELEMENTARY SCH. (NW CORNER),18009
"4110 DE LUCCI LANE, RENO NV 89502",17992
WEIRTON - SUMMIT CIRCLE,17991
4514 1/2 Durant St,17988
3317 Ross Ave,17958
"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",17885
4401 1/2 Lang Rd,17873
"3535 EL CAMINO & WATT, SACRAMENTO",17869
"228 W. PALM AVE., BURBANK",17677
314 W. Superior St.,17651
CROTON ST & JEFFERSON ST.,17637
KENMORE SQ,17587
"414 GRANT ST, CITY-COUNTY BLDG, DOWNTOWN",17580
600 Dorsey Avenue,17554
ROCKVIEW LANE,17504
837 5TH ST.,17417
700 BROADWAY,17391
4510 1/2 Aldine Mail Rd,17315
16000 SOUTH DIXIE HIGHWAY,17281
344 Porter Drive,17187
690 W. HIGHWAY 24,17149
"EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.",17082
"120B N 4TH ST, SAN JOSE",17031
WEIRTON - OAK ST AND OWINGS ST (BETWEEN DEAD ENDS),17025
400 W RIVER ROAD,16962
"1735 BARDSTOWN RD, FIRE STATION #20",16955
WEIRTON - MARLAND HEIGHTS ELEMENTARY,16939
"3648 N. LONG BEACH BLVD., LONG BEACH",16869
"HEALTH DEPT., 1900 EAST 9TH ST.",16841
"310 S BROOKS, MESA",16830
321 S. FRANKLIN,16724
1820 S. 51ST AVE.,16706
"3425 N FIRST ST, FRESNO",16602
6TH & MONROE,16599
1005 N. UNIVERSITY,16598
SE LAFAYETTE/5824 SE LAFAYETTE,16548
E.ADAMS STREET AND ROUTE 81,16540
"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",16431
1505 S. FIRST AVENUE,16352
"468 MANZANITA AVE, CHICO",16217
NJ Turnpike Interchange 13 Toll Plaza,16144
" 900 S MINARET STREET, TURLOCK, CA",16099
1200 S MCDUFF AVE,16098
"2620 OST ,MORRIS PAINT STORE",16008
4530 N 17TH AVENUE,15948
"1210 N. 10TH ST.,JFK RECREATION CENTER",15911
867 E. LAUREL Dr,15891
"14306 PARK AVE., VICTORVILLE, CA",15844
440 MAIN ST.,15844
LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,15823
100 E. 5TH ST.,15807
"COURTHOUSE, 155 MORGAN STREET",15644
11 Washington Street,15635
425 E. STATE,15607
"420 34th Street N.E.,Washington, DC 20019",15592
301 Spring Garden Road,15567
5 West Main Street,15566
901 WEST FAIRVIEW AVE.,15546
"1350 SAN BERNARDINO RD., UPLAND",15542
130 Smith Street,15535
J Harold Tillman Hlt Ct 222 S Campbell S,15483
BALDORIOTY DE CASTRO AV.,15439
MERRIMACK ST,15400
"26081 VIA PERA, MISSION VIEJO, CA 92691",15318
177 S. BROADWAY,15293
10834 Ivanhoe (Ivanhoe Fire Station),15246
133 RIVER STREET,15185
"40733 CHAPEL WAY., FREMONT",15162
LANE COMM COLLEGE/1059 WILLAMETTE,15154
"MISSOURI STATE UNIVERSITY (MSU): Springfield, MO 65806",15126
"MT.PLEASANT HS, 1121 FOREST RD.",15120
HARRISON AVE,15097
"1413 S. CINCINNATI, TULSA, OK 74119",15064
