aqi,count
3,441740
5,411739
2,400334
6,363999
7,313048
8,263068
9,230923
11,207548
10,202283
1,180508
13,156000
14,126061
15,118928
16,103420
0,96710
17,89542
18,80480
19,66860
20,62567
22,56860
23,52468
24,45067
26,36813
25,36806
27,32914
28,28604
30,26597
31,22058
32,21386
33,19882
34,17969
35,16255
38,13660
36,13203
39,12247
40,10848
41,10294
42,8550
43,8245
44,7885
45,7117
47,6296
49,5412
50,5076
48,5027
51,4428
52,4131
53,3434
54,3420
55,3326
56,2974
57,2734
59,2388
60,2132
58,2109
61,1863
62,1836
63,1461
65,1453
64,1429
66,1295
67,1233
69,1084
70,1029
68,968
71,931
72,864
73,756
74,697
75,678
77,632
76,589
79,541
78,475
80,447
82,440
81,421
84,363
83,349
85,338
87,321
86,300
89,244
88,234
90,231
92,227
91,211
96,189
94,179
95,154
93,154
99,142
100,138
97,137
103,122
98,116
111,93
101,91
106,91
108,91
104,85
109,83
116,81
115,77
118,62
113,60
121,59
120,57
126,54
125,52
131,50
128,48
135,48
123,46
130,42
145,41
138,35
136,35
140,35
142,35
133,34
143,33
148,33
150,31
159,28
204,27
158,26
153,26
192,25
168,25
156,24
161,23
163,22
151,22
147,21
208,20
173,20
181,20
171,19
175,19
154,19
202,18
205,17
206,17
183,17
186,16
170,16
197,16
180,15
214,15
176,15
210,14
166,14
222,13
190,13
198,12
178,12
188,12
209,12
195,11
193,11
165,11
201,10
230,10
226,10
220,10
212,10
218,10
185,10
200,10
203,9
207,9
216,9
224,9
211,9
228,8
217,7
215,6
234,5
223,5
232,5
225,5
229,5
213,5
240,4
233,4
236,3
246,3
242,3
227,3
255,3
277,3
256,3
259,3
265,3
219,2
248,2
249,2
281,2
231,2
247,2
279,2
237,2
273,2
261,2
245,2
291,2
238,2
251,2
267,2
253,2
258,2
260,2
314,2
250,2
272,1
453,1
380,1
412,1
276,1
428,1
308,1
445,1
366,1
270,1
235,1
221,1
244,1
275,1
295,1
239,1
254,1
241,1
252,1
297,1
257,1
263,1
441,1
