city_name,count
Not in a city,477152
El Paso,135191
Phoenix,130727
New York,111098
Tucson,103535
Houston,90480
Albuquerque,78971
Philadelphia,78193
Jacksonville,76619
Denver,74861
Las Vegas,74645
Cleveland,74041
Detroit,71937
Memphis,70850
Reno,70367
Springfield,68248
Colorado Springs,67802
Charlotte,64899
Louisville,63007
Pittsburgh,62911
Boston,62358
Seattle,62034
San Diego,58561
Miami,58180
Kansas City,57975
Birmingham,55217
Milwaukee,52758
Portland,52016
Weirton,51955
Spokane,51817
Washington,51643
Sacramento,51643
Columbus,47496
Fresno,46861
St. Louis,43578
Rochester,42792
Omaha,42487
Los Angeles,41976
Akron,41782
Tijuana,40826
Winston-Salem,40568
Des Moines,40551
San Jose,40428
Richmond,39819
Nashville,39489
Wichita,39289
St. Paul,38517
Oakland,38381
Anchorage,38344
Elizabeth,38268
Minneapolis,38001
Dayton,37243
Ciudad-Juarez,36924
Lancaster,36702
Oklahoma City,36539
San Francisco,35897
Honolulu,35539
Burlington,35531
Tulsa,35297
Arlington,33770
Jackson,33246
Buffalo,31946
Cedar Rapids,31879
Norfolk,31851
Raleigh,31378
Hollywood,31321
Tampa,31218
Indianapolis (Remainder),31200
Salt Lake City,31155
Mexicali,30923
Baltimore,30906
Hartford,30902
Rubidoux,30895
Stockton,30772
Saint Petersburg,30170
Worcester,30001
Clearwater,29685
Calexico,29250
Cincinnati,29131
Bakersfield,28922
Dallas,28603
Fairbanks,28572
San Juan,28558
New Orleans,27792
Fort Worth,27760
Anaheim,27513
Fort Collins,26950
Provo,26820
Baton Rouge,26421
Laredo,25769
Davenport,25746
Eugene,25726
Fort Lauderdale,24894
Ogden,24563
Providence,23893
Indianapolis,23831
San Antonio,23708
Vandenberg Air Force Base,23700
Long Beach,23700
Sparks,23631
Redwood City,23499
Wilmington,23498
Concord,23495
San Rafael,23475
Vallejo,23430
West Los Angeles,23412
San Bernardino,23361
Bethel Island,23320
Santa Clarita,23253
La Habra,23243
Welby,23237
Azusa,23232
Pomona,23215
Capitan,23183
Johnstown,23114
Reseda,23109
Lompoc,23093
Winter Park,23087
Modesto,23076
Palm Springs,23002
Napa,22834
Scranton,22775
Fairfield,22747
Salinas,22746
Pasadena,22745
Grand Rapids,22701
Jersey City,22550
Lincoln,22535
Greeley,22490
Allen Park,22474
Pico Rivera,22438
Clovis,22429
Billings,22389
Barstow,22374
Evansville,22318
Arden-Arcade,22312
Rutland,21956
Canton,21868
Henderson,21812
Austin,21553
Erie,21495
Boise (corporate name Boise City),21443
Chicago,21411
New Haven,21265
East Chicago,21256
Bellevue,21040
Goleta,20998
Charleston,20991
Atlanta,20770
Medford,20453
Camden,20440
York,20319
Victorville,19933
Sunrise Manor,19930
Rosemount,19902
Inver Grove Heights (RR name Inver Grove),19862
Costa Mesa,19777
North Las Vegas,19734
Grand Junction,19720
Lemmon Valley-Golden Valley,19680
Mentor,19622
Bridgeport,19139
Las Cruces,18914
Kingsport,18786
Charleroi,18664
East Providence,18600
Escondido,18433
Fort Lee,18384
Riverside,18073
Deer Park,17988
Burbank,17677
Duluth,17651
New Castle,17637
Newark,17583
Essex,17554
Bristol,17504
Santa Rosa,17417
San Pablo,17263
Durham,17237
Brownsville,17187
Scottsdale,17133
Mesa,16830
Schiller Park,16818
Cicero,16706
Peoria,16598
Syracuse,16540
Alexandria,16431
Kalispell,16396
Maywood,16352
South Lake Tahoe,16199
Turlock,16099
Vancouver,16008
Manchester,15913
Niagara Falls,15859
Longmont,15844
Fort Wayne,15840
Albany,15823
Santa Barbara,15801
Sarasota,15652
Morristown,15635
Rockford,15607
Winslow (Township of),15567
Freehold,15566
Upland,15542
Perth Amboy,15535
Livonia,15504
Hampton,15423
Lowell,15400
Mission Viejo,15318
Hackensack,15185
Fremont,15162
Schenectady,15120
Great Falls,15051
North Little Rock,14953
Boulder,14818
Delaware City,14614
Stateline,14605
Chula Vista,14413
Cottonwood West,14338
El Cajon,14244
Santa Maria,14215
Lake Elsinore,14214
Livermore,14062
Roanoke,14018
East Saint Louis,13978
Pompano Beach,13871
Pittsburg,13813
Wilkes-Barre,13778
McLean,13751
Beaver Falls,13732
Lynwood,13710
Norristown,13628
Ashland,13581
Greenville,13548
Orlando,13396
El Centro,13340
Glendale,13056
Palm Beach,12942
Nashua,12920
Altoona,12876
St. Cloud,12873
Columbia,12726
Stamford,12647
Chandler,12638
Santa Fe,12471
Mira Loma,12393
South Valley,12338
Freemansburg,12231
Warren,12227
Arvada,12209
Chico,12182
Oak Park,12010
San Luis Obispo,11984
Reading,11893
Visalia,11647
Tacoma,11611
Norwood,11450
Fontana,11162
Eureka,11020
Tempe,11012
Valrico,10813
Yuba City,10637
Ukiah,10622
Lauderdale Lakes,10617
Beltsville,10577
Wheeling,10530
East Hartford,10519
Presque Isle,10500
Hawthorne,10352
Waco,10340
Harrisburg,10174
Little Rock,10155
Glendora,10077
Essex (Essex Center),10058
Grantsville,10038
Missoula,10035
Yakima,10013
Placerville,9903
Moore,9794
Steubenville,9707
Simi Valley,9677
Sonora,9669
Willits,9647
Lexington-Fayette (corporate name for Lexington),9646
Compton,9561
Waukesha,9508
Racine,9478
Calumet City (PU RR name Calumet Park (sta.)),9412
Roseville,9375
Northbrook,9356
Rosarito,9288
Greensboro,9266
Clarkston,9248
Fayetteville,9215
Allentown,9130
Knoxville,9072
Rio Rancho Estates,9022
Buckeye,8845
Kekoskee,8735
Lawton,8543
San Andreas,8480
Everett,8469
Paducah,8346
Carson City,8298
Nederland,8288
Covington,8262
New Paris,8241
Ladue,8193
Ferguson,8178
Cornwall,8154
St. Ann,8125
Rockwell,8119
Greensburg,8094
East Highland Park,8075
Farmington,7985
Fridley,7985
Londonderry,7972
Granite City,7935
Huntsville,7930
Dentsville (Dents),7838
Sioux Falls,7836
Peterborough (Peterboro),7823
Madison,7763
Newport News,7722
El Toro,7687
Cherry Tree,7581
East Meadow,7561
Holtsville,7550
Shenandoah,7500
Seven Corners,7495
Mingo Junction,7357
Underhill (Town of),7354
Groveton,7143
Middlesborough (corporate name for Middlesboro),7051
West Palm Beach,7024
Okolona,7024
Lynn,7022
Toledo,6899
