county_code,count
013,471260
003,436724
037,407340
031,400702
001,366442
019,233795
073,209632
067,189960
059,182786
163,181417
029,180730
071,160946
007,160210
011,159286
049,152800
061,149633
035,140121
141,138557
033,137652
025,131250
201,124075
083,122469
095,121156
101,120624
113,113946
005,113269
111,111638
063,108219
041,107662
017,105839
055,104107
079,101754
510,101746
119,100182
065,99668
081,93629
057,93496
077,92568
009,91444
039,89958
153,87678
099,85888
027,84264
002,81037
097,79230
109,78509
053,75724
103,75227
157,72233
021,67651
085,67593
069,66366
086,64806
123,61007
089,60398
051,58185
143,51895
189,47592
045,43951
023,43575
127,39915
173,39289
439,38458
020,38344
006,36924
075,36628
183,36311
047,34794
760,34468
125,33184
710,31851
093,31186
133,30865
107,30780
043,29162
090,28572
479,25769
145,24035
115,23795
121,23462
087,22574
209,22518
151,21868
453,21553
167,18958
137,17651
129,16079
650,15423
770,14018
245,13944
091,13628
015,12268
135,10457
117,10427
309,10340
159,9897
223,9652
700,7722
161,7532
197,3571
213,2540
181,1576
600,1566
139,1468
012,1257
191,1009
165,790
026,748
155,740
105,727
810,678
