date_local,count
1996-03-27,1058
1996-02-26,1057
1996-02-27,1056
1996-03-28,1056
1996-03-26,1056
1996-03-29,1055
1996-02-23,1054
1996-03-25,1054
1996-02-24,1053
1996-03-01,1053
1996-02-22,1052
1996-02-16,1051
1996-02-14,1051
1996-03-21,1051
1996-02-01,1051
1996-03-22,1050
1996-02-07,1050
1996-02-17,1049
1996-02-29,1049
1996-02-08,1049
1996-02-28,1049
1996-03-20,1049
1996-02-13,1048
1996-02-02,1048
1996-03-24,1048
1996-02-20,1048
1996-03-23,1047
1996-02-18,1046
1996-02-25,1046
1996-02-19,1045
1996-03-05,1045
1996-03-15,1044
1995-11-17,1044
1995-12-22,1044
1995-12-21,1044
1996-01-26,1044
1996-01-31,1044
1996-02-06,1044
1995-11-03,1044
1996-02-21,1044
1996-02-15,1044
1996-03-08,1043
1996-03-02,1043
1995-11-01,1043
1996-01-24,1043
1995-12-08,1043
1996-01-25,1043
1996-02-09,1042
1996-02-10,1042
1995-12-20,1042
1996-03-19,1042
1996-03-14,1042
1995-11-21,1042
1996-03-06,1042
1995-12-27,1042
1996-03-16,1042
1996-03-13,1042
1995-12-07,1042
1996-03-11,1042
1996-03-17,1042
1996-01-23,1042
1996-02-12,1042
1996-01-30,1041
1996-01-29,1041
1995-12-01,1041
1995-12-28,1041
1996-03-04,1040
1996-02-11,1040
1996-01-27,1040
1996-01-04,1040
1996-03-09,1040
1996-01-12,1040
1996-01-03,1040
1996-03-10,1040
1995-11-09,1040
1995-12-05,1040
1995-11-29,1040
1995-11-02,1040
1995-12-06,1040
1995-11-22,1040
1996-03-18,1040
1995-11-07,1040
1995-11-28,1040
1996-01-11,1040
1996-03-12,1039
1995-12-19,1039
1996-03-07,1039
1996-01-16,1039
1995-11-18,1038
1995-12-15,1038
1995-11-20,1038
1997-02-25,1038
1996-01-28,1038
1995-12-29,1038
1996-02-05,1038
1997-02-26,1038
1995-11-08,1038
1996-01-17,1038
1995-12-02,1038
1995-11-27,1038
1996-01-15,1038
1996-01-02,1038
1997-02-28,1037
1996-01-09,1037
1996-03-03,1037
1995-11-30,1037
1995-11-16,1036
1996-01-10,1036
1996-01-13,1036
1995-12-04,1036
1995-11-24,1036
1995-11-06,1036
1995-11-19,1036
1995-12-14,1036
1995-12-30,1036
1995-12-23,1036
1997-03-05,1036
1997-02-19,1035
1997-02-27,1034
1994-01-03,1034
1995-02-09,1034
1995-11-23,1034
1996-01-01,1034
1995-11-10,1034
1995-11-05,1034
1995-11-04,1034
1996-01-18,1034
1996-01-14,1034
1995-12-24,1034
1995-02-08,1034
1996-02-03,1034
1996-01-22,1034
1995-12-18,1034
1995-11-25,1034
1997-03-07,1034
1997-03-27,1034
1997-02-07,1034
1995-12-11,1033
1995-11-14,1033
1995-12-13,1033
1995-11-13,1033
1997-03-06,1033
1995-02-16,1033
1995-02-13,1033
1997-02-24,1033
1995-02-17,1032
1995-12-16,1032
1995-12-26,1032
1997-03-14,1032
1996-01-08,1032
1997-03-01,1032
1995-12-09,1032
1997-03-04,1032
1995-02-10,1032
1995-11-26,1032
1995-02-07,1032
1996-02-04,1032
1997-03-03,1032
1994-01-04,1031
1997-03-28,1031
1997-02-06,1031
1995-02-28,1031
1995-12-12,1031
1997-02-20,1031
1997-02-21,1030
1995-12-25,1030
1995-12-31,1030
1997-03-13,1030
1993-12-22,1030
1997-03-30,1030
1995-12-03,1030
1995-02-03,1029
1993-12-17,1029
1997-03-02,1029
1995-02-23,1029
1997-02-08,1029
1993-12-29,1029
1995-02-15,1029
1997-02-03,1029
1997-03-29,1029
1997-03-26,1029
1993-12-30,1029
1995-11-11,1029
1993-12-20,1028
1996-01-06,1028
1997-01-29,1028
1997-01-31,1028
1994-01-05,1028
1995-03-25,1028
1995-01-24,1028
1995-01-23,1028
1997-03-11,1028
1994-01-06,1028
1997-03-12,1028
1995-01-20,1028
1995-03-15,1028
1993-12-21,1028
1995-02-14,1028
1996-03-30,1028
1997-02-01,1028
1997-01-17,1028
1995-02-27,1027
1997-02-11,1027
1997-03-08,1027
1997-01-30,1027
1995-01-30,1027
1995-02-04,1027
1995-01-25,1027
1995-11-15,1027
1997-02-13,1027
1996-01-19,1027
1997-02-05,1027
1995-02-21,1027
1997-02-15,1026
1997-02-22,1026
1995-01-31,1026
1997-02-18,1026
1995-03-13,1026
1997-02-10,1026
1993-12-07,1026
1997-02-12,1026
1998-11-04,1026
1995-03-14,1026
1997-02-14,1026
1996-01-05,1026
1997-02-23,1026
1995-03-24,1026
1993-12-15,1026
1995-02-06,1026
1995-03-10,1026
1995-02-01,1026
1994-12-08,1026
1993-11-05,1026
1997-03-10,1025
1995-12-10,1025
1995-03-28,1025
1994-01-01,1025
1997-01-10,1025
1995-03-21,1025
1995-02-02,1025
1995-02-22,1025
1997-01-28,1025
1996-01-07,1025
1995-02-18,1025
1994-02-03,1025
1997-03-18,1025
1995-02-24,1025
1995-01-26,1024
1995-03-12,1024
1994-02-04,1024
1997-02-09,1024
1994-02-10,1024
1994-02-09,1024
1993-12-14,1024
1997-02-04,1024
1997-03-21,1024
1995-02-05,1024
1997-03-17,1024
1994-12-06,1024
1997-01-09,1024
1995-03-27,1024
1993-12-18,1024
1995-01-22,1024
1993-11-18,1024
1995-03-16,1024
1997-01-14,1024
1994-02-08,1024
1992-12-18,1024
1993-12-08,1024
1994-01-10,1024
1995-03-11,1024
1996-12-12,1024
1996-12-05,1024
1994-12-27,1024
1995-02-11,1024
1994-01-07,1024
1995-12-17,1024
1995-03-08,1024
1993-12-31,1024
1995-03-29,1024
1997-01-15,1024
1995-01-21,1024
1995-03-09,1024
1993-12-01,1024
1998-11-19,1024
1993-11-03,1023
1993-01-29,1023
1995-03-30,1023
1995-02-26,1023
1994-01-02,1023
1995-01-27,1023
1993-12-16,1023
1995-01-18,1023
1995-02-25,1023
1997-03-09,1023
1995-01-17,1023
1995-01-19,1023
1995-03-17,1023
1995-03-01,1023
1993-11-04,1023
1998-11-16,1022
1992-12-19,1022
1997-03-22,1022
1994-01-26,1022
1994-02-18,1022
1996-12-13,1022
1994-03-11,1022
1995-11-12,1022
1996-12-03,1022
1996-01-20,1022
1998-11-02,1022
1997-03-20,1022
1997-01-18,1022
1997-01-27,1022
1994-01-28,1022
1997-01-16,1022
1997-02-17,1022
1994-02-15,1022
1998-11-06,1022
1995-10-31,1022
1994-12-09,1022
1998-11-05,1022
1994-02-16,1022
1996-04-01,1022
1994-12-05,1022
1997-03-31,1022
1993-12-06,1022
1995-03-20,1022
1993-12-23,1022
1994-03-14,1021
1994-02-11,1021
1995-01-28,1021
1998-11-20,1021
1994-03-10,1021
1998-11-01,1021
1992-11-12,1021
1992-12-17,1021
1995-03-07,1021
1998-11-03,1021
1994-12-07,1021
1995-03-26,1021
1997-02-02,1021
1995-02-19,1021
1995-03-22,1021
1994-01-11,1021
1992-12-10,1021
1997-12-24,1020
1998-03-17,1020
1992-10-23,1020
1994-01-08,1020
1998-11-14,1020
1992-10-20,1020
1995-01-03,1020
1997-01-23,1020
1993-03-18,1020
1994-02-01,1020
1994-02-19,1020
1993-11-06,1020
1995-01-13,1020
1994-01-27,1020
1996-01-21,1020
1995-03-18,1020
1997-02-16,1020
1993-11-19,1020
1992-11-05,1020
1992-10-24,1020
1994-12-17,1020
1995-03-31,1020
1993-12-13,1020
1998-02-19,1020
1995-03-23,1020
1994-03-12,1020
1995-03-03,1020
1994-02-02,1020
1994-02-12,1020
1993-01-31,1020
1995-03-02,1020
