date_of_last_change,count
2021-11-09,4385660
2021-11-08,3642453
2021-10-31,147766
2021-11-01,106597
2021-11-03,92616
2021-11-02,88129
2021-11-05,77404
2021-11-04,66741
2021-11-07,65648
2021-11-06,60456
2021-11-18,13905
2022-04-18,13624
2022-03-16,12902
2021-10-30,9167
2022-03-14,9043
2022-04-06,8600
2022-02-01,6998
2022-03-18,6906
2022-03-09,6503
2022-03-11,6407
2022-03-17,5782
2022-01-25,5677
2022-02-16,5619
2022-02-21,5529
2022-02-23,4995
2022-04-08,4834
2022-03-02,4624
2022-03-25,4488
2022-02-15,4483
2022-04-20,4341
2022-03-15,4265
2022-04-30,4044
2022-02-28,3617
2022-01-27,3530
2022-02-10,3517
2022-03-24,3513
2022-02-04,3472
2022-03-31,3247
2022-06-01,3031
2022-05-27,2925
2022-05-02,2911
2022-01-31,2888
2022-05-20,2862
2022-02-14,2839
2022-05-31,2569
2022-01-14,2188
2022-03-03,2171
2022-01-04,2170
2022-03-10,2112
2022-04-26,2103
2022-03-29,2101
2022-05-25,1980
2022-04-13,1933
2023-04-25,1782
2022-05-23,1677
2022-04-25,1638
2022-03-21,1619
2022-02-18,1458
2022-03-01,1457
2022-03-22,1448
2022-01-10,1444
2022-04-05,1441
2022-04-28,1433
2022-02-24,1428
2022-03-28,1401
2022-04-29,1376
2022-01-28,1371
2022-02-25,1363
2022-01-13,1331
2022-05-03,1325
2022-05-06,1314
2023-04-17,1247
2022-05-24,1244
2023-05-03,1240
2022-04-04,1202
2022-03-30,1156
2022-04-12,1078
2022-05-12,1010
2022-04-27,1006
2022-04-21,957
2022-03-23,953
2023-05-11,823
2021-12-14,820
2022-05-04,792
2023-04-26,778
2022-01-24,730
2022-03-04,730
2022-01-03,730
2022-01-21,725
2022-03-08,720
2022-05-17,719
2023-04-28,717
2023-05-02,714
2022-05-26,705
2022-04-07,702
2022-01-11,698
2022-04-01,652
2022-05-19,636
2023-04-12,605
2022-03-07,596
2022-05-05,564
2023-05-05,552
2023-05-04,531
2022-05-18,482
2022-04-19,442
2022-05-16,428
2022-05-10,406
2023-05-09,406
2023-05-10,362
2023-04-14,362
2023-05-01,362
2023-04-04,362
2022-02-09,336
2023-04-24,315
2023-04-27,314
2022-05-11,271
2023-03-21,252
2023-04-20,182
2022-04-14,181
2023-04-21,165
2023-05-08,131
2022-05-09,127
2022-05-13,63
