latitude,count
33.99958,30895
21.323745,29142
34.06659,28586
40.57747,23639
39.540917,23631
37.765946,23517
37.482934,23499
37.936013,23495
37.97231,23475
38.102507,23430
32.20739,23410
35.1343,23325
38.006311,23320
35.2401,23302
33.92513,23243
39.838119,23237
34.1365,23232
34.06703,23215
33.45797,23186
34.48974,23183
40.309722,23114
42.876907,23111
34.19925,23109
33.48378,23103
34.63782,23093
28.596389,23087
38.8577,23072
39.751184,23066
33.85275,23002
34.106678,22939
29.733726,22817
44.980995,22811
37.642165,22796
41.442778,22775
33.485556,22747
34.1326,22745
42.984173,22701
37.950741,22700
25.798709,22598
34.05111,22573
40.731645,22550
42.22862,22474
36.819449,22429
34.89398,22374
38.613779,22312
40.662435,22124
32.820061,22011
43.608056,21956
21.30758,21894
41.504605,21825
30.461981,21655
39.525083,21596
40.060124,21518
39.768056,21406
41.629073,21256
31.765685,21038
41.106486,21010
44.9558,20684
38.71209,20680
34.5959,20606
42.108992,20570
38.310942,20559
31.768286,20531
39.965278,20319
32.204411,20314
30.309119,20299
30.320507,20103
44.76323,19902
44.77553,19862
33.67464,19777
40.008889,19744
32.67618,19686
39.645264,19680
41.66693,19622
38.903889,19532
43.616379,19418
40.800717,19001
36.534804,18786
36.06597,18776
27.892801,18729
40.146667,18664
41.841039,18600
39.297733,18591
36.841592,18440
33.127769,18433
36.705474,18253
34.44551,18167
36.163962,18161
39.532004,18087
33.94603,18073
35.151194,18063
26.128611,18009
39.469219,17992
40.427372,17991
29.670025,17988
32.80581,17958
29.834167,17873
38.609905,17869
34.17605,17677
46.78362,17651
40.995848,17637
42.348873,17587
40.438359,17580
39.310833,17554
40.107222,17504
38.443503,17417
36.159728,17391
29.901036,17315
25.622049,17281
25.892518,17187
38.830895,17149
33.529444,17082
37.339666,17031
40.421539,17025
32.29515,16962
38.229,16955
40.394651,16939
33.82376,16869
37.702066,16841
33.41018,16830
41.877682,16724
41.855243,16706
36.781333,16602
39.799309,16599
40.700072,16598
45.496641,16548
43.04257,16540
38.810403,16431
41.872117,16352
39.757371,16217
40.64144,16144
37.488317,16099
30.30523,16098
45.63845,16008
40.812591,16008
33.503833,15948
47.653781,15929
39.117219,15911
36.694261,15891
40.166586,15844
34.510961,15844
42.68075,15823
39.101546,15807
41.769167,15644
40.797342,15635
42.267674,15607
38.895572,15592
39.68425,15567
40.259895,15566
39.787222,15546
34.10374,15542
40.508764,15535
31.757654,15483
18.449814,15439
42.645771,15400
33.63003,15318
41.080266,15293
31.785769,15246
40.882373,15185
37.535833,15162
44.047896,15154
37.199541,15126
42.79901,15120
42.3295,15097
36.141697,15064
39.739444,14976
34.38344,14965
34.756189,14953
40.73614,14834
33.83062,14739
27.517456,14708
47.568236,14705
40.253611,14694
25.768155,14673
37.686403,14667
39.57768,14614
37.011894,14499
33.49462,14499
40.078062,14471
32.631242,14413
34.669739,14405
40.646667,14338
41.219722,14254
34.942872,14215
33.67649,14214
33.46093,14150
32.222058,14142
33.876469,14116
41.441532,14058
41.07445,14047
37.348497,14005
38.612034,13978
35.10728,13965
36.191251,13908
26.217582,13871
33.565278,13841
38.029258,13813
40.046667,13769
38.9326,13751
33.56031,13745
40.747796,13732
26.001202,13722
33.92899,13710
32.552164,13681
41.49984,13650
40.112222,13628
44.4762,13624
33.47968,13607
37.9604,13412
39.923042,13371
32.79222,13340
29.426944,13339
44.37705,13274
31.689722,13274
40.736389,13196
32.717265,13179
31.746775,13122
30.354944,13110
27.793082,13091
33.57453,13056
35.507203,13033
38.20808,13014
32.0475,12995
27.785866,12992
28.542224,12980
35.125556,12946
26.693399,12942
42.764532,12920
35.856111,12901
40.535278,12876
42.263955,12850
40.854583,12829
40.75912,12789
39.92002,12788
35.2022,12749
43.14618,12678
40.443367,12674
41.055833,12647
36.176445,12636
33.6878,12625
41.306758,12561
41.823711,12557
39.944651,12528
33.95507,12491
35.666142,12471
61.205861,12459
37.13678,12388
39.738578,12355
35.01708,12338
39.751761,12336
27.33588,12287
45.561234,12255
40.628056,12231
42.51334,12227
32.525058,12213
39.800333,12209
42.357808,12126
42.14175,12111
32.281483,12102
34.838814,12082
40.695783,12039
36.142957,12027
42.463063,12010
38.656429,12009
38.85054,11996
41.622767,11980
39.748163,11927
41.584156,11925
47.669336,11890
37.539591,11885
47.611667,11817
35.0631,11765
38.8941,11752
41.250278,11709
36.174415,11669
37.784,11649
41.980557,11647
36.332179,11647
47.248988,11611
25.982592,11598
35.043492,11556
43.092789,11486
35.283864,11460
40.445577,11458
39.160058,11450
31.758532,11450
37.7986,11396
38.56844,11313
34.01029,11294
29.954093,11287
29.993519,11283
41.530011,11247
27.987798,11231
32.709224,11227
40.8679,11208
34.10002,11162
34.01407,11144
40.010668,11112
42.326516,11051
47.661764,11018
41.3014,11002
27.501826,10998
36.850426,10959
28.047517,10956
41.259166,10946
33.40314,10928
35.63348,10924
39.064289,10910
41.965193,10899
39.75791,10892
36.853481,10892
39.399837,10872
45.519007,10869
37.5626,10829
27.96565,10813
39.957335,10805
39.758115,10805
40.77678,10726
41.259175,10670
21.283503,10659
39.138773,10637
35.385574,10628
39.14566,10622
26.172029,10617
33.29896,10579
39.055277,10577
32.795894,10572
44.04564,10572
36.204902,10568
40.063903,10530
41.784722,10519
37.743065,10518
46.696431,10500
42.423063,10498
32.498392,10457
32.500058,10427
43.165512,10420
43.161062,10361
33.92288,10352
31.653086,10340
43.08218,10326
31.73561,10318
31.893913,10302
41.462831,10276
41.603159,10246
40.7455,10219
33.99636,10104
34.14435,10077
41.177041,10070
32.296952,10061
0.0,10058
39.70595,10038
36.85555,10000
38.342606,9944
40.81976,9936
38.63116,9929
38.725282,9903
29.752778,9839
42.267315,9799
35.320105,9794
42.09142,9777
34.276316,9677
37.98178,9669
36.153982,9665
33.9285,9652
39.402942,9647
31.763076,9624
44.657014,9564
32.677833,9564
33.901389,9561
34.25239,9541
46.848813,9538
25.68333,9529
43.003901,9508
37.814781,9503
42.713897,9478
36.168389,9462
42.10065,9439
42.341237,9402
47.708987,9384
38.74643,9375
42.139996,9356
32.343396,9288
35.102652,9282
43.660246,9272
36.088072,9266
35.229309,9261
33.789272,9248
42.377833,9240
35.029403,9215
39.789486,9214
38.251182,9170
40.598611,9130
40.720989,9124
32.629225,9105
41.7426,9094
43.600699,9072
35.962305,9072
41.170833,9069
32.65637,9050
40.41637,9036
44.955799,8972
47.658502,8970
37.13179,8935
37.97768,8910
42.359541,8900
18.445223,8893
35.248754,8881
32.791194,8874
36.144416,8861
45.518973,8855
33.36985,8845
42.886447,8835
39.07713,8810
43.46611,8735
64.844847,8700
31.7122,8678
39.789483,8671
41.631424,8650
40.741111,8614
40.86585,8594
34.626418,8543
40.720622,8501
38.84666,8499
42.994251,8480
38.20185,8480
34.689985,8438
38.921382,8423
40.46542,8417
40.423432,8372
37.858932,8355
35.356615,8340
34.427775,8315
41.247486,8310
40.024153,8302
39.173056,8298
48.29786,8297
37.103733,8297
29.979958,8288
41.492117,8271
32.615335,8241
39.83562,8241
34.387498,8225
38.650329,8193
18.401892,8191
38.766158,8178
32.701492,8164
41.821342,8154
38.944979,8122
35.551868,8119
39.810833,8116
47.496347,8100
40.304694,8094
37.55652,8075
38.9605,8045
29.751111,8040
42.981959,8036
47.632322,8031
38.61366,7995
35.614131,7992
