local_site_name,count
Rubidoux,30895
Kapolei,29142
Los Angeles-North Main Street,28586
Pomona,26519
COOK COUNTY TRAILER,25356
Fort Collins - CSU - S. Mason,23639
Sparks,23631
Hawthorne,23548
San Francisco,23517
Redwood City,23499
Concord,23495
San Rafael,23475
Vallejo,23430
22ND & ALVERNON,23410
DEL NORTE HIGH SCHOOL,23325
Bethel Island,23320
Garinger High School,23302
La Habra,23243
Welby,23237
Azusa,23232
CENTRAL PHOENIX,23186
Los Flores Canyon #1,23183
BUFFALO,23111
Reseda,23109
WEST PHOENIX,23103
Lompoc H Street,23093
WINTER PARK,23087
Aurora Hills Visitors Center,23072
DENVER - CAMP,23066
Palm Springs,23002
San Bernardino,22939
Clinton,22817
Hennepin Center for the Arts,22811
Modesto-14th Street,22796
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,22775
Fairfield,22747
Pasadena,22745
GR-MONROE,22701
Stockton-Hazelton,22700
Lab Annex,22598
West Los Angeles,22573
Jersey City,22550
Allen Park,22474
Clovis-Villa,22429
Barstow,22374
Sacramento-Del Paso Manor,22312
Elizabeth,22124
Dallas Hinton,22011
State of Vermont District Court Parking Lot,21956
Honolulu,21894
Galleria,21825
Capitol,21655
Reno3,21596
Morse Rd,21518
Indpls.- Illinois St.,21406
East Chicago- Post Office,21256
El Paso Chamizal,21038
Patterson Park,21010
Lexington Avenue,20684
North Highlands-Blackfoot,20680
VAFB South Base,20606
LIBERTY ST PARKING LOT,20570
Napa,20559
El Paso UTEP,20531
A421330008LAT/LON POINT AT CORNER OF TRAILER,20319
22ND & CRAYCROFT,20314
Southside Playground,20299
Rosselle,20103
UTM COORDINATES = INLET PROBE LOCATION OVER SIDEWALK,20004
Flint Hills Refinery 420,19902
Flint Hills Refinery 423,19862
Costa Mesa,19777
Air Management Services Laboratory (AMS LAB),19744
Calexico-Ethel Street,19686
Lemmon Valley,19680
Mentor,19622
Verizon,19532
Boise - Eastman Garage,19418
Canton,19001
Peters Creek,18776
Gateway,18729
 FRANCIS SCHOOL East Providence,18600
Oldtown,18591
Fresno-Sky Park,18440
Escondido,18433
Fresno-Drummond,18253
Goleta,18167
Sunrise Acres,18161
Galletti,18087
Riverside (Magnolia),18073
Alabama Ave. Station,18063
Lincoln Park Elementary,18009
South Reno,17992
Houston Deer Park #2,17988
Near Road,17962
Fort Worth Northwest,17958
Indpls.- E. 16th St.,17885
Lang,17873
Burbank,17677
Torrey Building,17651
BOSTON KENMORE SQ,17587
Downtown (formerly referred to as the Courthouse),17580
Essex,17554
A420170012LAT/LONG POINT IS OF SAMPLING INLET,17504
Santa Rosa - 5th St,17417
Houston Aldine,17315
Coral Reef,17281
Brownsville,17187
COLORADO SPRINGS - HIGHWAY 24,17149
San Jose - 4th St.,17031
CHILDREN'S PARK NCore,16962
Fire Station #20,16955
Long Beach (North),16869
WICHITA HD,16841
MESA,16830
CTA BUILDING,16724
"3425 N FIRST ST, FRESNO",16602
FEDERAL BUILDING,16599
COMMERCIAL BUILDING,16598
Portland - SE Lafayette,16548
SYRACUSE COMS,16540
Alexandria Health Dept.,16431
COM ED MAINTENANCE AREA,16352
Chico-Manzanita Ave.,16217
Elizabeth Lab,16144
Turlock,16099
JLG SUPERSITE,15948
JFK,15911
Salinas 3,15891
NIAGARA FALLS,15859
Victorville-Park Avenue,15844
LONGMONT - MAIN,15844
LOUDONVILLE,15823
POST OFFICE,15807
MORRISTOWN,15635
CITY HALL,15607
RIVER TERRACE,15592
Ancora State Hospital,15567
FREEHOLD,15566
FROC,15546
Upland,15542
PERTH AMBOY,15535
Tillman,15483
San Juan,15439
Mission Viejo,15318
WORKSHOP (MORLEY HEALTH BLDG.),15293
Ivanhoe,15246
HACKENSACK,15185
Fremont - Chapel Way,15162
MSU,15126
SCHENECTADY,15120
DUDLEY SQUARE ROXBURY,15097
CINCINNATI,15064
MLK  CORNER OF MLK BLVD AND JUSTISON ST,14976
Santa Clarita,14965
PARR,14953
QUEENS COLLEGE 2,14834
Anaheim,14739
Laredo Vidaurri,14708
SEATTLE - BEACON HILL,14705
North Provo,14694
DOUGLAS & MAIN,14667
Route 9 Delaware City,14614
Davenport,14499
WEST INDIAN SCHOOL RD,14499
BURLINGTON,14471
Chula Vista,14413
Lancaster-Division Street,14405
Cottonwood,14338
UTM COORDINATES = ROOF OF BLDG. DIRECTLY ABOVE INLET PROBE,14254
Santa Maria,14215
Lake Elsinore,14214
GREENWOOD,14150
DOWNTOWN,14142
MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,14116
PEARL_RD.,14058
SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC,14047
San Jose - Jackson,14005
IEPA-RAPS TRAILER,13978
UPTOWN ZUNI PARK,13965
JD Smith,13908
SPOKANE - 3RD ST,13845
Sloss Shuttlesworth,13841
Pittsburg - W 10th St.,13813
A420710007LAT/LON POINT AT CORNER OF TRAILER,13769
NORTH PHOENIX,13745
Lynwood,13710
Otay Mesa,13681
TRANS OHIO BLDG.,13650
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,13628
City of Burlington Parking Lot,13624
SOUTH SCOTTSDALE,13607
San Pablo,13412
CAMDEN LAB,13371
El Centro-9th Street,13340
SAN ANTONIO DOWNTOWN  CAMS 27,13339
SE OF EL CID & PARQUE INDUSTRIAL INTERSECTION,13274
MCFARLAND HILL Air Pollutant Research Site,13274
Ascarate Park SE,13122
Austin North Hills Drive,13110
IEPA TRAILER,13064
GLENDALE,13056
CHERRY & GLENN,12995
Azalea Park,12992
Orange Ave.,12980
Belvedere Road,12942
Millbrook School,12901
WORCESTER SUMMER STREET,12850
FORT LEE,12829
PS 59,12789
NARSTO SITE ARENDTSVILLE,12788
WESTSIDE CORRALES,12749
ROCHESTER 2,12678
Flag Plaza,12674
South DeKalb,12625
COMMUNITY HEALTH SERVICES (CHS),12528
LAX Hastings,12491
GARDEN/TRINITY CHRISTIAN CHURCH,12459
UTE 1,12388
DENVER - NJH-E,12355
SOUTH VALLEY,12338
DENVER - CARRIAGE,12336
St. Cloud City Hall,12255
LAT/LON POINT IS CENTER OF TRAILER,12231
WARREN - FIRE STATION 29900 HOOVER AT COMMON,12227
CROSS STREETS CAL DEL TECNOLOGICO & CHAPULTEPEC,12213
ARVADA,12209
GREENVILLE HEALTH DEPT,12082
BROOKLYN TRANSIT,12039
Winterwood,12027
Oak Park,12010
Blair Street,12009
I-25 & UINTAH,11996
DENVER - FIREHOUSE #6,11927
SOUTH EAST HEIGHTS,11765
A420792100LAT/LON POINT IS AT CORNER OF TRAILER,11709
San Francisco - Ellis St.,11649
Visalia-Church,11647
APPLETON AVE,11486
San Luis Obispo-Marsh St.,11460
LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,11458
NORWOOD NOX/COX,11450
El Paso Sun Metro,11450
Oakland - Alice,11396
Sacramento-1309 T Street,11313
Pico Rivera #2,11294
New Orleans / City Park,11283
"DAVENPORT, JEFFERSON SCH.",11247
San Diego-12th Ave,11227
PFIZER LAB SITE,11208
Fontana,11162
"AT UABC, CORNER OF CALZADA BENITO JUAREZ & AVENIDA NORMAL, MEXICALI",11067
Criscuolo Park-New Haven,11002
Laredo Bridge,10998
NORFOLK STATE UNIVERSITY,10959
MCMULLEN BOOTH RD CLEARWATER,10956
SOUTH PHOENIX,10928
Great Smoky Mountains NP - Look Rock,10924
GRAND JUNCTION - PITKIN,10910
Reibold,10892
Toll,10872
Science Museum of Virginia,10829
SYDNEY,10813
Jacobs,10726
Yuba City,10637
Bakersfield-Golden / M St,10628
Ukiah-Gobbi Street,10622
WEST CHANDLER,10579
HU-Beltsville,10577
ASHE STREET,10572
NORTH TULSA - FIRE STATION#24,10568
McAuliffe Park,10519
Oakland,10518
MICMAC HEALTH DEPARTMENT,10500
SCHOOLCRAFT COLLEGE,10498
ON STATE SCHOOL #44,10457
TRAILER ON CAMPUS OF INDUSTRIAL TECH HIGH SCHOOL,10427
Waco Mazanec,10340
SITE 20/30 CLUB SPECIAL PURPOSE MONITORING NETWORK,10318
Skyline Park,10302
CARPENTER,10246
34TH STREET,10219
Mira Loma (Van Buren),10104
Glendora,10077
Piney Run,10038
NOAA,10000
Jackson-Clinton Road,9944
CCNY,9936
Placerville-Gold Nugget Way,9903
Houston Texas Avenue,9839
MOORE WATER TOWER,9794
PINNACLE STATE PARK,9777
Simi Valley-Cochran Street,9677
Sonora-Barretta Street,9669
"Yorkville, King Farm",9652
Willits-899 South Main Street,9647
NORTH OF CAMPBELL & FRANKLIN INTERSECTION,9624
West Yellowstone Park Ent #2,9564
PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96,9564
Compton,9561
El Rio-Rio Mesa School #2,9541
Msla Malfunction Junction,9538
KENDALL,9529
"WAUKESHA, CARROLL COLLEGE",9508
Oakland West,9503
RACINE,9478
Roseville-N Sunrise Ave,9375
NORTHBROOK WATER PLANT,9356
EAST END OF PEDRO MORENO SCHOOL IN ROSARITO,9288
UPTOWN SAN PEDRO,9282
PDO - Portland Deering Oaks,9272
A420770100LAT/LON POINT IS OF SAMPLING INLET,9130
Newark Firehouse,9124
CAPITOL COMMUNITY TECHNICAL COLLEGE,9094
Meridian - St. Luke's,9072
Roosevelt School-Bridgeport,9069
Arlington Municipal Airport,9050
University and Snelling,8972
Mammoth Cave NP - Houchin Meadow,8935
Evansville- Lloyd,8910
El Cajon,8874
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),8861
BUCKEYE,8845
BUFFALO DOWNTOWN,8835
STOCKER STADIUM,8810
HORICON WILDLIFE AREA,8735
SE OF TOMAS FERNANDEZ & AVENIDA DE LA INDUSTRIA INTERSECTION,8678
UTM POINT = INLET PROBE LOCATION OVER SIDEWALK,8614
BOTANICAL GARDEN,8594
USPHS LAWTON INDIAN HOSPITAL,8543
CANAL STREET,8501
EASTERN BANK OF MONUMENT CREEK DRAINAGE ON COLORADO COLLEGE CAMPUS.,8499
San Andreas-Gold Strike Road,8480
Lancaster-Ponderosa St.,8438
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,8423
Lawrenceville,8417
Greeley - West Annex Bldg,8372
Bakersfield-California,8340
Santa Barbara,8315
4102 Woolworth Ave. on Healthcenter Warehouse,8310
SOUTH OF YMCA BUILDING IN PARKING LOT,8302
Carson City-NW Corner of Equipment Yard,8298
NASA Langley Research Center,8297
CHEEKA PEAK,8297
Nederland 17th Street,8288
"AT THE INSTITUTO TECNOLOGICO DE MEXICALI, MEXICALI, BCN",8241
Preble NCore,8241
Ladue,8193
GT Craig NCore,8176
San Diego - Beardsley Street,8164
Mohawk Mt-Cornwall,8154
South Lake Tahoe-Sandy Way,8122
Rockwell,8119
Indpls- Washington Park/  in parking lot next to police station,8116
MID-BLOCK ON SOUTH SIDE OF 10TH AVE S; BETWEEN 7TH & 8TH STREETS,8100
