longitude,count
-117.41601,30895
-158.088613,29142
-118.22688,28586
-105.07892,23639
-119.746761,23631
-122.399044,23517
-122.20337,23499
-122.026154,23495
-122.520004,23475
-122.237976,23430
-110.910619,23410
-106.5852,23325
-121.641918,23320
-80.785683,23302
-117.95264,23243
-104.94984,23237
-117.92391,23232
-117.7514,23215
-112.04659,23186
-120.04692,23183
-78.915,23114
-78.809526,23111
-118.53276,23109
-112.14256,23103
-120.4575,23093
-81.3625,23087
-77.05922,23072
-104.987625,23066
-116.54101,23002
-117.274063,22939
-95.257593,22817
-93.273719,22811
-120.994212,22796
-75.623056,22775
-86.915,22747
-118.1272,22745
-85.671339,22701
-121.268523,22700
-80.210048,22598
-118.45636,22573
-74.066308,22550
-83.2082,22474
-119.716433,22429
-117.024804,22374
-121.368014,22312
-74.214854,22124
-96.860117,22011
-72.982778,21956
-157.85542,21894
-81.69045,21825
-91.179219,21655
-96.028628,21616
-119.807717,21596
-82.976857,21518
-86.16,21406
-87.461554,21256
-106.455227,21038
-81.503547,21010
-93.14585,20684
-121.38109,20680
-120.631315,20606
-72.590803,20570
-122.296189,20559
-106.501243,20531
-76.699444,20319
-110.878067,20314
-81.652341,20299
-81.68762,20103
-93.03255,19902
-93.06299,19862
-117.92568,19777
-75.09778,19744
-115.48307,19686
-119.840025,19680
-81.33872,19622
-77.046389,19532
-116.203817,19418
-81.373,19001
-82.517078,18786
-80.258105,18776
-82.680378,18729
-79.902222,18664
-71.36097,18600
-76.604603,18591
-119.874739,18440
-117.075086,18433
-119.741332,18253
-119.8284,18167
-115.11393,18161
-119.784982,18087
-117.40063,18073
-90.041559,18063
-80.167222,18009
-119.775354,17992
-80.592318,17991
-95.128508,17988
-97.356529,17958
-95.489167,17873
-121.381063,17869
-118.31712,17677
-92.10251,17651
-80.346442,17637
-71.097163,17587
-79.99664,17580
-76.474444,17554
-74.882222,17504
-122.710169,17417
-86.781148,17391
-95.326137,17315
-80.344255,17281
-97.49383,17187
-104.839243,17149
-86.850278,17082
-121.888575,17031
-80.580717,17025
-110.9823,16962
-85.7018,16955
-80.611813,16939
-118.18921,16869
-97.314847,16841
-111.86536,16830
-87.635027,16724
-87.75247,16706
-119.77319,16602
-89.647608,16599
-89.613414,16598
-122.602877,16548
-76.1433,16540
-77.04435,16431
-87.82908,16352
-121.843286,16217
-74.208365,16144
-120.836008,16099
-81.705398,16098
-122.647041,16008
-96.683314,16008
-112.095767,15948
-117.41799,15929
-94.635605,15911
-121.623271,15891
-117.32554,15844
-105.102402,15844
-73.75733,15823
-84.51125,15807
-72.670278,15644
-74.482494,15635
-89.087851,15607
-76.958072,15592
-74.861491,15567
-74.274689,15566
-84.226111,15546
-117.62914,15542
-74.268083,15535
-106.482922,15483
-66.05251,15439
-71.311167,15400
-117.67593,15318
-81.516228,15293
-106.323578,15246
-74.042172,15185
-121.961823,15162
-123.092049,15154
-93.284874,15126
-73.9389,15120
-71.0826,15097
-95.983793,15064
-75.558056,14976
-118.5284,14965
-92.281296,14953
-73.82153,14834
-117.93845,14739
-99.515222,14708
-122.308628,14705
-111.663056,14694
-80.233104,14673
-97.338379,14667
-75.6036,14614
-112.13098,14499
-122.194413,14499
-74.857717,14471
-117.059088,14413
-118.130511,14405
-111.849722,14338
-111.969444,14254
-120.435611,14215
-117.33098,14214
