method_name,count
 - ,4502183
INSTRUMENTAL - NONDISPERSIVE INFRARED,3149805
INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,625367
INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,247118
INSTRUMENTAL - NONDISPERSIVE INFRARED PHOTOMETRY,223348
INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,214426
INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,19141
INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48C-TL,10875
LGR (Los GAtos Research - Off-Axis ICOS Cavity Ringdown Spectroscopy,6089
Instrumental - Nondispersive Infrered Photometry,3308
INSTRUMENTAL - Nondispersive Infrered Photometry,570
INSTRUMENTAL - DUAL ISOTOPE FLORESCENCE,242
