site_num,count
0002,317829
0003,290300
0005,270685
0004,240590
0001,232141
0010,227129
0007,213877
0006,207264
0020,189542
0009,181454
0014,171201
1003,171173
1002,170095
0011,162201
0008,161016
1004,155076
5001,143814
0018,137485
0016,135494
0013,124385
1001,122147
0017,121147
0015,117747
0021,110299
0023,109808
0019,103256
0012,97487
2002,94200
0025,81891
0024,81560
3001,80809
0022,77803
4002,70416
0080,62928
2004,61338
0034,60701
1005,60693
0031,60187
0028,59392
0040,57114
0047,56988
0037,53686
0029,51934
0044,51865
1014,51680
0030,51016
0051,48675
0083,48284
3002,47721
0032,47557
2006,46810
0041,46564
0048,45427
0027,45083
1008,44934
0038,43469
2001,43358
0053,41541
0036,39613
0056,39503
6004,38616
1035,38383
8001,35258
1009,35174
1201,34707
0046,33627
1011,33151
1019,33137
1025,32702
0075,32222
0100,31756
4003,31534
0052,30831
0026,30262
2008,30176
0043,30019
1103,28586
9004,28469
0087,27086
1010,26764
0113,26651
1037,26372
2005,26004
1007,25753
0045,25495
2009,25005
0042,24998
1021,24797
0035,24668
0049,24327
0063,24202
0050,23738
1012,23600
0073,23224
1701,23215
2007,23120
0954,22811
4004,22317
0069,22011
0072,21406
2003,20390
0101,20232
0084,20103
0423,19862
0242,18440
2011,18167
0561,18161
1039,17988
0078,17899
0062,17558
3010,17253
0085,16997
1028,16962
3006,16810
0099,16576
5005,16558
9997,15948
0306,15844
2022,15473
0191,15064
9002,14970
6012,14965
0055,14924
1023,14912
0124,14834
0060,14671
9033,14405
9001,14214
6001,13949
1301,13891
3003,13607
0103,13274
0077,13220
7001,13134
0801,12876
3048,12255
0071,12039
0538,12027
0061,11980
4001,11875
0094,11725
2100,11709
0082,11309
1602,11294
1070,11231
0133,11208
1601,11144
3103,10899
0076,10620
2062,10572
1127,10568
1100,10500
0058,10302
0092,10219
8005,10104
0135,9936
0126,9665
1302,9561
4201,9356
5002,9218
0081,9211
6002,9188
0095,9134
3011,9050
1022,8960
0501,8935
0539,8861
4011,8845
8003,8650
0107,8581
1006,8579
0647,8543
6011,8499
0033,8408
0102,8218
0600,7985
0540,7903
0086,7816
1013,7701
7002,7693
9009,7581
0097,7452
0093,7286
9003,7133
0057,7085
0039,7018
4005,7009
4006,6831
2012,6825
6016,6657
0865,6611
3101,6533
0962,6530
0416,6427
0243,6299
1031,6013
1045,5816
0067,5647
0108,5527
1376,5521
4010,5502
0079,5211
0557,5172
0066,5125
1053,5084
0480,4986
1052,4947
2059,4922
1017,4878
1018,4750
6013,4651
6005,4615
0298,4608
6006,4490
6009,4466
0070,4408
1024,4383
0401,4254
4019,4180
1501,4028
0601,4012
0562,3935
0905,3777
1069,3754
1068,3754
0125,3635
9010,3593
0955,3489
6018,3393
0563,3343
1034,3222
7003,3218
0232,3110
2401,2918
3007,2700
0098,2421
1060,2254
4101,2235
0119,2150
3005,2118
0054,2091
1101,2069
3009,2059
3015,1875
0622,1799
3100,1783
0206,1487
1030,1479
5200,1415
2016,1329
4020,1276
5004,1265
8000,1257
7015,1160
4007,1083
5632,1073
5003,1037
0870,935
6003,903
1111,884
0059,843
5006,815
5011,804
8011,784
8012,748
6316,730
5601,727
0106,727
0104,717
0114,683
6017,627
9996,618
4021,586
7771,535
5009,520
0999,448
0244,423
9011,422
1502,394
3601,181
3102,179
0217,160
1036,149
5010,78
0065,60
