state_code,count
06,1827799
42,456091
12,427992
48,425020
39,332935
04,327285
08,317459
36,277339
32,275478
34,229828
51,218150
37,203160
53,202796
17,182533
26,172403
27,171933
47,158377
35,153431
29,151513
25,150834
18,150435
21,136829
49,134517
80,118709
41,117105
40,113733
09,109634
55,101070
30,97626
24,93505
01,88432
19,88320
54,75313
15,73657
20,72931
02,66916
31,65022
50,60428
72,55052
22,54487
13,54270
45,53164
11,51643
16,45543
33,44957
44,42612
10,38499
23,36549
56,26851
05,25716
28,24018
38,11571
46,11002
