state_name,count
California,1827799
Pennsylvania,456091
Florida,427992
Texas,425020
Ohio,332935
Arizona,327285
Colorado,317459
New York,277339
Nevada,275478
New Jersey,229828
Virginia,218150
North Carolina,203160
Washington,202796
Illinois,182533
Michigan,172403
Minnesota,171933
Tennessee,158377
New Mexico,153431
Missouri,151513
Massachusetts,150834
Indiana,150435
Kentucky,136829
Utah,134517
Country Of Mexico,118709
Oregon,117105
Oklahoma,113733
Connecticut,109634
Wisconsin,101070
Montana,97626
Maryland,93505
Alabama,88432
Iowa,88320
West Virginia,75313
Hawaii,73657
Kansas,72931
Alaska,66916
Nebraska,65022
Vermont,60428
Puerto Rico,55052
Louisiana,54487
Georgia,54270
South Carolina,53164
District Of Columbia,51643
Idaho,45543
New Hampshire,44957
Rhode Island,42612
Delaware,38499
Maine,36549
Wyoming,26851
Arkansas,25716
Mississippi,24018
North Dakota,11571
South Dakota,11002
