address,count
4514 1/2 Durant St,81114
"FRANCIS SCHOOL, 64 BOURNE AVE",77015
4530 N 17TH AVENUE,64607
2842 WYOMING (DEARBORN),58521
HARRISON AVE,57617
"5888 MISSION BLVD., RUBIDOUX",56739
"2500 1ST STREET, N.W. WASHINGTON DC",53692
"2300-C Wildcat Road, Decatur GA 30034",52330
RT 2 BOX 100 MCBEE  (SC145) [Chesterfield],51368
4103 BEACON HILL S,50872
1415 Hinton Street,50116
750 DUNDEE ROAD,48365
600 Dorsey Avenue,48306
"5558 California Ave., Bakersfield CA 93309",48139
"1630 N MAIN ST, LOS ANGELES",47395
IS 52    681 KELLY ST,46221
9525 1/2 Clinton Dr,44863
"58 HARVEY ROAD, Underhill, Vermont",44367
800 S San Marcial Street,43945
2401 HARTMAN STREET  MATH & SCIENCE CTR,40783
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",40371
1501 E. LYCOMING AVE.,40308
"3120 E. 30TH ST., WASHINGTON PARK",39024
"1 Hilton St, PROVIDENCE RI",37904
"1167 N Dover Road, Valrico, FL 33527",35011
"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",34994
"201 MISSISSIPPI ST., IITRI BUNKER",34806
Queens College   65-30 Kissena Blvd  Parking Lot#6,34037
158B JACKSON ST,33246
NJ Turnpike Interchange 13 Toll Plaza,33190
2727 10th Ave. S.,33022
520 GRAND ISLAND BLVD,32813
390 PARKLAND,31610
3520 1/2 N. PEORIA,30926
"8601 60TH STREET N.,PINELLAS PARK, FL .",30553
"2 YARMOUTH ROAD, RG&E Substation",30529
MLK BLVD AND JUSTISON ST.,29982
3317 Ross Ave,29897
3801 SPRING FOREST RD.,29693
3900 S. SAGINAW (DOW),29310
"Department of Public Works Bldg. #1, 50 North Road",29056
1130 EASTWAY DRIVE,29005
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",28660
"3425 N FIRST ST, FRESNO",27943
"Cook College, Log Cabin Road near Horticulture Lab",27587
Hwy 134 & Spur 449,27492
1086 Vermont Avenue,27357
"MESA VERDE NATIONAL PARK, COLORADO",27344
"7200-22 Avenue N., St. Petersburg, FL 33710",27273
"STA. 46-B9, LEE PARK, TELEGRAPH ROAD",26300
150 WATERMAN (DETROIT-SW),26274
1300 141 ST STREET,26272
2443 SOUTH JACKSON AVENUE,26248
24TH & RITNER STREETS,26003
1405 Sheldon Road,25794
"Horicon Wildlife Area, 1210 N Palmatory St",25749
"N ROSELAWN, PORTLAND,OR",25700
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,25652
"8301 ACKERSON ROAD, Pinnacle State Park",25630
"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",25615
NARSTO SITE - ARENDTSVILLE,25239
14700 GODDARD (ALLEN PARK),25228
4743 MANNHEIM RD.,24806
3810 Huisache Street,24785
W. ALTON JONES CAMPUS URI PARKERFIELD WE,24739
"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",24731
2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),24717
1061-A Leesville Ave,24643
"Oldtown Fire Station, 1100 Hillen Street",24215
4510 1/2 Aldine Mail Rd,24083
309 2nd Ave. S.,23900
10TH ST. & VINE ST. DAVENPORT,23863
"1275 Bedford Ave, Pittsburgh, PA 15219 (Flag Plaza)",23746
2142 120TH STREET EAST,23689
12821 PINE BEND TRAIL,23682
"CAMP ROBERT WEBB, 1486 CAMP WEBB ROAD",23582
10 ARKANSAS ST.,22912
649 FIFTH STREET,22155
"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",21965
1300 BLK. HATTIE AVENUE,21925
"HAZELTON-HD, STOCKTON",21363
200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,20921
COUNTY RD 59,20822
"1155 REDWOOD AVE., EL CAJON",20699
ANDERSON RD AFB,20420
E. 14TH & ORANGE,20393
ROXY WATER PUMP STA EVA-DEARNLEY STS,20148
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",19660
"BIG BEND NATIONAL PARK, TEXAS",19629
84 DIANA RD/ WATER TREATMENT PLANT,19580
1000 WINSTON CHURCHILL DR,19570
5636 SOUTHERN BOULEVARD,19212
"DEL PASO-2701 AVALON DR, SACRAMENTO",18964
1532 W. Michigan St.,18834
Denton Airport South,18514
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],18491
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",18480
FRESHKILLS WEST   310 West Service Road,18446
4th Ave & 2nd St,18303
6400 Bissonnet Street,18063
2300 N M. L. KING JR DR,17995
645 1/4 PITKIN AVE.,17925
5707 Up River Rd,17849
567 Eagle Lake Road,17840
344 Porter Drive,17824
BADLANDS PO BOX 6 HEADQUARTERS,17755
UNIVERSITY OF EVANSVILLE - CARSON CENTER 1800 Lincoln Ave.( North of East Walnut St.),17754
DENALI NATIONAL PARK,17603
COPEWOOD E. DAVIS STS; TRAILER,17581
GREAT SMOKY MOUNTAINS NP LOOK ROCK,17555
Great Sand Dunes NM,17510
"Broadway& 4th St, UNCLE SAM ATRIUM, DTN.SHOPPING CENTER",17496
"Northeast entrance, Pinnacles National Park",17470
GLACIER NATIONAL PARK,17370
4646 North Humboldt,17363
Weminuche Wilderness,17355
2725 Old Fort Worth Road,17267
3205 SW 70TH AVENUE,17253
SHENANDOAH NP BIG MEADOWS,17250
ROCKY MOUNTAIN NP,17245
"MOUNT RAINIER NP, TAHOMA WOODS ADMIN",17218
CHIRICAHUA NATIONAL MOUMENT,17215
Olympic,17191
Bryce Canyon NP,17137
Bridger Wilderness,17115
136 PERRY DRIVE,17090
NORTH SIDE OF NM 4,17057
1504 1/2 Haden Road,17031
Trapper Creek,17019
"150 SOUTH WINOOSKI AVENUE, Burlington, Vermont",16996
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",16975
"CANYONLANDS NATIONAL PARK, UTAH",16960
"3727 N FIRST ST, FRESNO",16952
"HEALTH CENTER, 1337 SO 16TH ST",16935
"N OF KLAMATH RIVER, REDWOOD NP",16930
GUADALUPE MOUNTAINS NP,16888
"1675 SOUTH 600 EAST, SALT LAKE CITY",16844
Dolly Sods Wilderness,16775
VERNON STREET TRAILER,16769
"228 W. PALM AVE., BURBANK",16765
Jarbidge Wilderness,16705
MAMMOTH CAVE NP - ALFRED COOK ROAD,16695
San Gorgonio Wilderness,16610
SOUTH OF SR88,16607
225 GARDEN VIEW DRIVE,16491
#1 Battleship Road,16480
Okefenokee NWR,16460
"356 State Street, Portland,  Maine",16440
"N RANGER STATION, POINT REYES NS",16340
