cbsa_name,count
"Houston-The Woodlands-Sugar Land, TX",378437
"Minneapolis-St. Paul-Bloomington, MN-WI",377915
"New York-Newark-Jersey City, NY-NJ-PA",340333
"Chicago-Naperville-Elgin, IL-IN-WI",278784
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",265548
"Dallas-Fort Worth-Arlington, TX",211034
"San Francisco-Oakland-Hayward, CA",185242
"Detroit-Warren-Dearborn, MI",175374
"Providence-Warwick, RI-MA",173276
"Beaumont-Port Arthur, TX",134376
"Baltimore-Columbia-Towson, MD",130392
"Washington-Arlington-Alexandria, DC-VA-MD-WV",122992
"Los Angeles-Long Beach-Anaheim, CA",120430
"Tampa-St. Petersburg-Clearwater, FL",117357
"Riverside-San Bernardino-Ontario, CA",114340
"El Paso, TX",112039
"Boston-Cambridge-Newton, MA-NH",111724
"St. Louis, MO-IL",109018
"Seattle-Tacoma-Bellevue, WA",101946
"Pittsburgh, PA",98311
"Buffalo-Cheektowaga-Niagara Falls, NY",93527
"Phoenix-Mesa-Scottsdale, AZ",91379
"Portland-Vancouver-Hillsboro, OR-WA",88575
"Atlanta-Sandy Springs-Roswell, GA",85468
"San Diego-Carlsbad, CA",82845
"Burlington-South Burlington, VT",82699
"Miami-Fort Lauderdale-West Palm Beach, FL",82336
"San Jose-Sunnyvale-Santa Clara, CA",74785
"Tulsa, OK",73284
"Bakersfield, CA",70588
"Sacramento--Roseville--Arden-Arcade, CA",66448
"Corpus Christi, TX",64376
"Richmond, VA",64315
"Fresno, CA",63882
"Midland, MI",63179
"Indianapolis-Carmel-Anderson, IN",59499
"Cleveland-Elyria, OH",56362
"Portland-South Portland, ME",55731
"Cincinnati, OH-KY-IN",55253
"Duluth, MN-WI",52645
"Kansas City, MO-KS",48770
"Columbia, SC",48274
"Birmingham-Hoover, AL",47313
"Tucson, AZ",46102
"Oklahoma City, OK",45573
"Milwaukee-Waukesha-West Allis, WI",43890
"Baton Rouge, LA",42209
"Flagstaff, AZ",40873
"Beaver Dam, WI",40412
"Knoxville, TN",39157
"Rochester, NY",38489
"Charlotte-Concord-Gastonia, NC-SC",37403
"Ogden-Clearfield, UT",36397
"Charleston-North Charleston, SC",36138
"Louisville/Jefferson County, KY-IN",34587
"Wichita, KS",34559
"Grand Junction, CO",33828
"Asheville, NC",33783
"New Orleans-Metairie, LA",33075
"Albany-Schenectady-Troy, NY",32859
"Eugene, OR",32117
"La Grande, OR",31354
"Springfield, MA",30838
"Raleigh, NC",30669
"Tallahassee, FL",29803
"Denver-Aurora-Lakewood, CO",29489
"Evansville, IN-KY",28994
"Huntington-Ashland, WV-KY-OH",28195
"Marshall, TX",27492
"Laredo, TX",27440
"Lancaster, PA",27438
"Davenport-Moline-Rock Island, IA-IL",27413
"Charleston, WV",26858
"Winston-Salem, NC",25845
"Corning, NY",25630
"Grand Rapids-Wyoming, MI",25455
"Gettysburg, PA",25239
"Gulfport-Biloxi-Pascagoula, MS",24873
"McAllen-Edinburg-Mission, TX",24762
"Payson, AZ",24725
"Port Angeles, WA",24711
"Glenwood Springs, CO",24257
"Sierra Vista-Douglas, AZ",23960
"Helena, MT",23835
"Visalia-Porterville, CA",23834
"Greenville-Anderson-Mauldin, SC",23826
"Sioux Falls, SD",23772
"Virginia Beach-Norfolk-Newport News, VA-NC",22796
"Oxnard-Thousand Oaks-Ventura, CA",22303
"Boise City, ID",21841
"Bangor, ME",21764
"Stockton-Lodi, CA",21586
"Wheeling, WV-OH",21566
"Odessa, TX",20616
"Brownsville-Harlingen, TX",20488
"Anchorage, AK",20447
"Salt Lake City, UT",20284
"Klamath Falls, OR",20028
"Rapid City, SD",19642
"Idaho Falls, ID",19540
"Chico, CA",19396
"El Centro, CA",19194
"Austin-Round Rock, TX",19129
"Kahului-Wailuku-Lahaina, HI",19080
"Cedar Rapids, IA",18870
"Fort Collins, CO",18363
"Bowling Green, KY",18233
"Bishop, CA",18101
"Kalamazoo-Portage, MI",17433
"Kalispell, MT",17370
"Los Alamos, NM",17057
"Redding, CA",16975
"Crescent City, CA",16930
"Weirton-Steubenville, WV-OH",16727
"Elko, NV",16705
"Wilmington, NC",16589
"Lexington-Fayette, KY",16545
"Manchester-Nashua, NH",16535
"Jackson, WY-ID",16510
"Show Low, AZ",16333
"Santa Maria-Santa Barbara, CA",16222
"Harrison, AR",16205
"Atlantic City-Hammonton, NJ",16193
"Macon, GA",16136
"Douglas, GA",16130
"Decatur, AL",16032
"Columbus, GA-AL",16028
"Memphis, TN-MS-AR",15938
"Georgetown, SC",15898
"Urban Honolulu, HI",15807
"Ellensburg, WA",15060
"Topeka, KS",14996
"Dayton, OH",14960
"Des Moines-West Des Moines, IA",14724
"Reno, NV",14626
"Columbus, OH",14599
"Homosassa Springs, FL",14579
"Fairbanks, AK",14002
"Augusta-Richmond County, GA-SC",13951
"Erie, PA",13672
"Albuquerque, NM",13604
"Port Clinton, OH",13524
"San Antonio-New Braunfels, TX",13471
"Reading, PA",13464
"Orlando-Kissimmee-Sanford, FL",13361
"Prescott, AZ",13245
"Hilo, HI",13240
"Bellingham, WA",13106
"Rutland, VT",13044
"Modesto, CA",12995
"New Haven-Milford, CT",12964
"Longview, TX",12962
"Houghton, MI",12870
"Fargo, ND-MN",12687
"Vallejo-Fairfield, CA",12664
"St. George, UT",12535
"Berlin, NH-VT",12510
"Allentown-Bethlehem-Easton, PA-NJ",12487
"Omaha-Council Bluffs, NE-IA",12352
"Grants Pass, OR",12150
"Lake Havasu City-Kingman, AZ",12137
"Branson, MO",12065
"Dickinson, ND",12062
"Winona, MN",12039
"Roswell, NM",12035
