county_code,count
007,367457
201,317963
163,301093
001,294627
003,288976
005,287197
037,287131
019,245155
029,230384
031,221150
013,211664
089,202141
033,196953
053,196047
101,189478
039,178320
025,168470
073,155205
061,147599
113,146744
011,143132
085,141405
009,138026
017,137343
245,133577
027,130511
035,120601
111,117020
071,114804
141,114243
081,112356
051,106935
510,106460
043,101371
097,100257
049,98627
067,98552
123,93057
065,90316
069,89062
119,88797
077,88064
079,86844
021,84329
055,83523
057,81207
143,80741
047,80105
083,79187
103,77729
023,76644
045,76638
087,75140
015,74387
063,67940
355,64376
137,62525
109,61276
099,59563
139,58033
041,56179
095,54979
129,52440
093,51176
439,50345
157,49293
167,48832
059,47315
183,45093
075,44133
121,42471
091,40796
153,39409
173,38087
215,35246
209,34679
127,32180
135,29089
105,28645
133,28023
203,27492
479,27440
107,26255
177,26096
115,25180
125,24181
213,22580
086,22456
670,20003
810,19212
453,18616
145,17741
020,17663
068,17603
028,17057
170,17019
090,14002
117,13110
207,12557
169,12039
171,11207
195,11175
361,10928
122,10665
223,10437
002,10006
231,9757
161,9137
257,8997
151,8153
339,8092
186,7970
181,6820
251,6230
175,5780
159,5672
193,5671
147,5633
221,5540
295,5454
185,5031
197,3740
131,3703
290,3690
710,3080
280,2900
247,2141
760,1734
520,1704
303,1638
770,1626
227,1538
165,1344
423,1328
840,1230
010,1080
243,1002
273,894
497,886
006,576
491,513
650,504
263,444
155,300
187,174
188,95
199,33
