county_name,count
Harris,314879
Jefferson,218023
Wayne,179953
Providence,141416
Lake,141263
Philadelphia,139107
Cook,138350
Hennepin,137323
Los Angeles,114940
Washington,114531
El Paso,113809
Dakota,108580
Erie,88114
San Diego,82845
Chittenden,82699
Bronx,81697
Maricopa,79986
Union,77645
Dallas,75649
Riverside,73395
Tulsa,73284
Essex,73114
King,71735
Hillsborough,70840
District of Columbia,70654
Kern,70588
Suffolk,66622
Richmond,65587
Montgomery,64769
Multnomah,64528
Nueces,64376
Fresno,63882
Midland,63179
Pinellas,63052
Kent,62105
Contra Costa,61545
Marion,60183
Broward,59442
Baltimore (City),58464
DeKalb,57851
Santa Clara,57315
Alameda,56015
Cumberland,55270
Allegheny,53515
Ramsey,52625
Madison,52303
Chesterfield,51368
Saint Louis,51345
Tarrant,50345
Baltimore,49791
Cuyahoga,49581
St. Louis City,47996
Ellis,47808
New Castle,46159
Pima,46102
Jackson,45538
Harrison,44532
Queens,43163
Monroe,42955
San Bernardino,40945
Coconino,40873
Henrico,40783
Middlesex,40630
Dodge,40412
Adams,40335
Galveston,39993
Hamilton,39882
Butte,38936
Milwaukee,38579
Davis,36397
Charleston,36138
San Juan,34785
Wyandotte,34679
Oklahoma,34576
Sedgwick,34559
Marin,34470
Custer,34012
Mesa,33828
Richland,33382
Marshall,33349
East Baton Rouge,32605
Lane,32117
Clark,31969
Sacramento,30608
Wake,30521
Orange,30121
Camden,29781
Mecklenburg,29484
Morris,29056
Delaware,28816
Lancaster,28440
Pierce,28177
Webb,27440
Montezuma,27359
Hancock,27113
Kanawha,26858
Polk,26620
Fairfax,26300
Garfield,26149
Steuben,25630
Prince George's,25615
Vanderburgh,25288
Lawrence,25064
Hidalgo,24762
Gila,24725
Clallam,24711
Sublette,24015
Cochise,23960
Scott,23883
Tulare,23834
San Francisco,23832
Minnehaha,23772
Carter,23582
Boyd,23511
El Dorado,22968
Klickitat,22565
Miami-Dade,22456
Ventura,22303
Lewis and Clark,22099
Mariposa,21965
Forsyth,21945
Penobscot,21764
Greenville,21673
San Joaquin,21586
Brewster,21315
Kings,21042
Wakulla,20822
Hampden,20769
Ector,20616
Denton,20514
Cameron,20488
Albany,20479
Buncombe,20388
Salt Lake,20284
Aroostook,20155
Klamath,20028
Hopewell City,20003
Johnson,19735
Porter,19580
Butler,19385
Virginia Beach City,19212
Imperial,19194
Niagara,19085
Maui,19080
Linn,18870
Travis,18616
New York,18424
Larimer,18363
Inyo,18101
Ohio,17756
Denali ,17603
Blount,17555
Rensselaer,17550
Alamosa,17510
San Benito,17470
Flathead,17370
Los Alamos,17057
Matanuska-Susitna ,17019
Shasta,16975
Shelby,16955
Del Norte,16930
Culberson,16888
Tucker,16775
Elko,16705
Edmonson,16695
New Hanover,16589
Fayette,16545
Teton,16510
Charlton,16460
Navajo,16333
Santa Barbara,16222
Newton,16205
Atlantic,16193
Bibb,16136
Coffee,16130
White Pine,16025
Ottawa,15987
Kalamazoo,15975
Georgetown,15898
Honolulu,15807
Franklin,15493
Brazoria,15473
Pitkin,15245
Rockingham,15091
Rockbridge,15068
Kittitas,15060
Shawnee,14996
York,14827
Washoe,14626
Citrus,14579
Ada,14555
Orleans,14538
Anoka,14530
Douglas,14483
Schoolcraft,14464
Catron,14375
Denver,14312
St John,14235
Fairbanks North Star ,14002
Ravalli,13860
Lexington,13799
Lincoln,13637
Brown,13630
Lee,13595
Bexar,13471
Berks,13464
Haywood,13395
Yavapai,13245
Hawaii,13240
Whatcom,13106
Rutland,13044
Windham,13034
Stanislaus,12995
New Haven,12964
Gregg,12962
Fergus,12935
Cass,12900
Placer,12872
Keweenaw,12870
Solano,12664
Anne Arundel,12603
Van Buren,12558
Stoddard,12557
Bernalillo,12544
Coos,12510
Oxford,12487
Clackamas,12468
Westmoreland,12151
Josephine,12150
Park,12141
Mohave,12137
Avery,12095
Sheridan,12065
Taney,12065
Billings,12062
Winona,12039
Chaves,12035
Davidson,12023
Champaign,11990
Burke,11905
Sanders,11865
Pulaski,11825
Noble,11815
Lewis,11785
Siskiyou,11730
Litchfield,11665
Chatham,11596
Apache,11590
Okanogan,11580
Barnstable,11560
Wallowa,11535
Powell,11520
Pinal,11393
Comanche,11270
Aleutians East ,11235
Socorro,11175
Trego,11175
Chase,11020
Rosebud,11005
Mercer,10997
Mono,10945
Taos,10868
Elkhart,10845
Saint Clair,10740
Rio Arriba,10740
Beaver,10687
Kenai Peninsula ,10665
Floyd,10648
Hyde,10640
Utah,10599
La Plata,10572
Dukes,10553
Bennington,10538
Murray,10515
Muscogee,10484
Paulding,10437
Hinds,10210
Trinity,10160
Clay,10135
Androscoggin,10122
Thomas,10090
Hampshire,10069
Garrett,10045
BAJA CALIFORNIA NORTE,10006
Missaukee,9959
Roosevelt,9927
Bossier,9862
Weld,9818
Hunt,9757
San Mateo,9380
Loudon,9318
Livingston,9311
Napa,9151
Sonoma,9039
Kaufman,8997
Campbell,8990
Leon,8981
Dawson,8941
Canadian,8575
Silver Bow,8444
Mobile,8440
Northampton,8100
Columbiana,8079
Sainte Genevieve,7970
Garden,7910
Chippewa,7890
DuPage,7885
Cedar,7830
Rock,7580
Taylor,7516
Allen,7423
Spokane,7407
Preble,7394
Peoria,7385
Macoupin,7342
Canyon,7286
Fulton,7118
Chester,7112
Mayes,7024
Laramie,7016
Henry,6988
Perry,6985
Vigo,6915
Knox,6776
Burleigh,6648
Nez Perce,6635
Lorain,6562
Summit,6527
Greenwood,6511
Adair,6495
Stark,6490
Howard,6480
Plumas,6458
Neosho,6444
Sherman,6343
Scioto,6315
Monongalia,6227
Missoula,6066
