date_local,count
2009-10-28,6560
2007-11-08,6511
2007-07-11,6499
2009-10-04,6449
2009-08-17,6434
2009-09-10,6427
2006-01-23,6406
2007-10-03,6400
2009-08-29,6398
2007-08-04,6397
2005-06-15,6395
2007-11-20,6390
2009-09-22,6384
2008-05-30,6374
2007-09-15,6373
2007-12-14,6372
2007-06-17,6370
2007-12-08,6363
2007-04-30,6354
2010-10-23,6353
2005-11-30,6353
2006-01-05,6351
2009-10-16,6349
2007-01-12,6346
2009-03-14,6345
2007-12-02,6341
2005-07-15,6341
2005-07-09,6341
2008-01-25,6341
2006-02-10,6340
2009-06-06,6337
2007-08-16,6334
2009-06-30,6332
2007-05-06,6330
2010-09-17,6327
2007-06-05,6326
2007-03-01,6323
2009-01-25,6322
2013-05-16,6319
2007-05-24,6317
2005-08-14,6316
2009-02-18,6314
2007-02-17,6309
2008-02-12,6306
2013-08-20,6305
2007-01-24,6302
2009-07-12,6302
2009-05-25,6301
2005-06-03,6298
2006-01-29,6297
2013-02-21,6296
2007-08-10,6296
2007-10-15,6294
2009-08-05,6285
2005-08-20,6284
2013-05-04,6284
2009-04-07,6283
2007-10-21,6281
2006-02-16,6278
2005-04-16,6272
2005-11-06,6272
2007-05-12,6271
2005-12-18,6269
2007-04-18,6269
2007-06-23,6269
2009-03-26,6265
2009-05-01,6264
2005-05-10,6262
2009-07-24,6261
2010-05-08,6257
2006-02-22,6256
2010-03-21,6254
2005-06-09,6250
2007-07-17,6249
2010-02-25,6248
2007-10-27,6246
2009-02-06,6246
2009-01-13,6242
2005-05-22,6240
2005-10-13,6240
2007-07-23,6240
2009-06-18,6237
2009-01-01,6235
2007-07-29,6235
2005-07-21,6233
2013-02-09,6233
2005-11-12,6232
2007-03-25,6231
2009-11-09,6229
2010-05-20,6224
2013-08-08,6224
2006-02-04,6216
2008-01-07,6215
2008-01-13,6213
2007-09-21,6212
2007-04-06,6208
2007-12-20,6206
2007-02-05,6203
2007-09-09,6200
2006-12-07,6197
2007-02-23,6197
2005-04-28,6197
2005-12-06,6197
2010-06-25,6194
2007-11-02,6190
2005-07-03,6189
2009-04-19,6186
2005-05-28,6185
2008-03-07,6184
2007-11-14,6183
2005-08-26,6183
2005-08-08,6181
2008-02-24,6179
2005-06-21,6179
2009-05-13,6176
2008-01-01,6176
2006-01-11,6176
2005-06-27,6176
2005-10-19,6175
2005-10-01,6175
2007-03-13,6174
2005-11-24,6174
2010-09-05,6173
2008-03-01,6172
2013-07-27,6169
2007-04-12,6165
2013-04-10,6164
2013-06-09,6163
2006-03-30,6160
2007-08-28,6155
2010-08-12,6154
2007-09-27,6153
2005-05-04,6150
2006-03-18,6149
2013-07-03,6146
2010-07-19,6146
2007-06-29,6143
2007-01-06,6142
2008-04-24,6140
2006-02-28,6136
2007-02-11,6135
