date_of_last_change,count
2013-06-11,2687248
2015-07-22,1644936
2013-06-10,719608
2015-07-21,447382
2022-05-13,106284
2015-12-07,100858
2015-08-11,99919
2015-08-17,99110
2015-11-17,98475
2015-07-28,98141
2015-10-21,97380
2015-07-10,95771
2015-07-31,94015
2018-02-23,92827
2015-07-02,92325
2022-02-15,87703
2020-12-23,87690
2019-12-05,87652
2018-10-12,87120
2018-02-22,86374
2019-06-11,81631
2015-04-10,78216
2020-06-05,74137
2018-08-02,72378
2015-03-20,69715
2021-06-10,67540
2016-07-26,59388
2014-04-11,59097
2017-10-27,56212
2014-04-07,50793
2014-03-25,34955
2019-02-14,34930
2017-09-06,34392
2020-12-10,29561
2019-08-06,28225
2022-04-27,23753
2020-02-05,23619
2020-10-09,23612
2018-10-10,21723
2017-03-28,21119
2014-03-11,19908
2020-10-08,19688
2013-12-19,19397
2020-03-05,18314
2019-03-29,18135
2019-06-26,17967
2014-03-12,17836
2019-02-12,15651
2016-03-28,14573
2015-03-17,14456
2020-03-19,13919
2014-02-19,13880
2015-08-28,13713
2017-02-16,13688
2021-05-03,13609
2018-03-12,13573
2014-12-17,13381
2021-11-08,13323
2018-03-28,13304
2017-02-28,13014
2017-05-24,12922
2015-02-24,12001
2020-02-12,11969
2020-01-21,11911
2021-03-05,11737
2017-03-17,11249
2021-01-20,11062
2016-03-31,10440
2022-04-25,10430
2019-02-05,10116
2016-10-12,9963
2016-08-22,9749
2019-02-15,9606
2019-05-24,9536
2022-05-20,9474
2019-02-25,9420
2020-04-10,9327
2016-03-09,9099
2014-09-18,8933
2021-08-27,8832
2019-07-08,8804
2018-08-24,8679
2019-03-11,8218
2020-04-13,8000
2022-02-14,7939
2015-08-26,7863
2017-08-25,7840
2014-06-05,7755
2013-09-24,7650
2017-02-13,7605
2021-03-31,7531
2013-12-16,7480
2020-01-17,7469
2015-12-16,7397
2018-05-08,7346
2015-11-25,7339
2017-02-21,7253
2022-03-29,7016
2020-11-05,6913
2018-02-19,6911
2020-01-26,6876
2021-02-11,6856
2021-06-30,6802
2019-08-30,6794
2021-10-08,6792
2019-12-31,6678
2014-06-12,6651
2018-02-07,6621
2019-05-29,6591
2020-02-19,6456
2015-02-05,6306
2020-10-14,6274
2022-04-12,6144
2020-01-14,6118
2021-03-04,6000
2017-06-29,5895
2015-03-10,5825
2019-03-05,5770
2020-02-11,5766
2016-02-17,5752
2018-04-26,5718
2020-02-25,5570
2019-05-03,5539
2016-03-07,5528
2018-02-15,5510
2022-02-24,5492
2014-04-29,5473
2018-05-02,5295
2016-01-13,5270
2017-03-24,5180
2018-07-03,5166
2019-06-24,5090
2022-04-05,5077
2020-03-25,5059
2020-09-24,4980
2020-04-03,4975
2018-05-10,4940
2014-02-21,4919
2022-04-01,4901
2018-05-03,4841
2015-03-18,4834
2014-03-10,4719
2015-02-27,4713
2020-07-29,4698
2019-04-19,4650
2016-01-22,4648
2016-02-09,4599
2021-03-19,4593
2018-02-26,4520
2017-11-29,4496
2021-12-02,4470
2019-08-21,4452
2020-03-04,4428
2021-07-14,4388
2020-04-15,4337
2018-04-17,4335
2014-02-03,4319
2016-02-18,4296
2015-08-31,4189
2022-02-09,4160
2019-03-15,4099
2020-03-27,4093
2014-09-30,4074
2020-05-05,4014
2019-02-22,4000
2014-11-17,3935
2021-09-14,3924
2014-02-05,3905
2020-01-30,3839
2022-05-05,3810
2019-03-21,3777
2020-08-11,3765
2017-04-07,3763
2015-06-29,3740
2018-05-01,3716
2016-04-29,3657
2015-05-05,3621
2015-04-29,3591
2017-04-05,3575
2015-03-04,3575
2017-03-29,3528
2022-05-03,3484
2015-04-09,3451
2020-01-27,3402
2015-04-24,3379
2016-03-01,3372
2022-03-23,3360
2014-04-14,3359
2014-07-31,3352
2021-09-08,3335
2021-05-06,3326
2020-03-13,3304
2018-04-04,3300
2019-09-19,3272
2020-09-08,3260
2021-05-19,3254
2019-05-08,3250
2021-03-10,3216
2020-12-29,3214
2020-08-26,3206
2017-04-06,3203
2021-03-16,3176
2014-02-13,3157
2017-11-22,3139
2022-04-26,3067
2018-02-27,3057
2019-05-07,3034
2019-09-30,3033
2017-02-14,3013
2019-06-04,2985
2022-05-27,2968
2020-03-12,2948
2016-04-27,2929
2022-04-14,2924
2014-02-10,2893
2021-09-02,2871
2022-05-19,2855
2022-04-22,2850
2018-04-24,2820
2022-03-31,2815
2016-02-25,2801
2018-06-14,2785
2015-06-10,2784
2020-04-01,2774
2020-06-15,2757
2020-07-20,2746
2021-07-16,2744
2017-10-25,2743
2015-03-19,2719
2019-02-06,2713
2022-02-23,2703
2014-02-27,2697
2022-02-03,2682
2015-04-02,2670
2014-04-01,2660
2018-05-24,2660
