latitude,count
29.670025,81114
41.841039,77015
33.503833,64607
42.306674,58521
42.3295,57617
33.99958,56739
38.921847,53692
33.6878,52330
34.615367,51368
47.568236,50872
32.820061,50116
42.139996,48365
39.310833,48306
35.356615,48139
34.06659,47395
40.816,46221
29.733726,44863
44.52839,44367
31.765685,43945
37.55652,40783
38.656429,40371
40.008889,40308
39.810833,39024
41.807469,37904
27.96565,35011
40.902967,34994
41.606662,34806
40.73614,34037
37.348497,33246
40.64144,33190
44.95366,33022
42.98844,32813
42.474642,31610
36.204902,30926
27.850348,30553
43.14618,30529
39.739444,29982
32.80581,29897
35.856111,29693
40.787628,29056
35.2401,29005
44.39308,28660
36.781333,27943
40.472825,27587
32.669001,27492
30.036422,27357
37.1984,27344
27.785866,27273
38.77335,26300
42.302786,26274
41.639306,26272
36.126945,26248
39.922867,26003
29.802707,25794
43.46611,25749
45.56137,25700
40.046667,25652
42.09142,25630
39.055277,25615
39.92002,25239
42.22862,25228
41.965193,24806
27.804489,24785
41.615237,24739
33.553056,24731
35.614131,24717
30.461981,24643
39.297733,24215
29.901036,24083
44.97944,23900
41.530011,23863
40.443367,23746
44.77553,23689
44.76323,23682
38.23887,23582
37.765946,22912
44.84737,22155
37.71325,21965
36.11094,21925
37.950741,21363
40.8679,20921
30.0925,20822
32.791194,20699
42.19438,20420
41.492117,20393
40.049604,20148
34.276316,19660
29.30265,19629
41.6175,19580
37.289616,19570
36.841883,19212
38.613779,18964
46.77107,18834
33.219069,18514
32.941023,18491
32.67618,18480
40.58027,18446
44.85711,18303
29.695729,18063
43.060975,17995
39.064289,17925
27.811817,17849
44.37705,17840
25.892518,17824
43.74561,17755
37.974436,17754
63.7232,17603
39.923042,17581
35.63348,17555
37.724919,17510
42.73194,17496
36.48324,17470
48.5103,17370
45.03972,17363
37.659409,17355
32.482083,17267
26.083143,17253
38.5231,17250
40.27813,17245
46.75838,17218
32.00941,17215
48.006295,17191
37.618383,17137
42.974831,17115
35.263165,17090
35.804193,17057
29.764788,17031
62.314754,17019
44.4762,16996
40.53999,16975
38.45832,16960
36.78538,16952
43.01724,16935
41.560952,16930
31.83345,16888
40.736389,16844
39.105336,16775
41.874668,16769
34.17605,16765
41.892499,16705
37.13179,16695
34.193925,16610
33.6547,16607
44.73846,16491
34.235536,16480
30.740718,16460
43.660246,16440
38.122979,16340
34.82251,16333
36.498835,16300
35.825893,16205
39.464872,16193
47.948622,16165
40.114876,16146
31.513097,16130
39.00512,16025
42.909851,15990
40.46542,15985
25.39122,15875
45.496641,15775
44.19982,15757
43.460556,15710
29.897516,15688
27.501826,15539
29.982531,15492
29.010841,15473
39.944651,15430
45.666204,15410
38.976,15395
31.758532,15367
39.154,15245
32.98426,15161
44.73857,15129
47.399815,15060
40.69454,14918
34.342904,14790
35.57222,14787
43.591416,14705
31.775942,14693
43.434996,14663
45.125837,14660
44.96555,14616
43.589471,14605
28.748678,14579
46.288877,14464
31.836577,14431
33.220502,14375
44.170385,14370
37.936013,14321
39.340556,14291
40.5383,14285
29.961124,14258
18.334399,14235
45.339,14227
38.06503,14131
42.984173,14128
42.99813,14115
48.41252,13965
45.859686,13860
40.3663,13847
42.876907,13823
39.835556,13772
41.7514,13584
32.174538,13550
44.565217,13515
32.631242,13459
35.973117,13400
35.379167,13395
44.480278,13366
45.13768,13330
34.1365,13300
41.603159,13286
26.22621,13279
39.525083,13260
19.4308,13240
41.477011,13182
43.54792,13116
38.876255,13110
41.65274,13077
43.608056,13044
42.267231,13020
39.151393,13015
29.263319,13007
32.378696,12962
40.462182,12911
38.74643,12872
29.893849,12856
29.615001,12828
40.38335,12782
39.063798,12643
30.039524,12595
38.45934,12591
36.970052,12557
30.390369,12511
44.308132,12510
45.224748,12425
34.06957,12392
39.88294,12388
37.62668,12370
29.770698,12367
41.247486,12352
40.86585,12303
34.093959,12289
45.28845,12277
29.385234,12273
44.95939,12215
39.934559,12180
40.304694,12151
42.104278,12150
47.582225,12135
48.73142,12130
35.972347,12095
48.487054,12065
36.613879,12065
46.8943,12062
43.55764,12050
33.459914,12035
27.807544,12026
46.69634,12000
40.05278,11990
29.734281,11954
28.596389,11922
39.117219,11920
48.64193,11905
27.517456,11901
34.454514,11896
47.954771,11865
38.276683,11820
37.687526,11818
39.940029,11815
46.624184,11785
43.832458,11768
41.711825,11730
30.263204,11721
38.102507,11696
46.933754,11668
41.821342,11665
34.756189,11663
43.609194,11662
34.058475,11590
48.387531,11580
41.975804,11560
41.3014,11559
45.079864,11535
47.122091,11520
38.302177,11500
44.026312,11447
39.757371,11444
32.175417,11410
33.293465,11393
35.1343,11326
34.733889,11305
34.732404,11270
20.808788,11250
55.324675,11235
37.339666,11185
38.770081,11175
33.869593,11175
40.969112,11160
32.248712,11115
44.551419,11101
34.340556,11080
40.695078,11060
27.892523,11042
39.991389,11026
43.937299,11025
38.434141,11020
45.02798,11016
45.648328,11005
39.57768,10995
43.600699,10984
38.088023,10945
47.773283,10930
44.944134,10903
37.535833,10871
36.58544,10868
36.508611,10845
33.82376,10752
33.468809,10750
42.8273,10745
36.013945,10740
31.95,10720
31.746775,10707
37.22064,10705
44.744723,10700
42.86183,10690
29.979958,10689
46.826103,10675
35.45109,10640
32.06848,10561
41.330469,10553
29.706249,10542
43.148176,10538
34.785219,10515
36.077814,10485
33.9285,10437
32.29515,10402
31.768286,10380
37.0452,10373
36.019302,10355
39.12886,10298
33.127769,10281
43.08218,10205
33.40314,10187
33.463644,10180
38.47676,10170
37.1983,10165
40.786247,10160
44.87551,10130
44.089406,10122
41.888789,10090
39.927613,10085
42.298493,10069
39.70595,10045
41.681497,10010
47.9167,9990
44.310555,9959
48.30795,9927
32.535293,9862
32.57816,9842
37.30389,9840
33.153088,9757
40.58056,9747
40.209387,9697
37.642165,9528
33.499722,9505
39.979123,9460
37.482934,9380
37.97231,9345
39.965278,9336
34.813034,9335
42.00508,9312
37.07151,9311
26.053889,9306
38.3456,9254
44.981076,9239
36.15483,9230
32.805264,9194
26.294167,9176
36.085552,9152
35.4325,9147
39.303174,9096
32.564968,8997
44.6522,8990
30.439722,8981
34.376227,8941
40.71436,8934
40.95517,8900
44.95072,8860
35.140635,8803
37.832725,8785
29.758889,8679
44.107524,8670
34.838814,8642
39.818715,8578
35.479215,8575
29.942798,8558
34.821922,8525
44.745662,8522
21.392833,8507
44.7468,8459
44.94798,8455
44.94805,8431
32.774262,8430
26.309858,8347
38.310942,8261
43.601416,8214
41.653501,8184
38.56844,8171
46.682299,8155
38.22876,8153
29.39,8115
40.628056,8100
43.537626,8100
38.612034,7984
37.90084,7970
40.445278,7954
41.762681,7910
34.090866,7880
20.7585,7830
37.70097,7830
40.323768,7801
43.561043,7764
40.720989,7672
42.289449,7662
42.888971,7639
42.862531,7596
46.72938,7594
43.768683,7592
43.71579,7580
42.155833,7551
37.948172,7525
42.64225,7520
45.2066,7516
30.085263,7490
39.76168,7490
36.332179,7489
36.141875,7485
29.718799,7476
38.448833,7476
59.982667,7470
30.06607,7442
42.281869,7395
39.83562,7394
29.68436,7392
44.33344,7390
38.448672,7386
40.697007,7385
44.79886,7382
38.694438,7375
37.026757,7363
32.789565,7351
39.826007,7344
39.396075,7342
46.8505,7316
42.283069,7302
21.323745,7300
38.006311,7264
30.350302,7258
40.341389,7254
42.270009,7245
35.151699,7222
41.667827,7201
45.749818,7155
29.445046,7101
41.182227,7016
32.778889,7005
40.009544,6988
45.558081,6980
32.701492,6980
41.912739,6966
40.146667,6960
32.777465,6942
39.758855,6927
39.507688,6915
42.846483,6900
30.108633,6845
32.790984,6840
37.659334,6807
38.860669,6768
46.493633,6764
39.19433,6758
31.3492,6745
39.101111,6726
28.050296,6712
38.443503,6689
64.840672,6678
38.346258,6658
39.834461,6650
46.825425,6648
41.687165,6588
41.97677,6584
39.264274,6548
29.7761,6538
37.747085,6512
33.4339,6510
35.750735,6495
40.639509,6485
36.019186,6480
39.14313,6480
43.576215,6469
47.1864,6467
39.8969,6466
32.4297,6450
43.075371,6445
37.676308,6444
37.708902,6430
43.562401,6402
37.651114,6401
42.292231,6395
42.640931,6380
38.05492,6380
29.423937,6370
41.087862,6358
39.348452,6343
40.002707,6269
41.463071,6244
40.19255,6241
32.469701,6230
39.649367,6227
41.965485,6124
39.232778,6110
42.14175,6101
39.087949,6096
41.87372,6082
37.814781,6052
33.741253,6049
38.391799,6038
30.700895,6028
34.10002,6025
45.001229,6011
36.176382,5918
26.217582,5914
39.169533,5877
38.012816,5842
41.426911,5840
41.670992,5831
45.535,5784
38.534652,5780
36.292941,5764
48.29786,5755
30.262604,5747
39.77949,5704
47.523355,5699
37.28329,5671
27.806944,5667
26.001202,5633
43.996908,5625
32.057581,5615
34.007398,5604
39.9153,5555
32.329111,5546
36.783939,5540
37.9604,5532
33.83062,5490
45.004478,5486
37.702066,5482
39.131635,5460
32.882289,5429
39.915961,5420
47.55975,5419
44.83431,5409
42.31411,5403
42.9561,5395
39.787933,5385
36.819449,5362
32.552164,5343
46.874836,5322
34.9788,5304
42.938638,5304
40.786804,5300
64.84569,5296
35.744539,5294
41.681393,5280
34.2993,5217
39.751184,5215
39.5513,5182
41.366166,5170
40.7842,5132
37.771964,5041
29.254474,5040
31.870259,5025
43.096373,5024
32.436944,4975
26.087567,4967
41.771071,4956
40.82799,4951
30.221255,4822
37.710229,4808
30.229653,4782
46.598056,4774
39.074722,4771
42.216432,4748
