local_site_name,count
Houston Deer Park #2,81114
 FRANCIS SCHOOL East Providence,77015
JLG SUPERSITE,64607
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,58521
DUDLEY SQUARE ROXBURY,57617
Rubidoux,56739
MCMILLAN  NCore-PAMS,53692
WOOD PLATFORM,52649
South DeKalb,52330
CHESTERFIELD,51368
SEATTLE - BEACON HILL,50872
Dallas Hinton,50116
NORTHBROOK WATER PLANT,48365
Essex,48306
Bakersfield-California,48139
Los Angeles-North Main Street,47395
IS 52,46221
Clinton,44863
PROCTOR MAPLE RESEARCH CTR,44367
El Paso Chamizal,43945
MathScience Innovation Center,40783
Blair Street,40371
Air Management Services Laboratory (AMS LAB),40308
Indpls- Washington Park/  in parking lot next to police station,39024
CCRI Liston Campus ROOFTOP,37904
SYDNEY,35011
Bountiful Viewmont,34994
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,34806
IEPA TRAILER,34446
QUEENS COLLEGE 2,34037
San Jose - Jackson,33246
Elizabeth Lab,33190
Andersen School,33022
GRAND ISLE BOULDVARD,32813
LYNN WATER TREATMENT PLANT,31610
NORTH TULSA - FIRE STATION#24,30926
Skyview,30553
ROCHESTER 2,30529
MLK  CORNER OF MLK BLVD AND JUSTISON ST,29982
Fort Worth Northwest,29897
Millbrook School,29693
Chester,29056
Garinger High School,29005
WHITEFACE BASE,28660
"3425 N FIRST ST, FRESNO",27943
New Brunswick,27587
Karnack,27492
Beaumont Downtown,27357
Mesa Verde NP - Resource Management Area,27344
Azalea Park,27273
Lee District Park,26300
Southwestern H.S.,26274
HAMMOND CAAP- Hammond- 141st St.,26272
CENTER OF PARKING LOT OF PUBLIC WORKS BUILDING 1/4 MI N OF SINCLAIR,26248
Ritner (RIT),26003
Channelview,25794
HORICON WILDLIFE AREA,25749
"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",25700
A420710007LAT/LON POINT AT CORNER OF TRAILER,25652
PINNACLE STATE PARK,25630
HU-Beltsville,25615
NARSTO SITE ARENDTSVILLE,25239
Allen Park,25228
Corpus Christi Huisache,24785
AJ,24739
North Birmingham,24731
OKC NORTH,24717
Capitol,24643
Oldtown,24215
Houston Aldine,24083
City of Lakes Building,23900
"DAVENPORT, JEFFERSON SCH.",23863
Flag Plaza,23746
Flint Hills Refinery 423,23689
Flint Hills Refinery 420,23682
GRAYSON LAKE,23582
San Francisco,22912
Saint Paul Park Refinery 436,22155
Yosemite NP - Turtleback Dome,21965
Hattie Avenue,21925
Stockton-Hazelton,21363
PFIZER LAB SITE,20921
St. Marks Wildlife Refuge,20822
El Cajon,20699
WESTOVER AFB,20420
GT Craig NCore,20393
Roxborough (ROX),20148
Simi Valley-Cochran Street,19660
Big Bend NP - K-Bar Ranch Road,19629
Ogden Dunes- Water Treatment Plant,19580
Carter G. Woodson Middle School,19570
DEQ Tidewater Regional Office,19212
Sacramento-Del Paso Manor,18964
Michigan Street,18834
Denton Airport South,18514
CAPE ROMAIN,18491
Calexico-Ethel Street,18480
FRESHKILLS WEST,18446
Saint Paul Park Refinery 438,18303
Houston Bayland Park,18063
MILWAUKEE - SER DNR HDQRS,17995
GRAND JUNCTION - PITKIN,17925
Dona Park,17849
MCFARLAND HILL Air Pollutant Research Site,17840
Brownsville,17824
SOUTH OF BADLANDS NP HEADQUARTERS,17755
Evansville- U of E/  University of Evansville-Carson Center,17754
Denali NP & PRES - Headquarters,17603
CAMDEN LAB,17581
Hawthorne,17569
Great Smoky Mountains NP - Look Rock,17555
TROY,17496
Pinnacles NP - Southwest of East Entrance Station,17470
Glacier NP - West Glacier Horse Stables,17370
Humboldt Avenue,17363
Midlothian OFW,17267
U of F Ag Research Center,17253
Shenandoah NP - Big Meadows,17250
Rocky Mountain NP - Long's Peak,17245
"Mount Rainier National Park, Tahoma Woods",17218
Chiricahua NM - Entrance Station,17215
Candor: EPA CASTNet Site,17090
HRM #3 Haden Rd,17031
City of Burlington Parking Lot,16996
Lassen Volcanic NP - Manzanita Lake Fire Station,16975
Canyonlands NP - Island in the Sky,16960
Fresno - Garland,16952
MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,16935
Redwood NP,16930
Liberty,16897
Guadalupe Mountain NP - Federal Aviation Administration,16888
"Vernon St, Pawtucket",16769
Burbank,16765
Jarbidge Wilderness,16705
Mammoth Cave NP - Houchin Meadow,16695
TONTO NM,16607
Apple Valley,16491
Eagles Island,16480
PDO - Portland Deering Oaks,16440
Point Reyes NS Ranger Station,16340
Petrified Forest NP - South Entrance,16333
Sequoia NP-Ash Mountain,16300
Brigantine,16193
Boundary Waters,16165
General Coffee,16130
Great Basin NP - Maintenance Yard,16025
Crater Lake,15990
Lawrenceville,15985
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,15875
Portland - SE Lafayette,15775
Craters of the Moon NM & PRES - Visitor Center,15710
Port Arthur West,15688
Laredo Bridge,15539
Port Neches Avenue L,15492
Clute,15473
COMMUNITY HEALTH SERVICES (CHS),15430
WISHRAM - HWY 14,15410
Bliss SP,15395
El Paso Sun Metro,15367
Ajax Mountain,15245
Grapevine Fairway,15161
Flint Hills Refinery 442,15129
PS 274,14918
SIPSEY (closed 11-01-2007),14790
AB Tech,14787
Womble,14693
MAYVILLE,14663
Ross Avenue,14616
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",14464
Odessa-Hays Elementary School,14431
Concord,14321
Northeast Police,14291
Groves,14258
"CRUZ BAY, ST JOHN U.S. VIRGIN ISLANDS",14235
LA GRANDE ASH STREET,14227
LEXINGTON PRIMARY,14131
GR-MONROE,14128
BROOKSIDE TERRACE,14115
NIAGARA FALLS,14046
Voyageurs NP - Sullivan Bay,13965
Stuebenville,13847
BUFFALO,13823
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,13772
COM ED MAINTENANCE BLDG,13584
SAGUARO PARK,13550
Chula Vista,13459
Frying Pan Mountain,13395
ZAMPIERI STATE OFFICE BUILDING,13366
Anoka County Airport,13330
Azusa,13300
CARPENTER,13286
Mission,13279
Reno3,13260
Hawaii Volcanoes NP - Kilauea Visitors Center,13240
St Theodosius,13182
SD School for the Deaf,13116
HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.,13110
SITE MOVED FROM EAST CHICAGO FIELD SCHOOL,13077
State of Vermont District Court Parking Lot,13044
River Rouge,13020
KINDELBERGER,13015
GALVESTON ISLAND,13007
Longview,12962
Rutgers University,12911
Roseville-N Sunrise Ave,12872
City Service Center / PA,12856
Shore Acres,12828
Reading Airport,12782
GRAND JUNCTION - POWELL BLDG,12643
Northwest Harris County,12595
ASHLAND PRIMARY (FIVCO),12591
Gulfport Youth Court,12511
"CAMP DODGE, GREENS GRANT",12510
Joshua Tree NP - Black Rock,12392
SW WASTE TREATMENT PLANT,12388
Natural Bridge Ranger Station,12370
Baytown,12367
